case_key,normalized_case_id,final_scorecard_partition,original_split_fit_allowed,original_split_model_selection_allowed,original_fit_allowed,original_model_selection_allowed,refreshed_fit_allowed,refreshed_model_selection_allowed,score_policy,refresh_status,admission_change,reason
salt1_nominal,salt_1,train_nominal,yes,yes,no,no,no,no,yes_after_freeze_or_gate,filled_nonblank_conservative_salt1_labels_no_admission_change,none,Salt1 labels are nonblank but row-specific branch source envelope remains partial; fit/model-selection promotion stays blocked.
salt2_jin_nominal,salt_2,train_nominal,yes,yes,yes,yes,yes,yes,yes_after_freeze_or_gate,carried_forward_agent538_nominal_labels_no_admission_change,none,AGENT-538 labels are available; source envelope remains conservative for fit gate review.
salt3_jin_nominal,salt_3,train_nominal,yes,yes,yes,yes,yes,yes,yes_after_freeze_or_gate,carried_forward_agent538_nominal_labels_no_admission_change,none,AGENT-538 labels are available; source envelope remains conservative for fit gate review.
salt4_nominal,salt_4,train_nominal,yes,yes,yes,yes,yes,yes,yes_after_freeze_or_gate,carried_forward_agent538_nominal_labels_no_admission_change,none,AGENT-538 labels are available; source envelope remains conservative for fit gate review.
salt1_lo10q,salt_1,excluded_support_diagnostic,no,no,no,no,no,no,no,filled_nonblank_conservative_salt1_labels_no_admission_change,none,Salt1 labels are nonblank but row-specific branch source envelope remains partial; fit/model-selection promotion stays blocked.
salt1_hi10q,salt_1,excluded_support_diagnostic,no,no,no,no,no,no,no,filled_nonblank_conservative_salt1_labels_no_admission_change,none,Salt1 labels are nonblank but row-specific branch source envelope remains partial; fit/model-selection promotion stays blocked.
salt4_lo5q,salt_4,excluded_support_diagnostic,no,no,no,no,no,no,no,filled_contextual_score_only_labels_no_admission_change,none,Support diagnostic rows are excluded from final fit and model selection.
salt4_hi5q,salt_4,excluded_support_diagnostic,no,no,no,no,no,no,no,filled_contextual_score_only_labels_no_admission_change,none,Support diagnostic rows are excluded from final fit and model selection.
salt2_lo5q,salt_2,blind_holdout_pm5q,no,no,no,no,no,no,yes_after_freeze_or_gate,filled_contextual_score_only_labels_no_admission_change,none,"Blind holdout rows may score after freeze, but cannot fit or select models."
salt2_hi5q,salt_2,blind_holdout_pm5q,no,no,no,no,no,no,yes_after_freeze_or_gate,filled_contextual_score_only_labels_no_admission_change,none,"Blind holdout rows may score after freeze, but cannot fit or select models."
val_salt2,val_salt2,blind_external_val_salt2,no,no,no,no,no,no,yes_after_freeze_or_gate,filled_external_score_only_labels_no_admission_change,none,External validation row is score-only and cannot fit or select models.
salt2_lo10q,salt_2,future_holdout_pm10,no,no,no,no,no,no,yes_after_future_gate,filled_contextual_score_only_labels_no_admission_change,none,Future rows need terminal/run admission before scoring and cannot fit or select models.
salt2_hi10q,salt_2,future_holdout_pm10,no,no,no,no,no,no,yes_after_future_gate,filled_contextual_score_only_labels_no_admission_change,none,Future rows need terminal/run admission before scoring and cannot fit or select models.
salt4_lo10q,salt_4,future_holdout_pm10,no,no,no,no,no,no,yes_after_future_gate,filled_contextual_score_only_labels_no_admission_change,none,Future rows need terminal/run admission before scoring and cannot fit or select models.
salt4_hi10q,salt_4,future_holdout_pm10,no,no,no,no,no,no,yes_after_future_gate,filled_contextual_score_only_labels_no_admission_change,none,Future rows need terminal/run admission before scoring and cannot fit or select models.
salt3_q_insulation_matrix,salt_3,future_external_new_cfd,no,no,no,no,no,no,yes_after_future_gate,filled_contextual_score_only_labels_no_admission_change,none,Future rows need terminal/run admission before scoring and cannot fit or select models.
