case_id,expected_split_or_status,segment_id,physical_role,present,actual_split_role,mode,audit_status,claim_boundary
salt_1,train_source_missing,cooling_branch,ambient_wall,False,,,missing,metadata completeness only; no validation/holdout/external scoring
salt_1,train_source_missing,cooling_branch,cooler,False,,,missing,metadata completeness only; no validation/holdout/external scoring
salt_1,train_source_missing,downcomer,ambient_wall,False,,,missing,metadata completeness only; no validation/holdout/external scoring
salt_1,train_source_missing,junction,junction_other,False,,,missing,metadata completeness only; no validation/holdout/external scoring
salt_1,train_source_missing,lower_leg,ambient_wall,False,,,missing,metadata completeness only; no validation/holdout/external scoring
salt_1,train_source_missing,lower_leg,heater,False,,,missing,metadata completeness only; no validation/holdout/external scoring
salt_1,train_source_missing,upcomer,ambient_wall,False,,,missing,metadata completeness only; no validation/holdout/external scoring
salt_1,train_source_missing,upcomer,test_section,False,,,missing,metadata completeness only; no validation/holdout/external scoring
salt_2,train,cooling_branch,ambient_wall,True,train,predictive,present,metadata completeness only; no validation/holdout/external scoring
salt_2,train,cooling_branch,cooler,True,train,document_only_source_sink_or_blocked,present,metadata completeness only; no validation/holdout/external scoring
salt_2,train,downcomer,ambient_wall,True,train,predictive,present,metadata completeness only; no validation/holdout/external scoring
salt_2,train,junction,junction_other,True,train,predictive,present,metadata completeness only; no validation/holdout/external scoring
salt_2,train,lower_leg,ambient_wall,True,train,predictive,present,metadata completeness only; no validation/holdout/external scoring
salt_2,train,lower_leg,heater,True,train,document_only_source_sink_or_blocked,present,metadata completeness only; no validation/holdout/external scoring
salt_2,train,upcomer,ambient_wall,True,train,predictive,present,metadata completeness only; no validation/holdout/external scoring
salt_2,train,upcomer,test_section,True,train,document_only_source_sink_or_blocked,present,metadata completeness only; no validation/holdout/external scoring
salt_3,validation,cooling_branch,ambient_wall,True,validation,predictive,present,metadata completeness only; no validation/holdout/external scoring
salt_3,validation,cooling_branch,cooler,True,validation,document_only_source_sink_or_blocked,present,metadata completeness only; no validation/holdout/external scoring
salt_3,validation,downcomer,ambient_wall,True,validation,predictive,present,metadata completeness only; no validation/holdout/external scoring
salt_3,validation,junction,junction_other,True,validation,predictive,present,metadata completeness only; no validation/holdout/external scoring
salt_3,validation,lower_leg,ambient_wall,True,validation,predictive,present,metadata completeness only; no validation/holdout/external scoring
salt_3,validation,lower_leg,heater,True,validation,document_only_source_sink_or_blocked,present,metadata completeness only; no validation/holdout/external scoring
salt_3,validation,upcomer,ambient_wall,True,validation,predictive,present,metadata completeness only; no validation/holdout/external scoring
salt_3,validation,upcomer,test_section,True,validation,document_only_source_sink_or_blocked,present,metadata completeness only; no validation/holdout/external scoring
salt_4,holdout,cooling_branch,ambient_wall,True,holdout,predictive,present,metadata completeness only; no validation/holdout/external scoring
salt_4,holdout,cooling_branch,cooler,True,holdout,document_only_source_sink_or_blocked,present,metadata completeness only; no validation/holdout/external scoring
salt_4,holdout,downcomer,ambient_wall,True,holdout,predictive,present,metadata completeness only; no validation/holdout/external scoring
salt_4,holdout,junction,junction_other,True,holdout,predictive,present,metadata completeness only; no validation/holdout/external scoring
salt_4,holdout,lower_leg,ambient_wall,True,holdout,predictive,present,metadata completeness only; no validation/holdout/external scoring
salt_4,holdout,lower_leg,heater,True,holdout,document_only_source_sink_or_blocked,present,metadata completeness only; no validation/holdout/external scoring
salt_4,holdout,upcomer,ambient_wall,True,holdout,predictive,present,metadata completeness only; no validation/holdout/external scoring
salt_4,holdout,upcomer,test_section,True,holdout,document_only_source_sink_or_blocked,present,metadata completeness only; no validation/holdout/external scoring
