case_id,split_role,segment_id,physical_role,mode,audit_status,failed_checks,sign_convention_status
salt_2,train,cooling_branch,ambient_wall,predictive,pass,,passive_external_loss_positive_from_fluid_to_ambient
salt_2,train,cooling_branch,cooler,document_only_source_sink_or_blocked,pass,,not_applicable_document_only
salt_2,train,downcomer,ambient_wall,predictive,pass,,passive_external_loss_positive_from_fluid_to_ambient
salt_2,train,junction,junction_other,predictive,pass,,passive_external_loss_positive_from_fluid_to_ambient
salt_2,train,lower_leg,ambient_wall,predictive,pass,,passive_external_loss_positive_from_fluid_to_ambient
salt_2,train,lower_leg,heater,document_only_source_sink_or_blocked,pass,,not_applicable_document_only
salt_2,train,upcomer,ambient_wall,predictive,pass,,passive_external_loss_positive_from_fluid_to_ambient
salt_2,train,upcomer,test_section,document_only_source_sink_or_blocked,pass,,not_applicable_document_only
salt_3,validation,cooling_branch,ambient_wall,predictive,pass,,passive_external_loss_positive_from_fluid_to_ambient
salt_3,validation,cooling_branch,cooler,document_only_source_sink_or_blocked,pass,,not_applicable_document_only
salt_3,validation,downcomer,ambient_wall,predictive,pass,,passive_external_loss_positive_from_fluid_to_ambient
salt_3,validation,junction,junction_other,predictive,pass,,passive_external_loss_positive_from_fluid_to_ambient
salt_3,validation,lower_leg,ambient_wall,predictive,pass,,passive_external_loss_positive_from_fluid_to_ambient
salt_3,validation,lower_leg,heater,document_only_source_sink_or_blocked,pass,,not_applicable_document_only
salt_3,validation,upcomer,ambient_wall,predictive,pass,,passive_external_loss_positive_from_fluid_to_ambient
salt_3,validation,upcomer,test_section,document_only_source_sink_or_blocked,pass,,not_applicable_document_only
salt_4,holdout,cooling_branch,ambient_wall,predictive,pass,,passive_external_loss_positive_from_fluid_to_ambient
salt_4,holdout,cooling_branch,cooler,document_only_source_sink_or_blocked,pass,,not_applicable_document_only
salt_4,holdout,downcomer,ambient_wall,predictive,pass,,passive_external_loss_positive_from_fluid_to_ambient
salt_4,holdout,junction,junction_other,predictive,pass,,passive_external_loss_positive_from_fluid_to_ambient
salt_4,holdout,lower_leg,ambient_wall,predictive,pass,,passive_external_loss_positive_from_fluid_to_ambient
salt_4,holdout,lower_leg,heater,document_only_source_sink_or_blocked,pass,,not_applicable_document_only
salt_4,holdout,upcomer,ambient_wall,predictive,pass,,passive_external_loss_positive_from_fluid_to_ambient
salt_4,holdout,upcomer,test_section,document_only_source_sink_or_blocked,pass,,not_applicable_document_only
