case_id,validation_split_role,segment_id,physical_role,mode,convection_active,radiation_active,area_m2,source_use_category
salt_2,train,cooling_branch,ambient_wall,predictive,true,true,0.03257168,setup_schema_or_diagnostic_not_fit_candidate
salt_2,train,cooling_branch,cooler,document_only_source_sink_or_blocked,false,false,0.029778515,setup_schema_or_diagnostic_not_fit_candidate
salt_2,train,downcomer,ambient_wall,predictive,true,true,0.063435,setup_schema_or_diagnostic_not_fit_candidate
salt_2,train,junction,junction_other,predictive,true,true,0.042478796,setup_schema_or_diagnostic_not_fit_candidate
salt_2,train,lower_leg,ambient_wall,predictive,true,true,0.016563776,setup_schema_or_diagnostic_not_fit_candidate
salt_2,train,lower_leg,heater,document_only_source_sink_or_blocked,false,false,0.045786417,setup_schema_or_diagnostic_not_fit_candidate
salt_2,train,upcomer,ambient_wall,predictive,true,true,0.050313118,setup_schema_or_diagnostic_not_fit_candidate
salt_2,train,upcomer,test_section,document_only_source_sink_or_blocked,false,false,0.012258449,setup_schema_or_diagnostic_not_fit_candidate
salt_3,validation,cooling_branch,ambient_wall,predictive,true,true,0.032571682,setup_schema_or_diagnostic_not_fit_candidate
salt_3,validation,cooling_branch,cooler,document_only_source_sink_or_blocked,false,false,0.029778515,setup_schema_or_diagnostic_not_fit_candidate
salt_3,validation,downcomer,ambient_wall,predictive,true,true,0.063435,setup_schema_or_diagnostic_not_fit_candidate
salt_3,validation,junction,junction_other,predictive,true,true,0.042478796,setup_schema_or_diagnostic_not_fit_candidate
salt_3,validation,lower_leg,ambient_wall,predictive,true,true,0.016563776,setup_schema_or_diagnostic_not_fit_candidate
salt_3,validation,lower_leg,heater,document_only_source_sink_or_blocked,false,false,0.045786417,setup_schema_or_diagnostic_not_fit_candidate
salt_3,validation,upcomer,ambient_wall,predictive,true,true,0.050313118,setup_schema_or_diagnostic_not_fit_candidate
salt_3,validation,upcomer,test_section,document_only_source_sink_or_blocked,false,false,0.012258449,setup_schema_or_diagnostic_not_fit_candidate
salt_4,holdout,cooling_branch,ambient_wall,predictive,true,true,0.032571682,setup_schema_or_diagnostic_not_fit_candidate
salt_4,holdout,cooling_branch,cooler,document_only_source_sink_or_blocked,false,false,0.029778515,setup_schema_or_diagnostic_not_fit_candidate
salt_4,holdout,downcomer,ambient_wall,predictive,true,true,0.063435,setup_schema_or_diagnostic_not_fit_candidate
salt_4,holdout,junction,junction_other,predictive,true,true,0.042478796,setup_schema_or_diagnostic_not_fit_candidate
salt_4,holdout,lower_leg,ambient_wall,predictive,true,true,0.016563776,setup_schema_or_diagnostic_not_fit_candidate
salt_4,holdout,lower_leg,heater,document_only_source_sink_or_blocked,false,false,0.045786417,setup_schema_or_diagnostic_not_fit_candidate
salt_4,holdout,upcomer,ambient_wall,predictive,true,true,0.050313118,setup_schema_or_diagnostic_not_fit_candidate
salt_4,holdout,upcomer,test_section,document_only_source_sink_or_blocked,false,false,0.012258449,setup_schema_or_diagnostic_not_fit_candidate
