sensor,kind,runtime_temperature_allowed,fit_allowed,aggregate_score_current,aggregate_score_after_refresh,source_segment_after_refresh,finite_prediction_rows,total_rows,score_gate_status,score_use,policy_decision,blocker_or_caveat,source_path
TP1,TP,false,false,yes,yes,top_horizontal_exit,3,3,pass,scoreable_provisional_diagnostic_target,post_solve_validation_target_only,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
TP2,TP,false,false,no,yes,right_downcomer_bottom_horizontal_junction,3,3,pass,exclude_from_score_aggregate_report_as_blocked,restore_to_aggregate_validation_only_after_gates,TP2 is projected onto the bottom-horizontal/right-downcomer junction and has finite post-solve 1D score rows; it remains runtime_temperature_allowed=false and fit_allowed=false.,work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
TP3,TP,false,false,yes,yes,left_lower_vertical,3,3,pass,scoreable_provisional_diagnostic_target,post_solve_validation_target_only,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
TP4,TP,false,false,yes,yes,left_lower_vertical,3,3,pass,scoreable_provisional_diagnostic_target,post_solve_validation_target_only,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
TP5,TP,false,false,yes,yes,test_section,3,3,pass,scoreable_provisional_diagnostic_target,post_solve_validation_target_only,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
TP6,TP,false,false,yes,yes,left_upper_vertical,3,3,pass,scoreable_provisional_diagnostic_target,post_solve_validation_target_only,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
TW1,TW,false,false,yes,yes,right_vertical,3,3,pass,scoreable_provisional_diagnostic_target,post_solve_validation_target_only,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
TW2,TW,false,false,yes,yes,right_vertical,3,3,pass,scoreable_provisional_diagnostic_target,post_solve_validation_target_only,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
TW3,TW,false,false,yes,yes,right_vertical,3,3,pass,scoreable_provisional_diagnostic_target,post_solve_validation_target_only,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
TW4,TW,false,false,yes,yes,heated_incline,3,3,pass,scoreable_provisional_diagnostic_target,post_solve_validation_target_only,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
