rank,study_id,title,lane,start_window,scientific_leverage,execution_cost,dependency,blocker_unblock_potential,thesis_value,primary_outputs,acceptance_gate,provenance,status_today,guardrail
1,terminal_anchor_and_f6_gate,Terminal high-heat/PM10 anchor harvest and ordinary F6 gate,hydraulic_f6,when live jobs are terminal,very_high,medium_after_jobs_finish,PM10/high-heat terminal outputs; same-window pressure and reverse-flow metrics,f6-friction-re-correction; upcomer-onset-data-sparsity,decides whether ordinary F6 is admissible or recirculation-mode closure is required,"U,T,wallHeatFlux,Re/Pr/Ri/Gr/Ra/Gz,wall-core DeltaT,RAF/RMF/SVF,steady-window,UQ",RAF < 0.01 and RMF < 0.01 plus same-window pressure loss before ordinary F6 scoring,work_products/2026-07/2026-07-17/2026-07-17_f6_anchor_first_refinement/anchor_gate_table.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_litrev_hydraulic_model_form_ladder/hydraulic_model_form_ladder.csv,contract_ready_wait_for_terminal,Do not fit ordinary F6 from PM5 or non-terminal rows.
2,source_envelope_refresh,Compute branchwise Re/Pr/Gr/Gr_star/Ri/Ra/Gz/Bo/L_over_D/reset-distance envelope,litrev_gate,today,very_high,low,existing LitRev gate output plus current branch/segment rows,all closure lanes; prevents out-of-envelope promotion,chapter-ready table linking literature validity to TAMU operating space,CSV table with TAMU ranges and source-overlap flags,Every source-bounded closure has inside/outside/unknown overlap status,reports/2026-07/2026-07-13/2026-07-13_litrev_lessons_and_research_pathways/research_pathways.csv,startable_existing_evidence,Author/title provenance only; no closure promotion from overlap alone.
3,property_mode_carryforward,Run replication and updated property-mode sensitivity,litrev_gate,today,very_high,low_to_medium,property-mode sensitivity package and every future fit/score table,prevents pressure/heat residuals from absorbing property error,defensible uncertainty axis for all hydraulic and thermal claims,"Mass-flow, pressure, heat, Re, Pr, Gz, residual comparison by property mode",No fitted closure accepted until property sensitivity is reported,reports/2026-07/2026-07-13/2026-07-13_litrev_lessons_and_research_pathways/research_pathways.csv,startable_existing_evidence,Do not mix replication and updated-property modes inside one fitted residual.
4,reset_development_and_named_pressure,Hydraulic reset/development map plus named pressure-loss extraction contract,hydraulic_pressure,today_for_ledger; after terminal for scoring,high,medium,"reset map, pressure ledger, admitted two-tap/plane pressure basis",f6-friction-re-correction,replaces global friction tuning with a branchwise pressure ledger,reset-distance rows; component/cluster/branch-apparent pressure-loss rows,"velocity basis, pressure basis, straight-loss subtraction, recovery/development, and UQ explicit",reports/2026-07/2026-07-13/2026-07-13_litrev_lessons_and_research_pathways/research_pathways.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_litrev_hydraulic_model_form_ladder/hydraulic_model_form_ladder.csv,ledger_startable_scoring_blocked,No universal K and no hidden global friction multiplier.
5,cfd_validity_on_every_reduction,Add reverse-flow and secondary-flow metrics to CFD extraction,cfd_admission,today_for_schema; terminal harvest for data,high,medium,postprocessed planes with reverse and secondary-flow metrics,upcomer-onset-data-sparsity; f6-friction-re-correction,separates single-stream closure rows from section-effective diagnostics,Plane-level invalid-single-stream diagnostics,Section-effective closure is flagged when reverse/secondary flow is material,reports/2026-07/2026-07-13/2026-07-13_litrev_lessons_and_research_pathways/research_pathways.csv,schema_startable,Never export ordinary f_D/K/Nu names from material recirculation rows.
6,wall_temperature_shape_physics,Wall/test-section local temperature-shape physics study,thermal_wall,after active AGENT-511/513 results land,high,medium,"wall failure localization, heater source redistribution, wall-temperature-drive candidate",predictive-wall-test-section-submodels,explains why mdot can improve while TP/TW fields regress,"segment heat-placement errors, probe-localization rows, next wall/fluid coupling candidate contract",improve mdot without worsening all-probe/TW RMSE versus M3 on validation/holdout,work_products/2026-07/2026-07-17/2026-07-17_wall_candidate_failure_localization/summary.json;work_products/2026-07/2026-07-17/2026-07-17_wall_candidate_failure_localization/next_candidate_ladder.csv,readiness_synthesis_only_due_active_agents,"No realized wallHeatFlux, CFD mdot, imposed cooler duty, or validation temperatures at runtime."
7,heat_loss_separation_and_radiation_bound,Separated heat-loss ledger plus radiation bound,thermal_boundary,today_for_existing_evidence,high,low_to_medium,"LitRev heat-loss gate, boundary/radiation packages, wall/passive evidence",predictive-wall-test-section-submodels,prevents internal HTC from absorbing jacket/passive/radiation residuals,"jacket, passive, radiation, heater-efficiency, wall/storage, and residual rows",internal Nu cannot be adjusted until external heat paths are separated and bounded,reports/2026-07/2026-07-13/2026-07-13_litrev_lessons_and_research_pathways/research_pathways.csv,startable_existing_evidence,Do not zero radiation or fold passive loss into Nu without a quantitative bound.
8,conditional_internal_htc_bakeoff,Conditional branchwise internal HTC bakeoff,thermal_internal_htc,after source-envelope and heat-loss separation,medium_high,medium,"source envelope, property lane, heat-loss separation, non-recirculating branch masks",thermal closure credibility; not current primary blocker,shows why Nu forms are gated rather than tuned,Branch HTC score table with temperature error and residual movement,HTC candidate cannot improve temperature by corrupting heat-loss residual,reports/2026-07/2026-07-13/2026-07-13_litrev_lessons_and_research_pathways/research_pathways.csv,plan_only_until_gates,Do not use recirculating upcomer rows as ordinary Nu evidence.
9,instrumentation_pressure_and_thermal,Pressure-tap and thermal instrumentation design,experiment_design,this_week_after ledgers identify highest-value locations,medium_high,planning_low_experiment_high,pressure residual localization and wall/test-section failure localization,future direct validation of F6/named losses and wall HTC,future-work plan grounded in current blocker anatomy,"tap placement, uncertainty, expected K/f extraction, wall/coolant temperature priorities","static, hydrostatic, kinetic, straight-pipe, fitting, wall, jacket, and internal-h terms separated",reports/2026-07/2026-07-13/2026-07-13_litrev_lessons_and_research_pathways/research_pathways.csv,outline_startable,Do not present experiment plan as evidence already available.
10,rom_archive_schema_future_only,ROM-ready archive schema without ROM prediction claim,future_method,after closure tables stabilize,medium,medium,"stable FOM outputs, closure/admission rows, withheld validation metadata",none immediate; preserves future option,future-work appendix and data-management discipline,ROM-ready state-vector and validation metadata schema,"No ROM prediction claim until FOM, snapshots, stabilization, and withheld validation exist",reports/2026-07/2026-07-13/2026-07-13_litrev_lessons_and_research_pathways/research_pathways.csv,future_only,"No ROM prediction claim until FOM, snapshots, stabilization, and withheld validation exist."
