salt,source_id,span,Re,D_m,L_m,x_plus,f_lam_64_Re,f_F1_ratio,f_F3h_ratio,f_CFD_ratio,F3h_gap
1,viscosity_screening_salt_test_1_jin_coarse_mesh,lower_leg,44.625505712186474,0.02182132919954016,0.3568416202986929,0.3664469832831639,1.4341574168989792,1.0,1.0567101134625572,2.5828841549589705,2.4442693621011613
1,viscosity_screening_salt_test_1_jin_coarse_mesh,right_leg,37.52802901278211,0.02181495869709446,0.3657599999905402,0.446772113846943,1.7053919878979384,1.0,1.0465142056899266,1.4947820443638016,1.4283437685189846
1,viscosity_screening_salt_test_1_jin_coarse_mesh,left_lower_leg,44.49036870791845,0.021814958682552486,0.12191999999765796,0.1256187750949802,1.4385135897650856,1.0,1.1654310829275905,1.2096706584599268,1.0379598383640203
1,viscosity_screening_salt_test_1_jin_coarse_mesh,test_section_span,45.05584492616276,0.02069210493406325,0.09807272727386546,0.10519435670400629,1.420459434394867,1.0,1.1975509965660407,1.7164395139426558,1.4332913745339615
1,viscosity_screening_salt_test_1_jin_coarse_mesh,left_upper_leg,43.12789119109775,0.021814958682552486,0.14309041771286912,0.15208904524981456,1.4839584833030408,1.0,1.1366387037663737,1.037783344923826,0.9130283365197931
1,viscosity_screening_salt_test_1_jin_coarse_mesh,upper_leg,40.83391440840246,0.021821740388825197,0.35687444321026807,0.4005023319891507,1.5673246351035752,1.0,1.051887962541409,2.1500189208965814,2.0439619022752558
2,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_leg,67.99763118266802,0.02182132919954016,0.3568416202986929,0.24049193569385008,0.9412092581294659,1.0,1.0864114214060585,2.665588431030625,2.4535718039311107
2,viscosity_screening_salt_test_2_jin_coarse_mesh,right_leg,61.15899206065987,0.02181495869709446,0.3657599999905402,0.2741457353306351,1.0464528247378948,1.0,1.075803659593452,2.194077200921516,2.0394773538423
2,viscosity_screening_salt_test_2_jin_coarse_mesh,left_lower_leg,71.12521667906103,0.021814958682552486,0.12191999999765796,0.07857727373726343,0.8998215118104708,1.0,1.2644689617189528,1.5512184718037778,1.2267746530488262
2,viscosity_screening_salt_test_2_jin_coarse_mesh,test_section_span,68.79759596170659,0.02069210493406325,0.09807272727386546,0.06889224189463358,0.9302650638493679,1.0,1.3016486244094603,1.4627570614045844,1.1237726018941685
2,viscosity_screening_salt_test_2_jin_coarse_mesh,left_upper_leg,66.64763746835195,0.021814958682552486,0.14309041771286912,0.098417288955016,0.960274098693908,1.0,1.2111544650401678,1.0368826444445471,0.8561109869748604
2,viscosity_screening_salt_test_2_jin_coarse_mesh,upper_leg,62.705232933531015,0.021821740388825197,0.35687444321026807,0.2608088221623587,1.0206484691292268,1.0,1.0796800116947856,2.2333782606997006,2.0685557169794615
3,viscosity_screening_salt_test_3_jin_coarse_mesh,lower_leg,90.20420441297262,0.02182132919954016,0.3568416202986929,0.18128735852321934,0.7095012967133483,1.0,1.114631545019386,2.7153993031738257,2.436140727675708
3,viscosity_screening_salt_test_3_jin_coarse_mesh,right_leg,84.74917869256562,0.02181495869709446,0.3657599999905402,0.19783645233155353,0.7551695601932036,1.0,1.105042573070269,2.7216709529237395,2.462955744195269
3,viscosity_screening_salt_test_3_jin_coarse_mesh,left_lower_leg,96.7702467137881,0.021814958682552486,0.12191999999765796,0.05775355349813778,0.6613603062239698,1.0,1.3598263438572673,1.7872441542261426,1.314317936477438
3,viscosity_screening_salt_test_3_jin_coarse_mesh,test_section_span,91.05094038525839,0.02069210493406325,0.09807272727386546,0.05205460374938122,0.7029032289968741,1.0,1.399220213068033,1.193009680361188,0.85262467567225
3,viscosity_screening_salt_test_3_jin_coarse_mesh,left_upper_leg,88.44346571728263,0.021814958682552486,0.14309041771286912,0.07416353194321063,0.7236260981063504,1.0,1.2802084724863543,0.9055847821600383,0.7073729018534448
3,viscosity_screening_salt_test_3_jin_coarse_mesh,upper_leg,83.86183409722794,0.021821740388825197,0.35687444321026807,0.1950121663908511,0.7631600320808573,1.0,1.106563864114762,2.297502780755604,2.0762496004634845
4,viscosity_screening_salt_test_4_jin_coarse_mesh,lower_leg,122.6024614073759,0.02182132919954016,0.3568416202986929,0.13338135105933951,0.5220123581968289,1.0,1.1558032651112877,2.8787623579322377,2.4907027388048197
4,viscosity_screening_salt_test_4_jin_coarse_mesh,right_leg,117.99501141241286,0.02181495869709446,0.3657599999905402,0.14209479409217013,0.5423958117713044,1.0,1.1462492002804845,3.2588818745476877,2.843083226361464
4,viscosity_screening_salt_test_4_jin_coarse_mesh,left_lower_leg,134.88326391686644,0.021814958682552486,0.12191999999765796,0.041434537231078226,0.47448436626982554,1.0,1.501544155883872,2.20917141717455,1.4712663683700589
4,viscosity_screening_salt_test_4_jin_coarse_mesh,test_section_span,123.66235290899029,0.02069210493406325,0.09807272727386546,0.038327110161419105,0.5175382684744888,1.0,1.542207589157579,1.0030682976897352,0.6504106870837374
4,viscosity_screening_salt_test_4_jin_coarse_mesh,left_upper_leg,119.83306251141927,0.021814958682552486,0.14309041771286912,0.05473681183994518,0.534076311317682,1.0,1.3796576618449397,0.8208669519429626,0.5949787216382815
4,viscosity_screening_salt_test_4_jin_coarse_mesh,upper_leg,114.87772115689725,0.021821740388825197,0.35687444321026807,0.14236074479989513,0.5571141153870064,1.0,1.1459759853687932,2.3804306565171482,2.0772081500041977
