source_id,display_label,fluid_family,case_group,base_case_id,variant_label,three_d_outer_insulation_thickness_in,matched_experimental_case_name,matched_optimal_thickness_in,matched_feasible_min_in,matched_feasible_max_in,delta_three_d_minus_matched_optimum_in,family_recommended_uniform_thickness_in,delta_three_d_minus_family_recommended_in,cooler_h_w_m2_k,heater_power_w,package_root
val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,salt,salt_validation,salt_test_2,,1.65,Salt 2,1.729122464242909,1.5123983396777043,nan,-0.07912246424290914,1.9,-0.25,28.57706637639941,265.7,tmp/2026-06-15_live_case_analysis/contract_fix_salt2/val_salt_test_2_coarse_mesh_laminar
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,salt,salt_screening,salt_test_1,jin,1.4,Salt 1,2.4,nan,nan,-1.0,1.9,-0.5,31.29071065643277,232.3,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_jin_coarse_mesh
viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,salt,salt_screening,salt_test_1,kirst,1.4,Salt 1,2.4,nan,nan,-1.0,1.9,-0.5,31.29071065643277,232.3,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh
viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,salt,salt_screening,salt_test_2,jin,1.4,Salt 2,1.729122464242909,1.5123983396777043,nan,-0.32912246424290914,1.9,-0.5,29.81733062574886,265.7,tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_jin_coarse_mesh
viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,salt,salt_screening,salt_test_2,kirst,1.4,Salt 2,1.729122464242909,1.5123983396777043,nan,-0.32912246424290914,1.9,-0.5,29.81733062574886,265.7,tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_kirst_coarse_mesh
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,salt,salt_screening,salt_test_3,jin,1.4,Salt 3,1.6695774221722808,1.4746799374354815,nan,-0.26957742217228087,1.9,-0.5,29.871708360729436,297.5,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_jin_coarse_mesh
viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,salt,salt_screening,salt_test_3,kirst,1.4,Salt 3,1.6695774221722808,1.4746799374354815,nan,-0.26957742217228087,1.9,-0.5,29.871708360729436,297.5,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_kirst_coarse_mesh
viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,salt,salt_screening,salt_test_4,jin,1.4,Salt 4,1.8277331840374482,1.5717986921348768,nan,-0.4277331840374483,1.9,-0.5,29.686756197250634,337.6,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_jin_coarse_mesh
viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,salt,salt_screening,salt_test_4,kirst,1.4,Salt 4,1.8277331840374482,1.5717986921348768,nan,-0.4277331840374483,1.9,-0.5,29.686756197250634,337.6,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_kirst_coarse_mesh
val_water_test_1_coarse_mesh_laminar,Water 1,water,water_validation,water_test_1,,0.4,Water 1,0.37235510352933876,0.2264807529864311,0.7064632431775313,0.027644896470661262,0.4,0.0,105.01276709392775,58.8,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_1_coarse_mesh_laminar
val_water_test_2_coarse_mesh_laminar,Water 2,water,water_validation,water_test_2,,0.4,Water 2,0.40625,0.27992546422650677,0.656898859454192,-0.006249999999999978,0.4,0.0,105.26501991603676,77.6,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_2_coarse_mesh_laminar
val_water_test_3_coarse_mesh_laminar,Water 3,water,water_validation,water_test_3,,0.4,Water 3,0.40625,0.29160505776986445,0.5995715972746203,-0.006249999999999978,0.4,0.0,108.63406705855405,93.0,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_3_coarse_mesh_laminar
val_water_test_4_coarse_mesh_laminar,Water 4,water,water_validation,water_test_4,,0.4,Water 4,0.38777403604554117,0.3061888642214482,0.5178752868869717,0.012225963954458852,0.4,0.0,108.76017831603211,129.0,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_4_coarse_mesh_laminar
