case_name,family,thickness_in,q_unaccounted_w,q_expected_loss_w,q_total_loss_w,q_passive_w,q_fins_w,temperature_offset_c
Salt 1,salt,0.2,-220.10338421762663,203.0671328400278,423.1705170576544,382.9873694763449,40.18314758130954,0.0
Salt 1,salt,0.4,-123.86977857726185,203.0671328400278,326.93691141728965,294.0668105647507,32.87010085253896,0.0
Salt 1,salt,0.6,-81.76873919717366,203.0671328400278,284.83587203720145,255.44998741307248,29.385884624128973,0.0
Salt 1,salt,0.8,-60.057844091943366,203.0671328400278,263.12497693197116,233.42871620708357,29.696260724887583,0.0
Salt 1,salt,1.0,-47.40317994237731,203.0671328400278,250.4703127824051,219.0229655076435,31.447347274761604,0.0
Salt 1,salt,1.2,-38.01096821542572,203.0671328400278,241.07810105545352,208.7756282838406,32.30247277161292,0.0
Salt 1,salt,1.4,-32.38127647674676,203.0671328400278,235.44840931677456,201.06246607948748,34.38594323728707,0.0
Salt 1,salt,1.65,-27.899795897458006,203.0671328400278,230.9669287374858,193.6994918735217,37.2674368639641,0.0
Salt 1,salt,1.8,-26.202412658486764,203.0671328400278,229.26954549851456,190.12653178604003,39.14301371247453,0.0
Salt 1,salt,2.0,-24.85578219113924,203.0671328400278,227.92291503116704,186.0773729791367,41.84554205203033,0.0
Salt 1,salt,2.4,-24.217291376743674,203.0671328400278,227.28442421677147,179.72672335966774,47.55770085710372,0.0
Salt 1,salt,2.8,-25.55936127156241,203.0671328400278,228.6264941115902,174.93897495952564,53.68751915206455,0.0
Salt 2,salt,0.2,-200.29728891058835,235.36822746020442,435.6655163707928,394.1091323320118,41.55638403878096,0.0
Salt 2,salt,0.4,-100.43775328449522,235.36822746020442,335.80598074469964,301.81375112123055,33.99222962346911,0.0
Salt 2,salt,0.6,-56.81085253609575,235.36822746020442,292.1790799963002,261.7850704388574,30.394009557442732,0.0
Salt 2,salt,0.8,-34.32524754883332,235.36822746020442,269.69347500903774,238.97297492537913,30.720500083658607,0.0
Salt 2,salt,1.0,-21.223429726557356,235.36822746020442,256.5916571867618,224.05535620302672,32.536300983735075,0.0
Salt 2,salt,1.2,-11.503615354662372,235.36822746020442,246.8718428148668,213.44651700997062,33.425325804896175,0.0
Salt 2,salt,1.4,-5.678909094942696,235.36822746020442,241.04713655514712,205.46263665912525,35.58449989602185,0.0
Salt 2,salt,1.65,-1.043737719546158,235.36822746020442,236.41196517975058,197.84231925693436,38.569645922816214,0.0
Salt 2,salt,1.729122464242909,1.272445041422543e-05,235.36822746020442,235.368214735754,195.82424979356563,39.54396494218837,0.0
Salt 2,salt,1.8,0.7111913898016269,235.36822746020442,234.6570360704028,194.1448439870115,40.51219208339128,0.0
Salt 2,salt,2.0,2.1023182092206127,235.36822746020442,233.2659092509838,189.95491043387312,43.31099881711069,0.0
Salt 2,salt,2.4,2.7586207803557556,235.36822746020442,232.60960667984867,183.3840490493922,49.22555763045647,0.0
Salt 2,salt,2.8,1.3657267165909843,235.36822746020442,234.00250074361344,178.4307767242376,55.57172401937582,0.0
Salt 3,salt,0.2,-219.1218105110989,261.13938753633283,480.2611980474317,434.8158812217447,45.44531682568703,0.0
Salt 3,salt,0.4,-109.16409832043905,261.13938753633283,370.3034858567719,333.12977525748335,37.17371059928854,0.0
Salt 3,salt,0.6,-61.302868920217065,261.13938753633283,322.4422564565499,289.18297418920287,33.25928226734703,0.0
Salt 3,salt,0.8,-36.67651047374039,261.13938753633283,297.8158980100732,264.17838373609845,33.63751427397477,0.0
Salt 3,salt,1.0,-22.345156699475638,261.13938753633283,283.48454423580847,247.84250507483958,35.64203916096889,0.0
Salt 3,salt,1.2,-11.727441580285756,261.13938753633283,272.8668291166186,236.23242391986076,36.63440519675782,0.0
Salt 3,salt,1.4,-5.373784214387854,261.13938753633283,266.5131717507207,227.49884733536967,39.014324415351,0.0
Salt 3,salt,1.65,-0.32765617435802596,261.13938753633283,261.46704371069086,219.1659960064982,42.30104770419268,0.0
Salt 3,salt,1.6695774221722808,0.013054590507636021,261.13938753633283,261.1263329458252,218.60358347460556,42.52274947121964,0.0
Salt 3,salt,1.8,1.5775508009993473,261.13938753633283,259.5618367353335,215.1237378434457,44.43809889188776,0.0
Salt 3,salt,2.0,3.07934540341148,261.13938753633283,258.06004213292135,210.54407877944476,47.51596335347658,0.0
Salt 3,salt,2.4,3.7590640282272716,261.13938753633283,257.38032350810556,203.36367442445768,54.01664908364785,0.0
Salt 3,salt,2.8,2.1990197431283036,261.13938753633283,258.94036779320453,197.95193891217886,60.98842888102568,0.0
Salt 4,salt,0.2,-249.05626597807594,293.26025871398105,542.316524692057,491.29304402322407,51.02348066883296,0.0
Salt 4,salt,0.4,-124.66912518475164,293.26025871398105,417.9293838987327,376.19227007921967,41.737113819513034,0.0
Salt 4,salt,0.6,-70.77942486903845,293.26025871398105,364.0396835830195,326.66408970750155,37.375593875517936,0.0
Salt 4,salt,0.8,-43.11246519781969,293.26025871398105,336.37272391180073,298.53994378998055,37.83278012182018,0.0
Salt 4,salt,1.0,-27.039676028367353,293.26025871398105,320.2999347423484,280.1872020808676,40.11273266148079,0.0
Salt 4,salt,1.2,-15.15310121561157,293.26025871398105,308.4133599295926,267.1537171153179,41.25964281427475,0.0
