input_family,manifest_id,protected_cases_used,runtime_inputs,runtime_legal,source_path,train_scope
baseline_frozen_setup,V00,false,declared setup fields and model-solved states only,true,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-22/2026-07-22_1d_train_only_setup_uq_smoke_runbook/setup_legal_variation_matrix.csv,nominal train rows only
heater_source_fraction,V01,false,setup heater power; declared distribution only,true,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-22/2026-07-22_1d_train_only_setup_uq_smoke_runbook/setup_legal_variation_matrix.csv,train only
cooler_hx_strength,V02,false,setup HX model fields only,true,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-22/2026-07-22_1d_train_only_setup_uq_smoke_runbook/setup_legal_variation_matrix.csv,train only
ambient_temperature,V03,false,setup ambient field only,true,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-22/2026-07-22_1d_train_only_setup_uq_smoke_runbook/setup_legal_variation_matrix.csv,train only
external_convection_hA,V04,false,"setup h_ext, area, coverage and solved surface state",true,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-22/2026-07-22_1d_train_only_setup_uq_smoke_runbook/setup_legal_variation_matrix.csv,train only
radiation,V05,false,emissivity;Tsur;area;solved surface state,true,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-22/2026-07-22_1d_train_only_setup_uq_smoke_runbook/setup_legal_variation_matrix.csv,train only
fluid_property_mode,V06,false,labeled property mode only,true,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-22/2026-07-22_1d_train_only_setup_uq_smoke_runbook/setup_legal_variation_matrix.csv,train only
pressure_loss_terms,V07,false,existing baseline pressure terms only,true,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-22/2026-07-22_1d_train_only_setup_uq_smoke_runbook/setup_legal_variation_matrix.csv,train only
sensor_projection,V08,false,post-solve projection operator,true,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-22/2026-07-22_1d_train_only_setup_uq_smoke_runbook/setup_legal_variation_matrix.csv,train only output audit
forbidden_runtime_field,forbidden_CFD_mdot,false,CFD_mdot,false,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-22/2026-07-22_1d_train_only_setup_uq_smoke_runbook/split_and_runtime_guardrails.csv,none
forbidden_runtime_field,forbidden_realized_CFD_wallHeatFlux,false,realized_CFD_wallHeatFlux,false,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-22/2026-07-22_1d_train_only_setup_uq_smoke_runbook/split_and_runtime_guardrails.csv,none
forbidden_runtime_field,forbidden_imposed_CFD_cooler_duty,false,imposed_CFD_cooler_duty,false,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-22/2026-07-22_1d_train_only_setup_uq_smoke_runbook/split_and_runtime_guardrails.csv,none
forbidden_runtime_field,forbidden_validation_temperatures,false,validation_temperatures,false,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-22/2026-07-22_1d_train_only_setup_uq_smoke_runbook/split_and_runtime_guardrails.csv,none
forbidden_runtime_field,forbidden_holdout_temperatures,false,holdout_temperatures,false,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-22/2026-07-22_1d_train_only_setup_uq_smoke_runbook/split_and_runtime_guardrails.csv,none
forbidden_runtime_field,forbidden_external_test_temperatures,false,external_test_temperatures,false,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-22/2026-07-22_1d_train_only_setup_uq_smoke_runbook/split_and_runtime_guardrails.csv,none
forbidden_runtime_field,forbidden_realized_test_section_heat,false,realized_test_section_heat,false,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-22/2026-07-22_1d_train_only_setup_uq_smoke_runbook/split_and_runtime_guardrails.csv,none
forbidden_runtime_field,forbidden_heat_residual_as_runtime_closure,false,heat_residual_as_runtime_closure,false,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-22/2026-07-22_1d_train_only_setup_uq_smoke_runbook/split_and_runtime_guardrails.csv,none
forbidden_runtime_field,forbidden_global_multiplier_selected_by_score,false,global_multiplier_selected_by_score,false,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-22/2026-07-22_1d_train_only_setup_uq_smoke_runbook/split_and_runtime_guardrails.csv,none
