case_id,variant_id,input_family,level,scenario_id,delta_family,baseline_mdot_model_kg_s,variant_mdot_model_kg_s,delta_mdot_model_kg_s,baseline_qhx_total_W,variant_qhx_total_W,delta_qhx_total_W,baseline_qambient_total_W,variant_qambient_total_W,delta_qambient_total_W,baseline_temperature_periodicity_error_K,variant_temperature_periodicity_error_K,delta_temperature_periodicity_error_K,baseline_pressure_residual_Pa,variant_pressure_residual_Pa,delta_pressure_residual_Pa
salt_2,V01,heater_source_fraction,upstream_plus_0p10,salt_2__V01__upstream_plus_0p10,case_baseline_delta,0.0202249109771,0.0201541114132,-7.07995638908e-05,46.3059033707,46.3095216518,0.00361828111689,256.393763167,256.390033305,-0.00372986158749,-5.70696556679e-09,-4.7591584007e-09,9.47807166085e-10,-9.79072751761e-08,-8.21899703851e-09,8.96882781376e-08
salt_2,V01,heater_source_fraction,downstream_plus_0p10,salt_2__V01__downstream_plus_0p10,case_baseline_delta,0.0202249109771,0.0195684266422,-0.000656484334896,46.3059033707,46.3437397435,0.0378363728285,256.393763167,256.355858468,-0.0379046990044,-5.70696556679e-09,8.17180989543e-10,6.52414655633e-09,-9.79072751761e-08,7.68439747389e-08,1.74751249915e-07
salt_2,V02,cooler_hx_strength,hx_ua_0p8,salt_2__V02__hx_ua_0p8,case_baseline_delta,0.0202249109771,0.020266039314,4.11283368785e-05,46.3059033707,39.1237359871,-7.18216738357,256.393763167,263.575847397,7.18208423015,-5.70696556679e-09,2.14095052797e-09,7.84791609476e-09,-9.79072751761e-08,9.32541155407e-08,1.91161390717e-07
salt_2,V02,cooler_hx_strength,hx_ua_1p2,salt_2__V02__hx_ua_1p2,case_baseline_delta,0.0202249109771,0.0201731367441,-5.17742330668e-05,46.3059033707,52.6977738279,6.39187045721,256.393763167,250.001963449,-6.3917997183,-5.70696556679e-09,5.07230879521e-09,1.0779274362e-08,-9.79072751761e-08,-8.68044836011e-08,1.1102791575e-08
salt_2,V03,ambient_temperature,ambient_minus_2K,salt_2__V03__ambient_minus_2K,case_baseline_delta,0.0202249109771,0.0201412924022,-8.36185749e-05,46.3059033707,46.0663478213,-0.239555549325,256.393763167,256.633319133,0.239555965561,-5.70696556679e-09,5.54337020731e-10,6.26130258752e-09,-9.79072751761e-08,3.25003810531e-08,1.30407656229e-07
salt_2,V03,ambient_temperature,ambient_plus_2K,salt_2__V03__ambient_plus_2K,case_baseline_delta,0.0202249109771,0.0203082820594,8.33710822789e-05,46.3059033707,46.5457827404,0.239879369761,256.393763167,256.153883026,-0.239880140681,-5.70696556679e-09,-7.24867277313e-10,4.98209828947e-09,-9.79072751761e-08,-7.33130463004e-08,2.45942288757e-08
salt_2,V04,external_convection_hA,external_hA_0p5,salt_2__V04__external_hA_0p5,case_baseline_delta,0.0202249109771,0.0207507417802,0.000525830803105,46.3059033707,48.1862875149,1.88038414426,256.393763167,254.513625379,-1.8801377877,-5.70696556679e-09,-5.97083271714e-10,5.10988229507e-09,-9.79072751761e-08,-1.05476715362e-07,-7.56944018576e-09
salt_2,V04,external_convection_hA,external_hA_2p0,salt_2__V04__external_hA_2p0,case_baseline_delta,0.0202249109771,0.0194132013673,-0.000811709609816,46.3059033707,43.4593087525,-2.8465946182,256.393763167,259.239733104,2.84596993663,-5.70696556679e-09,-2.60286014964e-10,5.44667955182e-09,-9.79072751761e-08,-5.63332136494e-08,4.15740615267e-08
salt_2,V05,radiation,radiation_on,salt_2__V05__radiation_on,case_baseline_delta,0.0202249109771,0.0202249109771,0,46.3059033707,46.3059033707,0,256.393763167,256.393763167,0,-5.70696556679e-09,-5.70696556679e-09,0,-9.79072751761e-08,-9.79072751761e-08,0
salt_2,V07,pressure_loss_terms,major_loss_0p9,salt_2__V07__major_loss_0p9,case_baseline_delta,0.0202249109771,0.0211585285057,0.000933617528568,46.3059033707,46.3152041537,0.00930078303718,256.393763167,256.384475436,-0.0092877311323,-5.70696556679e-09,-4.6295554057e-09,1.07741016109e-09,-9.79072751761e-08,-1.64905245015e-08,8.14167506746e-08
