case_id,variant_id,input_family,level,sensor,baseline_prediction_K,variant_prediction_K,delta_prediction_K,runtime_temperature_allowed,fit_allowed,model_selection_allowed
salt_2,V01,heater_source_fraction,upstream_plus_0p10,TP1,510.09624721,510.112513052,0.0162658429203,false,false,false
salt_2,V01,heater_source_fraction,upstream_plus_0p10,TP2,,,,false,false,false
salt_2,V01,heater_source_fraction,upstream_plus_0p10,TP3,515.51307171,515.549280315,0.0362086051135,false,false,false
salt_2,V01,heater_source_fraction,upstream_plus_0p10,TP4,514.752670819,514.786032892,0.033362072566,false,false,false
salt_2,V01,heater_source_fraction,upstream_plus_0p10,TP5,513.803218728,513.832963917,0.0297451894039,false,false,false
salt_2,V01,heater_source_fraction,upstream_plus_0p10,TP6,513.05178275,513.078747804,0.0269650543891,false,false,false
salt_2,V01,heater_source_fraction,upstream_plus_0p10,TW1,507.985917345,507.998537641,0.0126202964433,false,false,false
salt_2,V01,heater_source_fraction,upstream_plus_0p10,TW10,506.248983058,506.264180447,0.0151973890257,false,false,false
salt_2,V01,heater_source_fraction,upstream_plus_0p10,TW11,509.072566673,509.088814633,0.0162479592714,false,false,false
salt_2,V01,heater_source_fraction,upstream_plus_0p10,TW2,507.33015128,507.340894117,0.0107428361621,false,false,false
salt_2,V01,heater_source_fraction,upstream_plus_0p10,TW3,507.080063471,507.089440308,0.00937683755029,false,false,false
salt_2,V01,heater_source_fraction,upstream_plus_0p10,TW4,508.407896429,506.407029744,-2.00086668497,false,false,false
salt_2,V01,heater_source_fraction,upstream_plus_0p10,TW5,510.019801914,510.372457187,0.35265527337,false,false,false
salt_2,V01,heater_source_fraction,upstream_plus_0p10,TW6,512.041652307,513.322076368,1.28042406051,false,false,false
salt_2,V01,heater_source_fraction,upstream_plus_0p10,TW7,513.253846688,513.286118605,0.0322719176762,false,false,false
salt_2,V01,heater_source_fraction,upstream_plus_0p10,TW8,511.569102952,511.59504726,0.0259443078494,false,false,false
salt_2,V01,heater_source_fraction,upstream_plus_0p10,TW9,510.972131532,510.995198532,0.0230670002245,false,false,false
salt_2,V01,heater_source_fraction,downstream_plus_0p10,TP1,510.09624721,510.265300958,0.169053748287,false,false,false
salt_2,V01,heater_source_fraction,downstream_plus_0p10,TP2,,,,false,false,false
salt_2,V01,heater_source_fraction,downstream_plus_0p10,TP3,515.51307171,515.873508514,0.36043680405,false,false,false
salt_2,V01,heater_source_fraction,downstream_plus_0p10,TP4,514.752670819,515.085791977,0.333121158388,false,false,false
salt_2,V01,heater_source_fraction,downstream_plus_0p10,TP5,513.803218728,514.101463758,0.298245029669,false,false,false
salt_2,V01,heater_source_fraction,downstream_plus_0p10,TP6,513.05178275,513.32335957,0.271576820492,false,false,false
salt_2,V01,heater_source_fraction,downstream_plus_0p10,TW1,507.985917345,508.120105215,0.134187870839,false,false,false
salt_2,V01,heater_source_fraction,downstream_plus_0p10,TW10,506.248983058,506.408158918,0.15917586028,false,false,false
salt_2,V01,heater_source_fraction,downstream_plus_0p10,TW11,509.072566673,509.241520926,0.16895425246,false,false,false
salt_2,V01,heater_source_fraction,downstream_plus_0p10,TW2,507.33015128,507.446356313,0.116205032853,false,false,false
salt_2,V01,heater_source_fraction,downstream_plus_0p10,TW3,507.080063471,507.183167264,0.103103793562,false,false,false
salt_2,V01,heater_source_fraction,downstream_plus_0p10,TW4,508.407896429,506.378857063,-2.02903936548,false,false,false
