case,skip_reason,variant_id
Salt 2,solve_budget_exhausted,V01_heater_front_shift
Salt 3,solve_budget_exhausted,V01_heater_front_shift
Salt 4,solve_budget_exhausted,V01_heater_front_shift
Salt 2,solve_budget_exhausted,V02_hx_ua_0p8
Salt 3,solve_budget_exhausted,V02_hx_ua_0p8
Salt 4,solve_budget_exhausted,V02_hx_ua_0p8
Salt 2,solve_budget_exhausted,V02_hx_ua_1p2
Salt 3,solve_budget_exhausted,V02_hx_ua_1p2
Salt 4,solve_budget_exhausted,V02_hx_ua_1p2
Salt 2,solve_budget_exhausted,V03_ambient_minus2K
Salt 3,solve_budget_exhausted,V03_ambient_minus2K
Salt 4,solve_budget_exhausted,V03_ambient_minus2K
Salt 2,solve_budget_exhausted,V03_ambient_plus2K
Salt 3,solve_budget_exhausted,V03_ambient_plus2K
Salt 4,solve_budget_exhausted,V03_ambient_plus2K
Salt 2,solve_budget_exhausted,V04_external_hA_0p5
Salt 3,solve_budget_exhausted,V04_external_hA_0p5
Salt 4,solve_budget_exhausted,V04_external_hA_0p5
Salt 2,solve_budget_exhausted,V04_external_hA_2p0
Salt 3,solve_budget_exhausted,V04_external_hA_2p0
Salt 4,solve_budget_exhausted,V04_external_hA_2p0
Salt 2,solve_budget_exhausted,V05_radiation_on
Salt 3,solve_budget_exhausted,V05_radiation_on
Salt 4,solve_budget_exhausted,V05_radiation_on
Salt 2,solve_budget_exhausted,V06_property_salt_promoted
Salt 3,solve_budget_exhausted,V06_property_salt_promoted
Salt 4,solve_budget_exhausted,V06_property_salt_promoted
Salt 2,solve_budget_exhausted,V06_property_salt_kirst
Salt 3,solve_budget_exhausted,V06_property_salt_kirst
Salt 4,solve_budget_exhausted,V06_property_salt_kirst
Salt 2,solve_budget_exhausted,V07_pressure_major_loss_0p9
Salt 3,solve_budget_exhausted,V07_pressure_major_loss_0p9
Salt 4,solve_budget_exhausted,V07_pressure_major_loss_0p9
Salt 2,solve_budget_exhausted,V07_pressure_major_loss_1p1
Salt 3,solve_budget_exhausted,V07_pressure_major_loss_1p1
Salt 4,solve_budget_exhausted,V07_pressure_major_loss_1p1
