patch_name,leg_name,s_start_m,s_end_m,s_mid_m,darcy_f_mean,darcy_f_min,darcy_f_max,darcy_f_std,yplus_avg_mean,warning_fraction,time_sample_count
pipeleg_lower_01_fitting,lower_leg,0.0,0.10550177777780959,0.05275088888890479,0.030536343504047624,0.03053406144511005,0.03053837038392727,1.5870358830222323e-06,0.12709995234,1.0,5
pipeleg_upper_01_straight,upper_leg,0.3138352775243187,0.0,0.15691763876215936,0.7018741585786443,0.7018108762860447,0.7019346750563977,4.4385384156494887e-05,0.11171910117999999,1.0,5
pipeleg_lower_02_straight,lower_leg,0.10550177777780959,0.21100355555561917,0.1582526666667144,0.0013958912848886884,0.0013724768527569435,0.0014094621403783535,1.3496700408518553e-05,0.12435876411999999,1.0,5
pipeleg_lower_03_bend,lower_leg,0.21100355555561917,0.3165053333334288,0.263754444444524,0.16131286965518496,0.16130002935423401,0.16132128419891784,7.247179247880475e-06,0.15677772992,1.0,5
pipeleg_lower_04_straight,lower_leg,0.3165053333334288,0.42200711111123834,0.36925622222233356,0.5722069287045193,0.5721575832368174,0.5722728529363091,4.2738536557881116e-05,0.17763941666,1.0,5
pipeleg_upper_02_bend,upper_leg,0.627670555048637,0.3138352775243187,0.47075291628647786,0.8740605659035341,0.8739849924159361,0.8741558684400969,6.508312910405556e-05,0.11745417108,1.0,5
pipeleg_lower_05_straight,lower_leg,0.42200711111123834,0.527508888889048,0.4747580000001432,0.6059974387307469,0.6058836461422421,0.6061471967648936,0.00010327346034167952,0.17526146746,1.0,5
pipeleg_lower_06_straight,lower_leg,0.527508888889048,0.6330106666668576,0.5802597777779528,0.5629027219037062,0.5626674111139234,0.5631745034714356,0.0001950238259486847,0.1580765697,1.0,5
pipeleg_lower_07_bend,lower_leg,0.6330106666668576,0.7385124444446671,0.6857615555557623,0.17382948771639345,0.17265674357058153,0.17488321481802596,0.0008116354457945078,0.10177573136,1.0,5
pipeleg_upper_03_straight,upper_leg,0.9415058325729553,0.627670555048637,0.7845881938107961,0.928398252248033,0.9283119286058147,0.9285068612060103,7.408346482507759e-05,0.11730031816,1.0,5
pipeleg_lower_08_straight,lower_leg,0.7385124444446671,0.8440142222224767,0.7912633333335719,0.054860579066857394,0.05450892152693518,0.055468753346929536,0.00032856568172302835,0.11259786543999999,1.0,5
pipeleg_lower_09_fitting,lower_leg,0.8440142222224767,0.9495160000002864,0.8967651111113815,0.13524930188478124,0.13464651813286976,0.13672992272534887,0.0007835584488822999,0.11558611826000001,1.0,5
pipeleg_upper_04_reducer,upper_leg,1.2553411100972736,0.9415058325729553,1.0984234713351144,1.0388138147563155,1.0387099660778385,1.0389394934248302,8.745160123439483e-05,0.12220393586,1.0,5
pipeleg_right_01_lower,right_leg,0.9495160000002864,1.2580114992398128,1.1037637496200496,0.2885449368601132,0.288427645378081,0.28869331577802776,0.00011876577875728967,0.1347290611,1.0,5
pipeleg_upper_05_cooler,upper_leg,1.5691763876215923,1.2553411100972736,1.412258748859433,1.0376429476448679,1.037538601049716,1.0377695829704272,8.819647937666317e-05,0.1266058813,1.0,5
pipeleg_right_02_middle,right_leg,1.2580114992398128,1.5665069984793394,1.4122592488595762,0.2856481633883756,0.28550684753637473,0.2858460339550121,0.00011190789527501391,0.1340262194,1.0,5
pipeleg_right_03_upper,right_leg,1.5665069984793394,1.875002497718866,1.7207547480991026,0.2462219948964889,0.24611187720164668,0.24651765168470627,0.00015280515184694628,0.13213862776000002,1.0,5
pipeleg_upper_06_reducer,upper_leg,1.8830116651459106,1.5691763876215923,1.7260940263837514,0.7766478435407145,0.7765851456253877,0.7767330153927622,5.662124697205787e-05,0.12571892826,1.0,5
pipeleg_left_07_lower,left_leg,1.875002497718866,2.112381247718866,1.993691872718866,0.892300346187637,0.8922055002127368,0.8924134244596666,7.894035950867985e-05,0.15324179624,1.0,5
pipeleg_upper_07_straight,upper_leg,2.196846942670229,1.8830116651459106,2.0399293039080697,0.6527606892334494,0.6527170307119549,0.6528296483027803,4.361068509428595e-05,0.12166062958000001,1.0,5
pipeleg_left_06_connector,left_leg,2.112381247718866,2.349759997718866,2.2310706227188657,0.5146529471797038,0.5146163604519786,0.5147091467974034,3.200461366738505e-05,0.12465641068,1.0,5
pipeleg_upper_08_bend,upper_leg,2.5106822201945476,2.196846942670229,2.3537645814323884,0.6406880817864936,0.6406466555450941,0.6407490531006674,3.9176187609139906e-05,0.11986623140000001,1.0,5
pipeleg_left_02_connector,left_leg,2.349759997718866,2.587138747718866,2.468449372718866,0.2348410483263835,0.23482887225215177,0.2348527856707416,9.405656391873637e-06,0.098381746668,1.0,5
pipeleg_upper_09_straight,upper_leg,2.824517497718866,2.5106822201945476,2.6675998589567067,0.6783180349351138,0.6782789877822994,0.6783741071737992,3.65495749565217e-05,0.12632354112,1.0,5
pipeleg_left_01_upper,left_leg,2.587138747718866,2.824517497718866,2.7058281227188656,0.6066949669100838,0.6066651355642101,0.6067471664270354,3.2364485141298245e-05,0.1312011521,1.0,5
