patch_name,leg_name,patch_index_in_leg,patch_count_in_leg,s_start_m,s_end_m,s_mid_m,tangent_x,tangent_y,tangent_z
pipeleg_lower_01_fitting,lower_leg,1,9,0.0,0.10550177777780959,0.05275088888890479,0.0,-1.0,0.0
pipeleg_lower_02_straight,lower_leg,2,9,0.10550177777780959,0.21100355555561917,0.1582526666667144,0.0,-1.0,0.0
pipeleg_lower_03_bend,lower_leg,3,9,0.21100355555561917,0.3165053333334288,0.263754444444524,0.0,-1.0,0.0
pipeleg_lower_04_straight,lower_leg,4,9,0.3165053333334288,0.42200711111123834,0.36925622222233356,0.0,-1.0,0.0
pipeleg_lower_05_straight,lower_leg,5,9,0.42200711111123834,0.527508888889048,0.4747580000001432,0.0,-1.0,0.0
pipeleg_lower_06_straight,lower_leg,6,9,0.527508888889048,0.6330106666668576,0.5802597777779528,0.0,-1.0,0.0
pipeleg_lower_07_bend,lower_leg,7,9,0.6330106666668576,0.7385124444446671,0.6857615555557623,0.0,-1.0,0.0
pipeleg_lower_08_straight,lower_leg,8,9,0.7385124444446671,0.8440142222224767,0.7912633333335719,0.0,-1.0,0.0
pipeleg_lower_09_fitting,lower_leg,9,9,0.8440142222224767,0.9495160000002864,0.8967651111113815,0.0,-1.0,0.0
pipeleg_right_01_lower,right_leg,1,3,0.9495160000002864,1.2580114992398128,1.1037637496200496,-0.9638272962835533,0.266527565063607,0.0
pipeleg_right_02_middle,right_leg,2,3,1.2580114992398128,1.5665069984793394,1.4122592488595762,-0.9638272962835533,0.266527565063607,0.0
pipeleg_right_03_upper,right_leg,3,3,1.5665069984793394,1.875002497718866,1.7207547480991026,-0.9638272962835533,0.266527565063607,0.0
pipeleg_left_07_lower,left_leg,1,4,1.875002497718866,2.112381247718866,1.993691872718866,0.0,1.0,0.0
pipeleg_left_06_connector,left_leg,2,4,2.112381247718866,2.349759997718866,2.2310706227188657,0.0,1.0,0.0
pipeleg_left_02_connector,left_leg,3,4,2.349759997718866,2.587138747718866,2.468449372718866,0.0,1.0,0.0
pipeleg_left_01_upper,left_leg,4,4,2.587138747718866,2.824517497718866,2.7058281227188656,0.0,1.0,0.0
pipeleg_upper_09_straight,upper_leg,1,9,2.824517497718866,2.5106822201945476,2.6675998589567067,0.9638275752565836,-0.26652655622848304,0.0
pipeleg_upper_08_bend,upper_leg,2,9,2.5106822201945476,2.196846942670229,2.3537645814323884,0.9638275752565836,-0.26652655622848304,0.0
pipeleg_upper_07_straight,upper_leg,3,9,2.196846942670229,1.8830116651459106,2.0399293039080697,0.9638275752565836,-0.26652655622848304,0.0
pipeleg_upper_06_reducer,upper_leg,4,9,1.8830116651459106,1.5691763876215923,1.7260940263837514,0.9638275752565836,-0.26652655622848304,0.0
pipeleg_upper_05_cooler,upper_leg,5,9,1.5691763876215923,1.2553411100972736,1.412258748859433,0.9638275752565836,-0.26652655622848304,0.0
pipeleg_upper_04_reducer,upper_leg,6,9,1.2553411100972736,0.9415058325729553,1.0984234713351144,0.9638275752565836,-0.26652655622848304,0.0
pipeleg_upper_03_straight,upper_leg,7,9,0.9415058325729553,0.627670555048637,0.7845881938107961,0.9638275752565836,-0.26652655622848304,0.0
pipeleg_upper_02_bend,upper_leg,8,9,0.627670555048637,0.3138352775243187,0.47075291628647786,0.9638275752565836,-0.26652655622848304,0.0
pipeleg_upper_01_straight,upper_leg,9,9,0.3138352775243187,0.0,0.15691763876215936,0.9638275752565836,-0.26652655622848304,0.0
