harvest_id,source_family,case_key,feature_or_plane,time_or_window_s,plane_path,reverse_area_fraction,reverse_mass_fraction,secondary_flow_intensity,transverse_velocity_components,signed_mdot_basis,absolute_mdot_basis,normal_velocity_basis,wall_core_delta_T_status,field_status,admission_use,blocked_reason,coefficient_admission_status,source_paths
MPRH-TT-001,two_tap_endpoint_recirc,salt2_mainline,corner_lower_right,7915,endpoint_pair_faces_from_two_tap_package,0.763078957263,0.499996018691,0.800053410079,not_exported_scalar_SVF_only,endpoint_signed_flow_available_in_source_package,endpoint_reverse_mass_fraction_available,two_tap_endpoint_face_normal_basis,not_required_for_pressure_corner_endpoint_row,recirc_metrics_present,diagnostic_or_section_effective_only,fail_material_reverse_flow,no_coefficient_admission,work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/endpoint_recirculation_metrics.csv
MPRH-TT-002,two_tap_endpoint_recirc,salt3_mainline,corner_lower_right,7618,endpoint_pair_faces_from_two_tap_package,0.763078957263,0.499987490492,0.801547027155,not_exported_scalar_SVF_only,endpoint_signed_flow_available_in_source_package,endpoint_reverse_mass_fraction_available,two_tap_endpoint_face_normal_basis,not_required_for_pressure_corner_endpoint_row,recirc_metrics_present,diagnostic_or_section_effective_only,fail_material_reverse_flow,no_coefficient_admission,work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/endpoint_recirculation_metrics.csv
MPRH-TT-003,two_tap_endpoint_recirc,salt4_mainline,corner_lower_right,10000,endpoint_pair_faces_from_two_tap_package,0.763078957263,0.499990838606,0.801429296553,not_exported_scalar_SVF_only,endpoint_signed_flow_available_in_source_package,endpoint_reverse_mass_fraction_available,two_tap_endpoint_face_normal_basis,not_required_for_pressure_corner_endpoint_row,recirc_metrics_present,diagnostic_or_section_effective_only,fail_material_reverse_flow,no_coefficient_admission,work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/endpoint_recirculation_metrics.csv
MPRH-UP-004,upcomer_matched_plane_diagnostic_proxy,salt2_jin_nominal_continuation,upcomer_inlet,7915,not_sampled_proxy_row,0.6197916667,0.4736619997,0.07945120764,missing_components_scalar_secondary_fraction_only,not_sampled_or_not_admission_grade,not_sampled_or_not_admission_grade,diagnostic_secmean_proxy_or_parse_incomplete,missing,awaiting_compute_node_sampling,diagnostic_recirc_gate_only,blocked-compute-node-sampling-required,no_coefficient_admission,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/registry/salt2/ethan_modern_runs_staged/salt_test_2_jin/viscosity_screening_salt_test_2_jin_coarse_mesh;jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-14/2026-07-14_upcomer_onset_blocker_resolution/upcomer_onset_evidence_status.csv;work_products/2026-07/2026-07-08/2026-07-08_upcomer_onset/upcomer_onset_regime_table.csv;work_products/2026-07/2026-07-07/2026-07-07_upcomer_correlation_v2/upcomer_dataset.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv;work_products/2026-07/2026-07-14/2026-07-14_thermal_admission_internal_nu_final_gate/thermal_admission_internal_nu_final_gate.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-14/2026-07-14_upcomer_internal_nu_extraction_contract/upcomer_extraction_contract.csv
MPRH-UP-005,upcomer_matched_plane_diagnostic_proxy,salt2_jin_nominal_continuation,upcomer_mid,7915,not_sampled_proxy_row,0.3223938224,0.4622774807,0.0009772265829,missing_components_scalar_secondary_fraction_only,not_sampled_or_not_admission_grade,not_sampled_or_not_admission_grade,diagnostic_secmean_proxy_or_parse_incomplete,missing,awaiting_compute_node_sampling,diagnostic_recirc_gate_only,blocked-compute-node-sampling-required,no_coefficient_admission,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/registry/salt2/ethan_modern_runs_staged/salt_test_2_jin/viscosity_screening_salt_test_2_jin_coarse_mesh;jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-14/2026-07-14_upcomer_onset_blocker_resolution/upcomer_onset_evidence_status.csv;work_products/2026-07/2026-07-08/2026-07-08_upcomer_onset/upcomer_onset_regime_table.csv;work_products/2026-07/2026-07-07/2026-07-07_upcomer_correlation_v2/upcomer_dataset.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv;work_products/2026-07/2026-07-14/2026-07-14_thermal_admission_internal_nu_final_gate/thermal_admission_internal_nu_final_gate.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-14/2026-07-14_upcomer_internal_nu_extraction_contract/upcomer_extraction_contract.csv
MPRH-UP-006,upcomer_matched_plane_diagnostic_proxy,salt2_jin_nominal_continuation,upcomer_outlet,7915,not_sampled_proxy_row,0.837962963,0.5738234099,0.7805272007,missing_components_scalar_secondary_fraction_only,not_sampled_or_not_admission_grade,not_sampled_or_not_admission_grade,diagnostic_secmean_proxy_or_parse_incomplete,missing,awaiting_compute_node_sampling,diagnostic_recirc_gate_only,blocked-compute-node-sampling-required,no_coefficient_admission,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/registry/salt2/ethan_modern_runs_staged/salt_test_2_jin/viscosity_screening_salt_test_2_jin_coarse_mesh;jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-14/2026-07-14_upcomer_onset_blocker_resolution/upcomer_onset_evidence_status.csv;work_products/2026-07/2026-07-08/2026-07-08_upcomer_onset/upcomer_onset_regime_table.csv;work_products/2026-07/2026-07-07/2026-07-07_upcomer_correlation_v2/upcomer_dataset.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv;work_products/2026-07/2026-07-14/2026-07-14_thermal_admission_internal_nu_final_gate/thermal_admission_internal_nu_final_gate.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-14/2026-07-14_upcomer_internal_nu_extraction_contract/upcomer_extraction_contract.csv
MPRH-UP-007,upcomer_matched_plane_diagnostic_proxy,salt3_jin_nominal_continuation,upcomer_inlet,7618,not_sampled_proxy_row,0.5902777778,0.4724982372,0.08870576089,missing_components_scalar_secondary_fraction_only,not_sampled_or_not_admission_grade,not_sampled_or_not_admission_grade,diagnostic_secmean_proxy_or_parse_incomplete,missing,awaiting_compute_node_sampling,diagnostic_recirc_gate_only,blocked-compute-node-sampling-required,no_coefficient_admission,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/registry/salt3/ethan_modern_runs_staged/salt_test_3_jin/viscosity_screening_salt_test_3_jin_coarse_mesh;jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-14/2026-07-14_upcomer_onset_blocker_resolution/upcomer_onset_evidence_status.csv;work_products/2026-07/2026-07-08/2026-07-08_upcomer_onset/upcomer_onset_regime_table.csv;work_products/2026-07/2026-07-07/2026-07-07_upcomer_correlation_v2/upcomer_dataset.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv;work_products/2026-07/2026-07-14/2026-07-14_thermal_admission_internal_nu_final_gate/thermal_admission_internal_nu_final_gate.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-14/2026-07-14_upcomer_internal_nu_extraction_contract/upcomer_extraction_contract.csv
MPRH-UP-008,upcomer_matched_plane_diagnostic_proxy,salt3_jin_nominal_continuation,upcomer_mid,7618,not_sampled_proxy_row,0.3281853282,0.4516796746,0.001779343706,missing_components_scalar_secondary_fraction_only,not_sampled_or_not_admission_grade,not_sampled_or_not_admission_grade,diagnostic_secmean_proxy_or_parse_incomplete,missing,awaiting_compute_node_sampling,diagnostic_recirc_gate_only,blocked-compute-node-sampling-required,no_coefficient_admission,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/registry/salt3/ethan_modern_runs_staged/salt_test_3_jin/viscosity_screening_salt_test_3_jin_coarse_mesh;jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-14/2026-07-14_upcomer_onset_blocker_resolution/upcomer_onset_evidence_status.csv;work_products/2026-07/2026-07-08/2026-07-08_upcomer_onset/upcomer_onset_regime_table.csv;work_products/2026-07/2026-07-07/2026-07-07_upcomer_correlation_v2/upcomer_dataset.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv;work_products/2026-07/2026-07-14/2026-07-14_thermal_admission_internal_nu_final_gate/thermal_admission_internal_nu_final_gate.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-14/2026-07-14_upcomer_internal_nu_extraction_contract/upcomer_extraction_contract.csv
MPRH-UP-009,upcomer_matched_plane_diagnostic_proxy,salt3_jin_nominal_continuation,upcomer_outlet,7618,not_sampled_proxy_row,0.8302469136,0.5743062811,0.7887477349,missing_components_scalar_secondary_fraction_only,not_sampled_or_not_admission_grade,not_sampled_or_not_admission_grade,diagnostic_secmean_proxy_or_parse_incomplete,missing,awaiting_compute_node_sampling,diagnostic_recirc_gate_only,blocked-compute-node-sampling-required,no_coefficient_admission,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/registry/salt3/ethan_modern_runs_staged/salt_test_3_jin/viscosity_screening_salt_test_3_jin_coarse_mesh;jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-14/2026-07-14_upcomer_onset_blocker_resolution/upcomer_onset_evidence_status.csv;work_products/2026-07/2026-07-08/2026-07-08_upcomer_onset/upcomer_onset_regime_table.csv;work_products/2026-07/2026-07-07/2026-07-07_upcomer_correlation_v2/upcomer_dataset.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv;work_products/2026-07/2026-07-14/2026-07-14_thermal_admission_internal_nu_final_gate/thermal_admission_internal_nu_final_gate.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-14/2026-07-14_upcomer_internal_nu_extraction_contract/upcomer_extraction_contract.csv
MPRH-UP-010,upcomer_matched_plane_diagnostic_proxy,salt4_jin_nominal_continuation,upcomer_inlet,10000,not_sampled_proxy_row,0.5416666667,0.4689926046,0.1053331387,missing_components_scalar_secondary_fraction_only,not_sampled_or_not_admission_grade,not_sampled_or_not_admission_grade,diagnostic_secmean_proxy_or_parse_incomplete,missing,awaiting_compute_node_sampling,diagnostic_recirc_gate_only,blocked-compute-node-sampling-required,no_coefficient_admission,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/registry/salt4/ethan_modern_runs_staged/salt_test_4_jin/viscosity_screening_salt_test_4_jin_coarse_mesh;jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-14/2026-07-14_upcomer_onset_blocker_resolution/upcomer_onset_evidence_status.csv;work_products/2026-07/2026-07-08/2026-07-08_upcomer_onset/upcomer_onset_regime_table.csv;work_products/2026-07/2026-07-07/2026-07-07_upcomer_correlation_v2/upcomer_dataset.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv;work_products/2026-07/2026-07-14/2026-07-14_thermal_admission_internal_nu_final_gate/thermal_admission_internal_nu_final_gate.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-14/2026-07-14_upcomer_internal_nu_extraction_contract/upcomer_extraction_contract.csv
