case_id,candidate_id,engine,sample_index,sample_role,T0_K,residual_K,end_temperature_K,qhx_total_W,qambient_total_W,predicted_air_outlet_temperature_K
salt_2,UMX1_disabled_baseline,fast_scan,0,initial_lower,274.19,9.71162082296,283.901620823,0,0,299.19
salt_2,UMX1_disabled_baseline,fast_scan,1,initial_upper,549.19,-0.130437977693,549.059562022,54.3059209728,252.460057489,379.316146141
salt_2,UMX1_exchange_0p01,fast_scan,0,initial_lower,274.19,9.69410517615,283.884105176,0,0,299.19
salt_2,UMX1_exchange_0p01,fast_scan,1,initial_upper,549.19,-0.110866268345,549.079133732,54.3106157872,252.485322838,379.323548995
salt_2,UMX1_exchange_0p05,fast_scan,0,initial_lower,274.19,9.62877063818,283.818770638,0,0,299.19
salt_2,UMX1_exchange_0p05,fast_scan,1,initial_upper,549.19,-0.0404487792347,549.149551221,54.3275077725,252.576624635,379.350185169
salt_3,UMX1_disabled_baseline,fast_scan,0,initial_lower,274.79,10.1517692823,284.941769282,0,0,299.79
salt_3,UMX1_disabled_baseline,fast_scan,1,initial_upper,549.79,0.817781028106,550.607781028,54.3620439251,253.192664954,380.157406424
salt_3,UMX1_disabled_baseline,fast_scan,2,expanded_upper,550.04,0.804667698711,550.844667699,54.4187909349,253.567999473,380.247068912
salt_3,UMX1_disabled_baseline,fast_scan,3,expanded_upper,550.29,0.791545341267,551.081545341,54.4755428867,253.943626518,380.336750487
salt_3,UMX1_disabled_baseline,fast_scan,4,expanded_upper,550.54,0.778413951896,551.318413952,54.5322997789,254.31954622,380.426451147
salt_3,UMX1_disabled_baseline,fast_scan,5,expanded_upper,550.79,0.765273526724,551.555273527,54.5890616098,254.695758708,380.516170892
salt_3,UMX1_disabled_baseline,fast_scan,6,expanded_upper,551.29,0.738965553522,552.028965554,54.7026000803,255.449062558,380.695667626
salt_3,UMX1_disabled_baseline,fast_scan,7,expanded_upper,551.79,0.712621390792,552.502621391,54.8161582831,256.2035391,380.875240676
salt_3,UMX1_disabled_baseline,fast_scan,8,expanded_upper,552.79,0.659824373689,553.449824374,55.0433338176,257.716014383,381.234615657
salt_3,UMX1_disabled_baseline,fast_scan,9,expanded_upper,554.79,0.553794716488,555.343794716,55.4979208548,260.755082509,381.954280566
salt_3,UMX1_disabled_baseline,fast_scan,10,expanded_upper,557.79,0.393657538407,558.183657538,56.1803884254,265.349101264,383.036061902
salt_3,UMX1_disabled_baseline,fast_scan,11,expanded_upper,562.79,0.123832524954,562.913832525,57.3193821917,273.100783831,384.845098709
salt_3,UMX1_disabled_baseline,fast_scan,12,expanded_upper,570.79,-0.315568650973,570.474431349,59.1456864422,285.7526512,387.755178534
salt_3,UMX1_exchange_0p01,fast_scan,0,initial_lower,274.79,10.1352004272,284.925200427,0,0,299.79
salt_3,UMX1_exchange_0p01,fast_scan,1,initial_upper,549.79,0.836372864608,550.626372865,54.366497406,253.216697615,380.164442689
salt_3,UMX1_exchange_0p01,fast_scan,2,expanded_upper,550.04,0.823307215664,550.863307216,54.4232563962,253.592113168,380.254124994
salt_3,UMX1_exchange_0p01,fast_scan,3,expanded_upper,550.29,0.810232566107,551.100232566,54.480020338,253.967821398,380.343826404
salt_3,UMX1_exchange_0p01,fast_scan,4,expanded_upper,550.54,0.797148912068,551.337148912,54.5367892295,254.343822434,380.43354692
salt_3,UMX1_exchange_0p01,fast_scan,5,expanded_upper,550.79,0.784056249686,551.57405625,54.5935630691,254.720116407,380.523286539
salt_3,UMX1_exchange_0p01,fast_scan,6,expanded_upper,551.29,0.757843884467,552.047843884,54.7071255854,255.473583677,380.702823082
