metric_id,metric_family,case_or_scope,value,units,evidence_status,source_path,caveat,next_extraction_task
rendered_max_down_uy_salt1,rendered_slice_velocity_proxy,Salt1 viscosity_screening_salt_test_1_jin_coarse_mesh,0.0676477924,m/s,present_exact_rendered_slice,work_products/2026-07/2026-07-21/2026-07-21_velocity_magnitude_pictures/figures/composites/review_composite_layout_manifest.csv,Positive value is maximum downward speed magnitude from rendered-source y-velocity status; not a control-volume recirculation fraction.,Compute same-window control-volume reverse area fraction/reverse mass fraction/V_recirc for the exact rendered source if source surfaces are released.
rendered_max_down_uy_salt2,rendered_slice_velocity_proxy,Salt2 val_salt_test_2_coarse_mesh_laminar,0.0686238632,m/s,present_exact_rendered_slice,work_products/2026-07/2026-07-21/2026-07-21_velocity_magnitude_pictures/figures/composites/review_composite_layout_manifest.csv,Validation/external Salt2 rendered panel; not the nominal Salt2 Jin row and not a control-volume recirculation fraction.,Compute same-window control-volume reverse area fraction/reverse mass fraction/V_recirc for the exact rendered source if source surfaces are released.
rendered_max_down_uy_salt3,rendered_slice_velocity_proxy,Salt3 viscosity_screening_salt_test_3_jin_coarse_mesh,0.0716750324,m/s,present_exact_rendered_slice,work_products/2026-07/2026-07-21/2026-07-21_velocity_magnitude_pictures/figures/composites/review_composite_layout_manifest.csv,Positive value is maximum downward speed magnitude from rendered-source y-velocity status; not a control-volume recirculation fraction.,Compute same-window control-volume reverse area fraction/reverse mass fraction/V_recirc for the exact rendered source if source surfaces are released.
rendered_max_down_uy_salt4,rendered_slice_velocity_proxy,Salt4 viscosity_screening_salt_test_4_jin_coarse_mesh,0.0770250484,m/s,present_exact_rendered_slice,work_products/2026-07/2026-07-21/2026-07-21_velocity_magnitude_pictures/figures/composites/review_composite_layout_manifest.csv,Positive value is maximum downward speed magnitude from rendered-source y-velocity status; not a control-volume recirculation fraction.,Compute same-window control-volume reverse area fraction/reverse mass fraction/V_recirc for the exact rendered source if source surfaces are released.
shared_y_velocity_color_range_min,rendered_slice_plot_basis,matched side-Z y_velocity family,-0.07702504843473434,m/s,present_exact_rendered_family,work_products/2026-07/2026-07-21/2026-07-21_velocity_magnitude_pictures/shared_velocity_ranges.csv,Plot basis only; color minimum is not an admitted flow-regime threshold.,No extraction; cite only as figure construction provenance.
shared_y_velocity_color_range_max,rendered_slice_plot_basis,matched side-Z y_velocity family,0.07702504843473434,m/s,present_exact_rendered_family,work_products/2026-07/2026-07-21/2026-07-21_velocity_magnitude_pictures/shared_velocity_ranges.csv,Plot basis only; color maximum is not an admitted flow-regime threshold.,No extraction; cite only as figure construction provenance.
shared_velocity_magnitude_color_range_max,rendered_slice_plot_basis,matched side-Z velocity_magnitude family,0.07704159866519554,m/s,present_exact_rendered_family,work_products/2026-07/2026-07-21/2026-07-21_velocity_magnitude_pictures/shared_velocity_ranges.csv,Plot basis only; magnitude maximum is not an admitted closure coefficient.,No extraction; cite only as figure construction provenance.
related_max_reverse_area_fraction,matched_plane_regime_metric,current thesis recirculation section,0.7901396438,area fraction,present_related_diagnostic,reports/thesis_dossier/Chapters_and_sections/current/04_upcomer_recirculation_modeling.md,Related repaired PM5/matched-plane maximum; not exact to the four rendered composite panels.,Join exact RAF rows to case/source/time labels and same-window pressure/Qwall/UQ before using as candidate evidence.
related_max_reverse_mass_fraction,matched_plane_regime_metric,current thesis recirculation section,0.5000672828,mass fraction,present_related_diagnostic,reports/thesis_dossier/Chapters_and_sections/current/04_upcomer_recirculation_modeling.md,Related repaired PM5/matched-plane maximum; not exact to the four rendered composite panels.,Join exact RMF rows to case/source/time labels and same-window pressure/Qwall/UQ before using as candidate evidence.
related_max_richardson_number,matched_plane_regime_metric,current thesis recirculation section,108.7458056,dimensionless,present_related_diagnostic,reports/thesis_dossier/Chapters_and_sections/current/04_upcomer_recirculation_modeling.md,Related repaired PM5/matched-plane maximum; not exact to the four rendered composite panels.,Join exact Ri rows to case/source/time labels and same-window pressure/Qwall/UQ before using as candidate evidence.
exact_four_panel_recirculation_fraction,control_volume_fraction,matched rendered Salt1/Salt2/Salt3/Salt4 composite,,dimensionless,missing,work_products/2026-07/2026-07-21/2026-07-21_velocity_magnitude_pictures/README.md,README explicitly states RAF/Ri annotations were not added because exact four-source metric table was unavailable.,Extract same-source control-volume reverse area fraction and reverse mass fraction for each rendered panel source.
exact_four_panel_exchange_volume,exchange_cell_qoi,matched rendered Salt1/Salt2/Salt3/Salt4 composite,,m^3,missing,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s9_upcomer_onset_anchor_exchange_uq/README.md,V_recirc remains a gating evidence need.,Extract V_recirc on the same surfaces/windows as pressure and Qwall QOIs.
exact_four_panel_exchange_mdot,exchange_cell_qoi,matched rendered Salt1/Salt2/Salt3/Salt4 composite,,kg/s,missing,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s9_upcomer_onset_anchor_exchange_uq/README.md,mdot_exchange remains a gating evidence need.,Extract mdot_exchange on the same surfaces/windows as pressure and Qwall QOIs.
exact_four_panel_recirculation_tau,exchange_cell_qoi,matched rendered Salt1/Salt2/Salt3/Salt4 composite,,s,missing,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s9_upcomer_onset_anchor_exchange_uq/README.md,tau_recirc remains a gating evidence need.,Compute tau_recirc from V_recirc and exchange/throughflow metrics with same-QOI UQ.
