gap_id,required_field_or_study,current_status,evidence_path,why_it_matters,next_step,admission_effect
same_source_recirculation_fraction,reverse area fraction and reverse mass fraction for exact rendered or matched cases,missing_for_exact_four_panel_composite,work_products/2026-07/2026-07-21/2026-07-21_velocity_magnitude_pictures/README.md,Needed to annotate composite with true recirculation fraction rather than velocity proxy.,Run a separate same-window control-volume extraction after exact surfaces/geometry inputs are released.,Keeps rendered composite diagnostic only.
v_recirc,V_recirc,missing_or_blocked,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s9_upcomer_onset_anchor_exchange_uq/README.md,Needed to define size of recirculating cell.,Extract from matched surfaces/windows and include same-QOI uncertainty.,Blocks exchange-cell coefficient admission.
mdot_exchange,mdot_exchange,missing_or_blocked,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s9_upcomer_onset_anchor_exchange_uq/README.md,Needed to quantify exchange between throughflow lane and recirculation lane.,Extract signed exchange mass flow on same surfaces/windows.,Blocks exchange-cell coefficient admission.
tau_recirc,tau_recirc,missing_or_blocked,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s9_upcomer_onset_anchor_exchange_uq/README.md,Needed for residence/exchange time scale and model-form parameterization.,Compute after V_recirc and mdot_exchange exist with uncertainty.,Blocks predictive exchange lane.
same_window_pressure_residual,pressure residual paired with recirculation state,missing_or_incomplete,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s9_upcomer_onset_anchor_exchange_uq/README.md,Needed to connect recirculation state to pressure penalty without hidden multipliers.,Join pressure residual rows to same-window recirculation QOIs.,Keeps pressure recirculation term diagnostic.
same_qoi_neighbor_uq_initial,target-minus/target/target-plus QOI rows for S13 labels,initial_execution_fail_closed,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_qwall_same_qoi_neighbor_uq_execution/README.md,Initial execution found target rows but no neighbor rows in that package.,Use later target-plus harvest evidence before any new UQ row; do not treat this package as UQ complete.,Production harvest remained closed in that row.
same_qoi_triplet_harvest_after_target_plus,target-plus and joined triplet rows for S13 labels,present_but_uq_not_executed,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_target_plus_same_qoi_harvest/README.md,Later package harvested target-plus rows and joined triplets, but did not execute UQ.,Claim a separate same-QOI neighbor UQ execution row using the complete triplet table.,Mesh/GCI and production harvest still closed.
mesh_gci_same_label,same-QOI mesh/GCI for exchange labels,not_accepted,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_qwall_same_qoi_neighbor_uq_execution/README.md,Needed before coarse-only exchange metrics become admission evidence.,Run only after same-window triplet UQ passes and exact same-label mesh rows are accepted.,Blocks admitted exchange-cell coefficients.
production_harvest_gate,production-ready upcomer exchange harvest,blocked,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_limited_sampled_field_evidence_synthesis/README.md,Current S13 evidence is diagnostic-ready but not production-ready.,Complete missing exchange QOIs and same-QOI UQ before production harvest.,Keeps S13 diagnostic only.
split_safe_candidate_scorecard,frozen candidate scorecard without runtime leakage,missing,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_limited_sampled_field_evidence_synthesis/README.md,Needed to show a recirculation-aware lane improves prediction without using held-out outputs at runtime.,After QOI/UQ gates pass, freeze exactly one candidate and score under split policy.,No final predictive candidate can be claimed.
