feature_id,cluster_id,recovery_class,physical_location_status,geometry_dimension_status,missing_geometry_fields,source_family,allowed_source_use,primary_recovery_action,pressure_basis_prerequisites,model_lane,forbidden_use,coefficient_admission_status,evidence_paths
FIT-CORNER-LOWER-LEFT,CLUSTER-CORNER-LOWER-LEFT,bend_part_geometry_recovery,resolved_by_geometry_reference_span_pair,partial_D_and_span_pair_known_bend_radius_part_number_recovery_length_missing,part_number;bend_radius_ratio_Rc_over_D;miter_flag;number_of_miters;true_component_boundaries;downstream_recovery_length_D;tap_plane_sweep;same_QOI_mesh_time_UQ;final_velocity_basis;recirculation_threshold_calibration,NIST_TN2206;CsizmadiaHos2014;SalehiIdemSleiti2017;AlTameemiRicco2018_screening_only,bend/corner naming and pressure-basis method screening only,"recover bend radius ratio, miter/part data, component boundaries, tap sweep, and recovery length",diagnostic_corner_basis_only_CFD08_CFD12_CFD17_still_block_component_review,recirculation_gate_before_cluster_or_component_review,numeric_K_import;Kc_Ke_Kprime_import;component_K_admission;cluster_K_admission;F6_fit;hidden_global_multiplier;clipped_or_sign_flipped_K,no_coefficient_admission,work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_inventory_source_envelope/fitting_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_cfd_postprocessing_schema_gap/cfd_postprocessing_schema_gap_audit.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_pressure_corner_basis_recovery/pressure_corner_basis_recovery_audit.csv
FIT-CORNER-LOWER-RIGHT,CLUSTER-CORNER-LOWER-RIGHT,bend_part_geometry_recovery,resolved_by_geometry_reference_span_pair,partial_D_and_span_pair_known_bend_radius_part_number_recovery_length_missing,component_isolation;ordinary_low_reverse_anchor;admissible_straight_reference;same_QOI_mesh_time_UQ;final_q_ref_orientation;recovery_length_D;part_number;bend_radius_ratio_Rc_over_D,NIST_TN2206;CsizmadiaHos2014;SalehiIdemSleiti2017;AlTameemiRicco2018_screening_only;Delafosse_Tajsoleiman_exchange_sources_for_recirc_lane,bend/corner naming and pressure-basis method screening only,"recover bend radius ratio, miter/part data, component boundaries, tap sweep, and recovery length",finite_static_hydrostatic_kinetic_endpoint_basis_but_material_reverse_flow_missing_same_qoi_UQ,recirculating_section_effective_candidate_current_pressure_rows,numeric_K_import;Kc_Ke_Kprime_import;component_K_admission;cluster_K_admission;F6_fit;hidden_global_multiplier;clipped_or_sign_flipped_K,no_coefficient_admission,work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_inventory_source_envelope/fitting_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_cfd_postprocessing_schema_gap/cfd_postprocessing_schema_gap_audit.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_pressure_corner_basis_recovery/pressure_corner_basis_recovery_audit.csv
FIT-CORNER-UPPER-RIGHT,CLUSTER-CORNER-UPPER-RIGHT,bend_part_geometry_recovery,resolved_by_geometry_reference_span_pair,partial_D_and_span_pair_known_bend_radius_part_number_recovery_length_missing,part_number;bend_radius_ratio_Rc_over_D;miter_flag;number_of_miters;true_component_boundaries;downstream_recovery_length_D;tap_plane_sweep;same_QOI_mesh_time_UQ;final_velocity_basis;recirculation_threshold_calibration,NIST_TN2206;CsizmadiaHos2014;SalehiIdemSleiti2017;AlTameemiRicco2018_screening_only,bend/corner naming and pressure-basis method screening only,"recover bend radius ratio, miter/part data, component boundaries, tap sweep, and recovery length",diagnostic_corner_basis_only_CFD08_CFD12_CFD17_still_block_component_review,ordinary_component_or_cluster_precheck_after_basis_recovery,numeric_K_import;Kc_Ke_Kprime_import;component_K_admission;cluster_K_admission;F6_fit;hidden_global_multiplier;clipped_or_sign_flipped_K,no_coefficient_admission,work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_inventory_source_envelope/fitting_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_cfd_postprocessing_schema_gap/cfd_postprocessing_schema_gap_audit.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_pressure_corner_basis_recovery/pressure_corner_basis_recovery_audit.csv
FIT-CORNER-UPPER-LEFT,CLUSTER-CORNER-UPPER-LEFT,bend_part_geometry_recovery,resolved_by_geometry_reference_span_pair,partial_D_and_span_pair_known_bend_radius_part_number_recovery_length_missing,part_number;bend_radius_ratio_Rc_over_D;miter_flag;number_of_miters;true_component_boundaries;downstream_recovery_length_D;tap_plane_sweep;same_QOI_mesh_time_UQ;final_velocity_basis;recirculation_threshold_calibration,NIST_TN2206;CsizmadiaHos2014;SalehiIdemSleiti2017;AlTameemiRicco2018_screening_only,bend/corner naming and pressure-basis method screening only,"recover bend radius ratio, miter/part data, component boundaries, tap sweep, and recovery length",diagnostic_corner_basis_only_CFD08_CFD12_CFD17_still_block_component_review,recirculation_gate_before_cluster_or_component_review,numeric_K_import;Kc_Ke_Kprime_import;component_K_admission;cluster_K_admission;F6_fit;hidden_global_multiplier;clipped_or_sign_flipped_K,no_coefficient_admission,work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_inventory_source_envelope/fitting_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_cfd_postprocessing_schema_gap/cfd_postprocessing_schema_gap_audit.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_pressure_corner_basis_recovery/pressure_corner_basis_recovery_audit.csv
FIT-QUARTZ-LOWER-TRANSITION,CLUSTER-TEST-SECTION-COMPLEX,diameter_change_geometry_recovery,resolved_by_geometry_reference_diameter_change_transition_shape_unresolved,partial_D_ratio_known_transition_length_angle_edge_radius_missing,actual transition length;reducer_half_angle;edge_radius;part_number;pressure_tap_planes;hydrostatic/kinetic split;straight_reference;recirculation/exchange-cell treatment;same_QOI_UQ,VDIHeatAtlas2010;NIST_TN2206;HooperDarby_screening_only;Idelchik_Crane_Miller_needed,area-change method validity and required variables only,"recover transition length, half-angle, edge radius, pressure planes, and straight reference before source equation review",pressure_planes_and_recovery_missing_recirc_exchange_evidence_required,quartz_transition_cluster_or_exchange_cell_until_recirc_and_geometry_resolved,numeric_K_import;Kc_Ke_Kprime_import;component_K_admission;cluster_K_admission;F6_fit;hidden_global_multiplier;clipped_or_sign_flipped_K,no_coefficient_admission,work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_inventory_source_envelope/fitting_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_cfd_postprocessing_schema_gap/cfd_postprocessing_schema_gap_audit.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_pressure_corner_basis_recovery/pressure_corner_basis_recovery_audit.csv
FIT-QUARTZ-UPPER-TRANSITION,CLUSTER-TEST-SECTION-COMPLEX,diameter_change_geometry_recovery,resolved_by_geometry_reference_diameter_change_transition_shape_unresolved,partial_D_ratio_known_transition_length_angle_edge_radius_missing,actual transition length;expansion_half_angle;edge_radius;recovery_length_D;pressure_recovery_sweep;hydrostatic/kinetic split;straight_reference;recirculation/exchange-cell treatment;same_QOI_UQ,VDIHeatAtlas2010;NIST_TN2206;HooperDarby_screening_only;Idelchik_Crane_Miller_needed,area-change method validity and required variables only,"recover transition length, half-angle, edge radius, pressure planes, and straight reference before source equation review",pressure_planes_and_recovery_missing_recirc_exchange_evidence_required,quartz_transition_cluster_or_exchange_cell_until_recirc_and_geometry_resolved,numeric_K_import;Kc_Ke_Kprime_import;component_K_admission;cluster_K_admission;F6_fit;hidden_global_multiplier;clipped_or_sign_flipped_K,no_coefficient_admission,work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_inventory_source_envelope/fitting_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_cfd_postprocessing_schema_gap/cfd_postprocessing_schema_gap_audit.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_pressure_corner_basis_recovery/pressure_corner_basis_recovery_audit.csv
CLUSTER-TEST-SECTION-COMPLEX,CLUSTER-TEST-SECTION-COMPLEX,exchange_cell_geometry_recovery,resolved_composite_upcomer_region_component_boundaries_unresolved,partial_component_D_known_cluster_boundaries_cell_volume_exchange_geometry_missing,component boundaries;cell volume;exchange mass flux;recirculation residence time;pressure residual family;same_QOI_UQ;pressure planes that bracket only the complex;thermal/pressure residual split,NIST_TN2206;SalehiIdemSleiti2017;Delafosse_Tajsoleiman_exchange_sources;MF-04_exchange_cell,exchange-cell architecture only after coherent CFD cell evidence exists,"recover component boundaries, recirculation cell volume, exchange flux, residence time, and pressure/energy residual split",pressure_planes_and_recovery_missing_recirc_exchange_evidence_required,throughflow_recirc_exchange_cell_design_lane,numeric_K_import;Kc_Ke_Kprime_import;component_K_admission;cluster_K_admission;F6_fit;hidden_global_multiplier;clipped_or_sign_flipped_K,no_coefficient_admission,work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_inventory_source_envelope/fitting_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_cfd_postprocessing_schema_gap/cfd_postprocessing_schema_gap_audit.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_pressure_corner_basis_recovery/pressure_corner_basis_recovery_audit.csv
FIT-HEAT-EXCHANGER-REDUCER,CLUSTER-UPPER-COOLER-HX,facility_part_location_recovery,facility_reported_location_unresolved_in_current_CFD_pressure_inventory,missing_D_up_D_down_area_ratio_angle_edge_radius_location_part_number,exact location;D_up;D_down;area_ratio;reducer_or_expansion_angle;edge_radius;part_number;pressure planes;velocity basis;cooler/reducer cluster boundaries;straight reference;same_QOI_UQ,VDIHeatAtlas2010;NIST_TN2206;Idelchik_Crane_Miller_needed,facility geometry provenance and later area-change validity audit only,"map reducer part/location to geometry_reference or CFD patch/span labels and recover D_up, D_down, area ratio, angle, edge radius",pressure_plane_basis_absent_until_physical_location_is_mapped,source_gap_only_until_physical_location_and_dimensions_recovered,numeric_K_import;Kc_Ke_Kprime_import;component_K_admission;cluster_K_admission;F6_fit;hidden_global_multiplier;clipped_or_sign_flipped_K,no_coefficient_admission,work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_inventory_source_envelope/fitting_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_cfd_postprocessing_schema_gap/cfd_postprocessing_schema_gap_audit.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_pressure_corner_basis_recovery/pressure_corner_basis_recovery_audit.csv
FIT-TEE-CORNER-FACILITY,CLUSTER-JUNCTION-OTHER,facility_tee_topology_recovery,facility_reported_location_unresolved_in_current_geometry_reference,missing_location_branch_numbering_topology_angle_split_part_number,exact location;part_number;branch numbering;tee topology;branch angle;junction_angle;flow_split_ratio;signed path mdot;pressure nodes;velocity basis;pressure basis;recirculation map;same_QOI_UQ,PatinoJaramillo2022Coeff;PatinoJaramillo2022Flow;NIST_TN2206;ZhangWang_Wu_Codde_Schmandt,tee topology and branch-variable definitions only,"recover tee location, branch numbering, branch angle, flow split convention, and reduced-static pressure basis",pressure_plane_basis_absent_until_physical_location_is_mapped,signed_flow_junction_feasibility_only_if_discrete_branch_reversal_exists,numeric_K_import;Kc_Ke_Kprime_import;component_K_admission;cluster_K_admission;F6_fit;hidden_global_multiplier;clipped_or_sign_flipped_K,no_coefficient_admission,work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_inventory_source_envelope/fitting_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_cfd_postprocessing_schema_gap/cfd_postprocessing_schema_gap_audit.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_pressure_corner_basis_recovery/pressure_corner_basis_recovery_audit.csv
CLUSTER-JUNCTION-OTHER,CLUSTER-JUNCTION-OTHER,junction_physical_member_recovery,thermal_patch_group_known_physical_pressure_fittings_unresolved,missing_physical_fitting_members_and_pressure_boundaries,which physical fittings are included;pressure planes;component boundaries;thermal/pressure separation;geometry class per fitting;velocity basis;hydrostatic and kinetic corrections;same_QOI_UQ,NIST_TN2206;VDIHeatAtlas2010_for_thermal_resistance_context,junction member map and naming method only,map physical fittings inside junction_other and separate thermal patch group from pressure fitting members,pressure_plane_basis_absent_until_physical_location_is_mapped,junction_cluster_map_required_before_pressure_lane,numeric_K_import;Kc_Ke_Kprime_import;component_K_admission;cluster_K_admission;F6_fit;hidden_global_multiplier;clipped_or_sign_flipped_K,no_coefficient_admission,work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_inventory_source_envelope/fitting_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_cfd_postprocessing_schema_gap/cfd_postprocessing_schema_gap_audit.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_pressure_corner_basis_recovery/pressure_corner_basis_recovery_audit.csv
