feature_id,cluster_id,blocker_status,blocking_field_count,blocking_fields,first_unblock_action,depends_on_pressure_basis_standardization,depends_on_recirc_harvest,admission_gate_after_recovery,coefficient_admission_status
FIT-CORNER-LOWER-LEFT,CLUSTER-CORNER-LOWER-LEFT,component_geometry_and_recovery_unresolved,10,part_number;bend_radius_ratio_Rc_over_D;miter_flag;number_of_miters;true_component_boundaries;downstream_recovery_length_D;tap_plane_sweep;same_QOI_mesh_time_UQ;final_velocity_basis;recirculation_threshold_calibration,"recover bend radius ratio, miter/part data, component boundaries, tap sweep, and recovery length",yes,yes,same_QOI_UQ_and_source_envelope_review_only_no_automatic_admission,no_coefficient_admission
FIT-CORNER-LOWER-RIGHT,CLUSTER-CORNER-LOWER-RIGHT,recirculating_section_effective_until_low_reverse_anchor_and_same_QOI_UQ,8,component_isolation;ordinary_low_reverse_anchor;admissible_straight_reference;same_QOI_mesh_time_UQ;final_q_ref_orientation;recovery_length_D;part_number;bend_radius_ratio_Rc_over_D,"recover bend radius ratio, miter/part data, component boundaries, tap sweep, and recovery length",yes,yes,same_QOI_UQ_and_source_envelope_review_only_no_automatic_admission,no_coefficient_admission
FIT-CORNER-UPPER-RIGHT,CLUSTER-CORNER-UPPER-RIGHT,component_geometry_and_recovery_unresolved,10,part_number;bend_radius_ratio_Rc_over_D;miter_flag;number_of_miters;true_component_boundaries;downstream_recovery_length_D;tap_plane_sweep;same_QOI_mesh_time_UQ;final_velocity_basis;recirculation_threshold_calibration,"recover bend radius ratio, miter/part data, component boundaries, tap sweep, and recovery length",yes,conditional,same_QOI_UQ_and_source_envelope_review_only_no_automatic_admission,no_coefficient_admission
FIT-CORNER-UPPER-LEFT,CLUSTER-CORNER-UPPER-LEFT,component_geometry_and_recovery_unresolved,10,part_number;bend_radius_ratio_Rc_over_D;miter_flag;number_of_miters;true_component_boundaries;downstream_recovery_length_D;tap_plane_sweep;same_QOI_mesh_time_UQ;final_velocity_basis;recirculation_threshold_calibration,"recover bend radius ratio, miter/part data, component boundaries, tap sweep, and recovery length",yes,yes,same_QOI_UQ_and_source_envelope_review_only_no_automatic_admission,no_coefficient_admission
FIT-QUARTZ-LOWER-TRANSITION,CLUSTER-TEST-SECTION-COMPLEX,area_change_geometry_unresolved,9,actual transition length;reducer_half_angle;edge_radius;part_number;pressure_tap_planes;hydrostatic/kinetic split;straight_reference;recirculation/exchange-cell treatment;same_QOI_UQ,"recover transition length, half-angle, edge radius, pressure planes, and straight reference before source equation review",yes,yes,same_QOI_UQ_and_source_envelope_review_only_no_automatic_admission,no_coefficient_admission
FIT-QUARTZ-UPPER-TRANSITION,CLUSTER-TEST-SECTION-COMPLEX,area_change_geometry_unresolved,9,actual transition length;expansion_half_angle;edge_radius;recovery_length_D;pressure_recovery_sweep;hydrostatic/kinetic split;straight_reference;recirculation/exchange-cell treatment;same_QOI_UQ,"recover transition length, half-angle, edge radius, pressure planes, and straight reference before source equation review",yes,yes,same_QOI_UQ_and_source_envelope_review_only_no_automatic_admission,no_coefficient_admission
CLUSTER-TEST-SECTION-COMPLEX,CLUSTER-TEST-SECTION-COMPLEX,exchange_cell_evidence_required,8,component boundaries;cell volume;exchange mass flux;recirculation residence time;pressure residual family;same_QOI_UQ;pressure planes that bracket only the complex;thermal/pressure residual split,"recover component boundaries, recirculation cell volume, exchange flux, residence time, and pressure/energy residual split",yes,yes,same_QOI_UQ_and_source_envelope_review_only_no_automatic_admission,no_coefficient_admission
FIT-HEAT-EXCHANGER-REDUCER,CLUSTER-UPPER-COOLER-HX,physical_location_unresolved,12,exact location;D_up;D_down;area_ratio;reducer_or_expansion_angle;edge_radius;part_number;pressure planes;velocity basis;cooler/reducer cluster boundaries;straight reference;same_QOI_UQ,"map reducer part/location to geometry_reference or CFD patch/span labels and recover D_up, D_down, area ratio, angle, edge radius",yes,conditional,same_QOI_UQ_and_source_envelope_review_only_no_automatic_admission,no_coefficient_admission
FIT-TEE-CORNER-FACILITY,CLUSTER-JUNCTION-OTHER,physical_location_unresolved,13,exact location;part_number;branch numbering;tee topology;branch angle;junction_angle;flow_split_ratio;signed path mdot;pressure nodes;velocity basis;pressure basis;recirculation map;same_QOI_UQ,"recover tee location, branch numbering, branch angle, flow split convention, and reduced-static pressure basis",yes,conditional,same_QOI_UQ_and_source_envelope_review_only_no_automatic_admission,no_coefficient_admission
CLUSTER-JUNCTION-OTHER,CLUSTER-JUNCTION-OTHER,thermal_patch_group_not_pressure_fitting_map,8,which physical fittings are included;pressure planes;component boundaries;thermal/pressure separation;geometry class per fitting;velocity basis;hydrostatic and kinetic corrections;same_QOI_UQ,map physical fittings inside junction_other and separate thermal patch group from pressure fitting members,yes,conditional,same_QOI_UQ_and_source_envelope_review_only_no_automatic_admission,no_coefficient_admission
