target_id,artifact_type,source_path,target_sections,writer_use,caption_or_claim_caveat
FIG_LOOP_CONTEXT,figure,work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_final_figure_import_ledger/figure_candidate_ledger.csv,"CH1;CH3","Loop/system context image selection for thesis import","Context only; not validation evidence by itself."
TAB_SPLIT_ROLE,table,work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_cfd_legal_use_matrix/case_split_legal_use_table.csv,"CH3_3;CH6_3","Train/support/holdout/external split table","Split roles constrain legal use even when numerical agreement looks good."
TAB_RUNTIME_BANS,table,work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_cfd_legal_use_matrix/runtime_forbidden_input_bans.csv,"CH3_4;CH6_3;CH8_2","Runtime-leakage forbidden input table","CFD mdot, realized wallHeatFlux, cooler duty, validation/holdout/external targets are not predictive runtime inputs."
TAB_EQUATION_GLOSSARY,table,work_products/2026-07/2026-07-22/2026-07-22_thesis_governing_equations_definitions_glossary_packet/equation_ledger.csv,"CH5_1;CH5_2;CH5_3","Governing equation and model-slot ledger","Equation slots are not coefficient admissions."
TAB_SOURCE_PROPERTY,table,work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_source_property_release_atlas/source_property_release_atlas.csv,"CH2_2;CH6_1;CH6_3","Source/property release atlas","Complete labels are not release; current release-ready rows are zero."
TAB_THERMAL_ACCOUNTING,table,work_products/2026-07/2026-07-22/2026-07-22_thesis_study_thermal_accounting_traceability_evidence_packet/thermal_accounting_traceability_ledger.csv,"CH4_3;CH7_2","Heat-path ownership table","Do not absorb missing heat into internal Nu."
TAB_PRESSURE_BASIS,table,work_products/2026-07/2026-07-22/2026-07-22_thesis_study_pressure_basis_ladder_evidence_packet/pressure_basis_ladder.csv,"CH4_2;CH7_1","Pressure-basis ladder","Section-effective negative result is not component K or F6 admission."
FIG_RECIRC_VELOCITY,figure,work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_final_figure_import_ledger/selected_figure_import_ledger.csv,"CH7_3;CH9_3","Salt-family upcomer velocity-arrow panels","Diagnostic recirculation visual evidence only; no ordinary closure admission."
FIG_MODEL_LADDER,figure,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/svg/model_form_ladder_no_admission.svg,"CH5_6;CH8_1;CH9_1","Model-form ladder with no-admission state","Shows model-form progression, not final predictive success."
FIG_BLOCKED_SCORECARD,figure,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/svg/blocked_scorecard_waterfall.svg,"CH6_3;CH8_3;CH9_1","Blocked frozen-candidate waterfall","Final score values remain zero until frozen runtime-legal candidate exists."
FIG_TP_TW_ELEVATION,figure,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/svg/m3_tp_tw_temperature_vs_elevation_salt_2.svg,"CH3_1;CH7_2;CH8_2","TP/TW temperature-elevation profile example","Diagnostic M3 predictions and experimental targets; no protected scoring."
TAB_CH7_RESULT_STATUS,table,work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_ch7_ch8_results_negative_blocked/result_status_matrix.csv,"CH7_1;CH7_2;CH7_3;CH8_3","Results status matrix","Every row must retain diagnostic, blocked, or admitted state."
TAB_SAM_TRANSFER,table,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_ch9_limits_sam/sam_transfer_ledger.csv,"CH9_2","SAM-facing transfer ledger","Workflow transfer only; no SAM implementation or validation."
