packet_id,packet_path,target_chapters,primary_writer_use,admission_state,important_numbers_or_counts
PKT_CH1_CH4_FOUNDATIONS,work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_ch1_ch4_foundations/README.md,"1;3;4","Motivation and reduction-method foundations","ready_context_no_admission","Salt2 validation retained window 8598-8602 s; final train/support/holdout/external split listed"
PKT_GLOSSARY,work_products/2026-07/2026-07-22/2026-07-22_thesis_governing_equations_definitions_glossary_packet/README.md,"2;4;5;6;7;8;9","Equations, symbols, sign conventions, assumptions, caveats","diagnostic_support_packet","Equation and definition counts in summary.json"
PKT_CFD_LEGAL_USE,work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_cfd_legal_use_matrix/README.md,"1;3;4;6;8","Allowed/forbidden CFD evidence uses and runtime leakage bans","ready_no_scoring_no_runtime_leakage","8 evidence classes; 16 case split rows; 6 forbidden runtime inputs; 4 PM10 terminal planning rows; protected score allowed False"
PKT_SOURCE_PROPERTY_ATLAS,work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_source_property_release_atlas/README.md,"2;3;5;6;8;9","Source/property release status by family","no_release_no_freeze","11 atlas rows; 4 nominal train rows reviewed; 0 release-ready rows; 0 protected rows released"
PKT_FIGURE_IMPORT,work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_final_figure_import_ledger/README.md,"1;3;4;5;7;8;9","Selected figure/table sources and copy/no-copy instructions","manifest_only_no_asset_copy","12 selected existing asset rows; 0 copy-now rows in final import ledger summary"
PKT_CFD_METHODOLOGY,work_products/2026-07/2026-07-22/2026-07-22_cfd_extraction_methodology_thesis_study/README.md,"3;4;7","CFD reduction methods and use boundaries","methodology_packet_no_new_release","S13 Qwall target values 23.1161370708 W, 25.3465488205 W, 28.1231837021 W"
PKT_THERMAL_ACCOUNTING,work_products/2026-07/2026-07-22/2026-07-22_thesis_study_thermal_accounting_traceability_evidence_packet/README.md,"2;4;6;7;8","Heat-path and residual-owner separation","ready_no_fit_no_runtime_leakage","10 heat-path rows; 12 setup source/sink rows; 15 diagnostic heat-value rows; 7 residual-owner gate rows"
PKT_PRESSURE_BASIS,work_products/2026-07/2026-07-22/2026-07-22_thesis_study_pressure_basis_ladder_evidence_packet/README.md,"2;4;6;7;8","Pressure-basis negative result and non-admission ladder","thesis_evidence_only_no_admission","3 section-effective rows; 3 negative signed residual rows; 0 component-K rows; 0 F6 rows"
PKT_RECIRC_ONSET,work_products/2026-07/2026-07-22/2026-07-22_thesis_study_recirculation_fraction_onset_evidence_packet/README.md,"2;5;7;9","Recirculation/onset diagnostic evidence and gaps","diagnostic_proxies_fail_closed","3 visual bound rows; 3 reverse-flow proxy rows; 3 exchange/tau proxy rows; closed recirculation fraction fail-closed"
PKT_N4_UNCERTAINTY,work_products/2026-07/2026-07-22/2026-07-22_thesis_n4_sensor_qoi_projection_uncertainty_table/README.md,"3;4;6;8","Sensor/QOI projection uncertainty and caveats","complete_no_runtime_temperature_release","Counts in summary.json; use package tables for exact sensor rows"
PKT_MODEL_SCOREBOARD,work_products/2026-07/2026-07-22/2026-07-22_thesis_master_model_form_scoreboard/README.md,"5;7;8;9","Model-form ladder and signed sensor-error evidence","no_admission_no_new_scoring","15 model-form rows; 43 glossary rows; 204 signed sensor-error rows; 180 finite rows; 6 recommended forms"
PKT_FIGTABLE_PANELS,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/README.md,"3;7;8","Insert-ready model-form and blocked-scorecard figures","ready_no_closure_admission","6 figure panels; 45 finite M3 signed-error rows; 4 blocked scorecard gate rows; 0 final score values"
PKT_CH7_CH8_NEGATIVE,work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_ch7_ch8_results_negative_blocked/README.md,"7;8;9","Results negative/blocked matrix and claim boundaries","ready_no_final_score_no_admission","Final scorecard values remain 0; result_status_matrix carries exact rows"
PKT_CH9_SAM,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_ch9_limits_sam/README.md,"2;9","Limitations, future work, and SAM/CSEM transfer boundaries","ready_no_sam_validation","No SAM scorecards; limitations_status_ledger and future_work_queue carry exact rows"
PKT_OUTLINE_GAP_REFRESH,work_products/2026-07/2026-07-22/2026-07-22_thesis_outline_evidence_gap_board_refresh/README.md,"all","Board-backed missing evidence and study row dispatch","ready_no_science_mutation","6 Planned rows added; 8 outline gap rows; 9 waiting/needed rows"
