sensor,kind,acceptance_class,projection_operator,one_d_state_source,one_d_segment_or_state,one_d_fraction_or_marker,elevation_m,coordinate_claim_level,score_target_use,runtime_temperature_allowed,fit_allowed,model_selection_allowed,projection_equation,release_status,uncertainty_caveat,publication_effect
TP1,TP,bounded,bulk_fluid_projection,T_bulk_1d,top_horizontal_exit,1,0.70409,not_exact_measurement,post_solve_score_target_only,false,false,false,"T_hat_TP1 = P_bulk(sensor=TP1, segment=top_horizontal_exit, marker=1)[T_bulk_1d]",bulk-to-TP thermal-development offset not released,Approximate initial placement only; not an exact experimental measurement.,use segment/projection language; avoid exact-coordinate claims
TP2,TP,mapped,bulk_fluid_projection,T_bulk_1d,right_downcomer_bottom_horizontal_junction,junction,-0.245426,projected_from_native_cfd_junction_evidence,post_solve_score_target_only,false,false,false,"T_hat_TP2 = P_bulk(sensor=TP2, segment=right_downcomer_bottom_horizontal_junction, marker=junction)[T_bulk_1d]",bulk-to-TP thermal-development offset not released,Projected onto the 1D bottom-horizontal/right-downcomer junction for validation-only scoring; not a runtime input or fit target.,use segment/projection language; avoid exact-coordinate claims
TP3,TP,bounded,bulk_fluid_projection,T_bulk_1d,left_lower_vertical,0,0.0,not_exact_measurement,post_solve_score_target_only,false,false,false,"T_hat_TP3 = P_bulk(sensor=TP3, segment=left_lower_vertical, marker=0)[T_bulk_1d]",bulk-to-TP thermal-development offset not released,Approximate initial placement only; not an exact experimental measurement.,use segment/projection language; avoid exact-coordinate claims
TP4,TP,bounded,bulk_fluid_projection,T_bulk_1d,left_lower_vertical,1,0.323501,not_exact_measurement,post_solve_score_target_only,false,false,false,"T_hat_TP4 = P_bulk(sensor=TP4, segment=left_lower_vertical, marker=1)[T_bulk_1d]",bulk-to-TP thermal-development offset not released,Approximate initial placement only; not an exact experimental measurement.,use segment/projection language; avoid exact-coordinate claims
TP5,TP,bounded,bulk_fluid_projection,T_bulk_1d,test_section,1,0.574779,not_exact_measurement,post_solve_score_target_only,false,false,false,"T_hat_TP5 = P_bulk(sensor=TP5, segment=test_section, marker=1)[T_bulk_1d]",bulk-to-TP thermal-development offset not released,Approximate initial placement only; not an exact experimental measurement.,use segment/projection language; avoid exact-coordinate claims
TP6,TP,bounded,bulk_fluid_projection,T_bulk_1d,left_upper_vertical,1,0.949515,not_exact_measurement,post_solve_score_target_only,false,false,false,"T_hat_TP6 = P_bulk(sensor=TP6, segment=left_upper_vertical, marker=1)[T_bulk_1d]",bulk-to-TP thermal-development offset not released,Approximate initial placement only; not an exact experimental measurement.,use segment/projection language; avoid exact-coordinate claims
TW1,TW,bounded,wall_state_projection,T_wall_1d,right_vertical,0.25,0.534132,mixed_provenance_not_exact,post_solve_score_target_only,false,false,false,"T_hat_TW1 = P_wall(sensor=TW1, segment=right_vertical, marker=0.25)[T_wall_1d]",TW correction should follow TP/bulk projection release,Approximate initial placement only; not an exact experimental measurement.,use segment/projection language; avoid exact-coordinate claims
TW2,TW,bounded,wall_state_projection,T_wall_1d,right_vertical,0.5,0.229332,mixed_provenance_not_exact,post_solve_score_target_only,false,false,false,"T_hat_TW2 = P_wall(sensor=TW2, segment=right_vertical, marker=0.5)[T_wall_1d]",TW correction should follow TP/bulk projection release,Approximate initial placement only; not an exact experimental measurement.,use segment/projection language; avoid exact-coordinate claims
TW3,TW,bounded,wall_state_projection,T_wall_1d,right_vertical,0.75,-0.07546775,mixed_provenance_not_exact,post_solve_score_target_only,false,false,false,"T_hat_TW3 = P_wall(sensor=TW3, segment=right_vertical, marker=0.75)[T_wall_1d]",TW correction should follow TP/bulk projection release,Approximate initial placement only; not an exact experimental measurement.,use segment/projection language; avoid exact-coordinate claims
TW4,TW,bounded,wall_state_projection,T_wall_1d,heated_incline,0.25,-0.20334325,not_exact_measurement,post_solve_score_target_only,false,false,false,"T_hat_TW4 = P_wall(sensor=TW4, segment=heated_incline, marker=0.25)[T_wall_1d]",TW correction should follow TP/bulk projection release,Approximate initial placement only; not an exact experimental measurement.,use segment/projection language; avoid exact-coordinate claims
