TP_max_abs_delta_K,TP_mean_abs_delta_K,TW_max_abs_delta_K,TW_mean_abs_delta_K,admission_or_score,case_id,comparison_caveat,delta_mdot_model_kg_s,delta_qambient_total_W,delta_qhx_total_W,input_family,level,model_scenario_id,passive_operator_delta_vs_nominal_W,passive_operator_local_scenario_id,runtime_observed_temperature_used,runtime_wallHeatFlux_used,source_property_release,variant_id
0.0362086051135,0.02850935287856,2.00086668497,0.34358314209571733,False,salt_2,no directly matched passive-operator local perturbation; mdot/heat/TP/TW retained as setup-UQ context,-7.07995638908e-05,-0.00372986158749,0.00361828111689,heater_source_fraction,upstream_plus_0p10,salt_2__V01__upstream_plus_0p10,,,False,False,False,V01
0.36043680405,0.2864867121772,2.02903936548,0.4493983424594546,False,salt_2,no directly matched passive-operator local perturbation; mdot/heat/TP/TW retained as setup-UQ context,-0.000656484334896,-0.0379046990044,0.0378363728285,heater_source_fraction,downstream_plus_0p10,salt_2__V01__downstream_plus_0p10,,,False,False,False,V01
4.06229630394,3.9278137831880002,32.6280138454,6.539575858234546,False,salt_2,no directly matched passive-operator local perturbation; mdot/heat/TP/TW retained as setup-UQ context,4.11283368785e-05,7.18208423015,-7.18216738357,cooler_hx_strength,hx_ua_0p8,salt_2__V02__hx_ua_0p8,,,False,False,False,V02
3.66790049188,3.545162232778,29.2055686622,5.8819648022445445,False,salt_2,no directly matched passive-operator local perturbation; mdot/heat/TP/TW retained as setup-UQ context,-5.17742330668e-05,-6.3917997183,6.39187045721,cooler_hx_strength,hx_ua_1p2,salt_2__V02__hx_ua_1p2,,,False,False,False,V02
1.04479602478,1.035654761338,1.05793070313,1.0459196753109092,False,salt_2,operator scenario is same setup perturbation label,-8.36185749e-05,0.239555965561,-0.239555549325,ambient_temperature,ambient_minus_2K,salt_2__V03__ambient_minus_2K,4.419606183183305,ambient_minus_2K,False,False,False,V03
1.04572959508,1.036713870124,1.05877874108,1.04688591947,False,salt_2,operator scenario is same setup perturbation label,8.33710822789e-05,-0.239880140681,0.239879369761,ambient_temperature,ambient_plus_2K,salt_2__V03__ambient_plus_2K,-4.467285413761829,ambient_plus_2K,False,False,False,V03
8.18921800136,8.071587152932,8.16122584613,8.069747844893636,False,salt_2,operator scenario is same setup perturbation label,0.000525830803105,-1.8801377877,1.88038414426,external_convection_hA,external_hA_0p5,salt_2__V04__external_hA_0p5,-108.38957238442435,hA_0p5,False,False,False,V04
12.4703209333,12.236820228460001,12.3897355489,12.211636893418182,False,salt_2,operator scenario is same setup perturbation label,-0.000811709609816,2.84596993663,-2.8465946182,external_convection_hA,external_hA_2p0,salt_2__V04__external_hA_2p0,216.7791447688487,hA_2p0,False,False,False,V04
0.0,0.0,0.0,0.0,False,salt_2,model radiation_on variant has zero model-output delta; local operator compares nominal radiation to radiation_off,0.0,0.0,0.0,radiation,radiation_on,salt_2__V05__radiation_on,-656.4927338489466,radiation_off,False,False,False,V05
0.207676645367,0.12858264864448002,0.161501364734,0.07664526693866364,False,salt_2,no directly matched passive-operator local perturbation; mdot/heat/TP/TW retained as setup-UQ context,0.000933617528568,-0.0092877311323,0.00930078303718,pressure_loss_terms,major_loss_0p9,salt_2__V07__major_loss_0p9,,,False,False,False,V07
0.198263922341,0.12274952499366001,0.154471663729,0.07376129575620909,False,salt_2,no directly matched passive-operator local perturbation; mdot/heat/TP/TW retained as setup-UQ context,-0.00082410826928,0.0089085582581,-0.00892124702581,pressure_loss_terms,major_loss_1p1,salt_2__V07__major_loss_1p1,,,False,False,False,V07
