requested_item,disposition,board_row,status_or_owner,reason,next_agent_action
CFD legal-use packet,added_new,TODO-THESIS-EVIDENCE-PACKET-CFD-LEGAL-USE-MATRIX-2026-07-22,open,No compact legal-use matrix existed although Ch3 evidence prose and split policy exist,Claim row and build writer-facing allowed/forbidden CFD-use table with exact source paths and runtime-leakage audit.
Thermal heat-path traceability packet,already_complete,TODO-THESIS-STUDY-THERMAL-ACCOUNTING-TRACEABILITY-EVIDENCE-PACKET-2026-07-22,codex / complete 2026-07-22,Completed packet already has heat-path ledger setup/source rows diagnostic heat values forbidden runtime-input audit and residual-owner gates,Use existing packet for external-writer import or claim S12 freeze gate for next evidence.
Pressure basis ladder packet,already_complete,TODO-THESIS-STUDY-PRESSURE-BASIS-LADDER-EVIDENCE-PACKET-2026-07-22,codex / complete 2026-07-22,Completed packet already documents section-effective rows negative residuals and zero component-K/F6 admissions,Use existing packet for external-writer import or claim pressure recovery/anchor follow-on.
Source/property release atlas,added_new,TODO-THESIS-EVIDENCE-PACKET-SOURCE-PROPERTY-RELEASE-ATLAS-2026-07-22,open,Nominal train preflight exists but no writer-facing atlas across source families labels split permissions and blockers exists,Claim row and publish atlas without releasing values freezing candidates or protected scoring.
Selected figure import ledger,added_new,TODO-THESIS-EVIDENCE-PACKET-FINAL-FIGURE-IMPORT-LEDGER-2026-07-22,open,Figure selection packet exists but final import ledger and papers-transfer instructions remain unclaimed,Claim row and list small selected assets with captions target sections and no-copy exclusions.
S13 upcomer same-label mesh/GCI,already_active,TODO-S13-UPCOMER-EXCHANGE-MEDIUM-FINE-EXACT-LABEL-SAMPLER-2026-07-22,codex / active 2026-07-22,Active sampler covers medium/fine exact-label rows required before mesh/GCI can proceed,Do not duplicate; wait for closeout then claim post-sampler GCI/production row if terminal evidence exists.
S13 production harvest,covered_by_completed_and_new_triggered_followon,TODO-THESIS-STUDY-S13-UPCOMER-EXCHANGE-POST-SAMPLER-GCI-PRODUCTION-HARVEST-2026-07-22,open / trigger-gated after exact-label sampler,Earlier production harvest completed fail-closed because medium/fine exact-label rows and accepted GCI were absent,Claim only after sampler lands to decide GCI production harvest and admission status.
S12 thermal source/property freeze gate,added_new_then_claimed_active,TODO-THESIS-STUDY-S12-THERMAL-SOURCE-PROPERTY-FREEZE-GATE-2026-07-22,codex / active 2026-07-22,No single task existed to convert thermal traceability and MF gates into an S12 freeze/no-freeze decision,Active owner should publish candidate-freeze gate matrix and source/property runtime audit.
Pressure F6/source recovery and low-recirculation anchors,added_new,TODO-THESIS-STUDY-PRESSURE-F6-SOURCE-RECOVERY-LOW-RECIRC-ANCHORS-2026-07-22,open / trigger-aware,Prior rows completed timeout/readiness/gate packages but no open combined recovery and anchor-disposition row existed,Claim row to recover or fail-close terminal source availability and anchor validity with no coefficient admission unless gates pass.
Frozen candidate release gate,already_trigger_gated,TODO-THESIS-STUDY-S15-CANDIDATE-FREEZE-SOURCE-PROPERTY-SCORE-RELEASE-2026-07-21,open / trigger-gated after exactly one candidate,Existing row already covers final frozen candidate release and blocked scorecard outcome,Do not claim until S12 S13 or pressure/S14 releases exactly one runtime-legal candidate.
Candidate-specific source/property refresh,already_trigger_gated,TODO-THESIS-STUDY-S11-CANDIDATE-SOURCE-PROPERTY-REFRESH-2026-07-21,open / trigger-gated after admission-worthy candidate,Existing row already covers narrow source/property refresh before candidate freeze,Do not claim until a candidate-producing study names exactly one reviewable candidate.
