qoi_id,canonical_leg_id,reported_span_or_segment,qoi_family,quantity,intended_final_fit_lane,current_publication_ready,current_fit_admissible,complete_triplet,gci_status,final_use_decision,resolution_action,source_paths
pressure_gradient_friction::lower_leg::section_mean_static_gradient,heater_lower_leg,lower_leg,closure,apparent_darcy_f,yes,no,no,yes,not_computed_non_monotone_or_divergent,not_publication_gci_current_triplet_exclude_or_reextract,either exclude row from final closure set or rerun same-QOI extraction on better mesh/source contract,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
pressure_gradient_friction::lower_leg::section_mean_total_pressure_gradient,heater_lower_leg,lower_leg,closure,apparent_darcy_f,yes,no,no,yes,not_computed_non_monotone_or_divergent,not_publication_gci_current_triplet_exclude_or_reextract,either exclude row from final closure set or rerun same-QOI extraction on better mesh/source contract,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
pressure_gradient_friction::right_leg::section_mean_static_gradient,downcomer_right_vertical,right_leg,closure,apparent_darcy_f,yes,no,no,yes,not_computed_non_monotone_or_divergent,not_publication_gci_current_triplet_exclude_or_reextract,either exclude row from final closure set or rerun same-QOI extraction on better mesh/source contract,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
pressure_gradient_friction::right_leg::section_mean_total_pressure_gradient,downcomer_right_vertical,right_leg,closure,apparent_darcy_f,yes,no,no,yes,not_computed_non_monotone_or_divergent,not_publication_gci_current_triplet_exclude_or_reextract,either exclude row from final closure set or rerun same-QOI extraction on better mesh/source contract,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
pressure_gradient_friction::upper_leg::section_mean_static_gradient,cooler_hx_branch,upper_leg,closure,apparent_darcy_f,yes,no,no,yes,not_computed_non_monotone_or_divergent,not_publication_gci_current_triplet_exclude_or_reextract,either exclude row from final closure set or rerun same-QOI extraction on better mesh/source contract,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
pressure_gradient_friction::upper_leg::section_mean_total_pressure_gradient,cooler_hx_branch,upper_leg,closure,apparent_darcy_f,yes,no,no,yes,not_computed_non_monotone_or_divergent,not_publication_gci_current_triplet_exclude_or_reextract,either exclude row from final closure set or rerun same-QOI extraction on better mesh/source contract,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
momentum_corrected_friction::lower_leg,heater_lower_leg,lower_leg,closure,f_corrected,yes,no,no,yes,not_computed_non_monotone_or_divergent,not_publication_gci_current_triplet_exclude_or_reextract,either exclude row from final closure set or rerun same-QOI extraction on better mesh/source contract,work_products/2026-07/2026-07-01/2026-07-01_claude_momentum_budget/momentum_budget.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/momentum_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/momentum_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
momentum_corrected_friction::right_leg,downcomer_right_vertical,right_leg,closure,f_corrected,yes,no,no,yes,not_computed_non_monotone_or_divergent,not_publication_gci_current_triplet_exclude_or_reextract,either exclude row from final closure set or rerun same-QOI extraction on better mesh/source contract,work_products/2026-07/2026-07-01/2026-07-01_claude_momentum_budget/momentum_budget.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/momentum_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/momentum_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
momentum_corrected_friction::upper_leg,cooler_hx_branch,upper_leg,closure,f_corrected,yes,no,no,yes,not_computed_non_monotone_or_divergent,not_publication_gci_current_triplet_exclude_or_reextract,either exclude row from final closure set or rerun same-QOI extraction on better mesh/source contract,work_products/2026-07/2026-07-01/2026-07-01_claude_momentum_budget/momentum_budget.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/momentum_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/momentum_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
thermal_segment_closure::downcomer::thermal_segment_closure,downcomer_right_vertical,downcomer,thermal,thermal_segment_closure,yes,no,no,no,not_computed_blocked_downcomer_policy,blocked_pending_downcomer_policy,decide downcomer/right-leg thermal policy before extracting or interpreting closure QoI,work_products/2026-07/2026-07-13/2026-07-13_salt2_coarse_thermal_repair_smoke/outputs/coarse/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_reconstructed_t_repair_trial/outputs/medium/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_fine_reconstructed_t_repair_plan_sbatch/repair_trial_output/outputs/fine/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv
