case_id,source_id,lane,qoi_id,segment,quantity,complete_triplet,convergence_verdict,gci_status,publication_ready,fit_admissible,gate_status,primary_blocker,next_action,blockers,coarse_source_path,medium_source_path,fine_source_path,gci_source_path
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,pressure_gradient_friction,pressure_gradient_friction::left_lower_leg::section_mean_static_gradient,left_lower_leg,apparent_darcy_f,yes,oscillatory,not_computed_non_monotone_or_divergent,no,no,blocked_non_monotone_or_oscillatory,Triplet fails monotone/asymptotic gate.,audit_qoi_definition_or_mesh_family,computed GCI failed monotonic/asymptotic gate: oscillatory,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,pressure_gradient_friction,pressure_gradient_friction::left_lower_leg::section_mean_total_pressure_gradient,left_lower_leg,apparent_darcy_f,yes,oscillatory,not_computed_non_monotone_or_divergent,no,no,blocked_non_monotone_or_oscillatory,Triplet fails monotone/asymptotic gate.,audit_qoi_definition_or_mesh_family,computed GCI failed monotonic/asymptotic gate: oscillatory,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,pressure_gradient_friction,pressure_gradient_friction::left_upper_leg::section_mean_static_gradient,left_upper_leg,apparent_darcy_f,no,,not_computed_missing_triplet,no,no,blocked_missing_triplet,Missing coarse/medium/fine numeric QoI prevents GCI.,extract_missing_mesh_level_qoi,missing_coarse_medium_or_fine_numeric_qoi,,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,pressure_gradient_friction,pressure_gradient_friction::left_upper_leg::section_mean_total_pressure_gradient,left_upper_leg,apparent_darcy_f,no,,not_computed_missing_triplet,no,no,blocked_missing_triplet,Missing coarse/medium/fine numeric QoI prevents GCI.,extract_missing_mesh_level_qoi,missing_coarse_medium_or_fine_numeric_qoi,,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,pressure_gradient_friction,pressure_gradient_friction::lower_leg::section_mean_static_gradient,lower_leg,apparent_darcy_f,yes,oscillatory,not_computed_non_monotone_or_divergent,no,no,blocked_non_monotone_or_oscillatory,Triplet fails monotone/asymptotic gate.,audit_qoi_definition_or_mesh_family,not_fit_safe_pressure_recovery_or_noise,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,pressure_gradient_friction,pressure_gradient_friction::lower_leg::section_mean_total_pressure_gradient,lower_leg,apparent_darcy_f,yes,oscillatory,not_computed_non_monotone_or_divergent,no,no,blocked_non_monotone_or_oscillatory,Triplet fails monotone/asymptotic gate.,audit_qoi_definition_or_mesh_family,not_fit_safe_pressure_recovery_or_noise,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,pressure_gradient_friction,pressure_gradient_friction::right_leg::section_mean_static_gradient,right_leg,apparent_darcy_f,yes,oscillatory,not_computed_non_monotone_or_divergent,no,no,blocked_non_monotone_or_oscillatory,Triplet fails monotone/asymptotic gate.,audit_qoi_definition_or_mesh_family,not_fit_safe_pressure_recovery_or_noise,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,pressure_gradient_friction,pressure_gradient_friction::right_leg::section_mean_total_pressure_gradient,right_leg,apparent_darcy_f,yes,oscillatory,not_computed_non_monotone_or_divergent,no,no,blocked_non_monotone_or_oscillatory,Triplet fails monotone/asymptotic gate.,audit_qoi_definition_or_mesh_family,not_fit_safe_pressure_recovery_or_noise,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,pressure_gradient_friction,pressure_gradient_friction::test_section_span::section_mean_static_gradient,test_section_span,apparent_darcy_f,no,,not_computed_missing_triplet,no,no,blocked_missing_triplet,Missing coarse/medium/fine numeric QoI prevents GCI.,extract_missing_mesh_level_qoi,not_fit_safe_pressure_recovery_or_noise,,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,pressure_gradient_friction,pressure_gradient_friction::test_section_span::section_mean_total_pressure_gradient,test_section_span,apparent_darcy_f,no,,not_computed_missing_triplet,no,no,blocked_missing_triplet,Missing coarse/medium/fine numeric QoI prevents GCI.,extract_missing_mesh_level_qoi,not_fit_safe_pressure_recovery_or_noise,,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,
