guardrail,pass,value
native_solver_outputs_mutated,True,False
registry_or_admission_mutated,True,False
scheduler_action,True,False
solver_postprocessing_sampler_harvest_uq_launched,True,False
fluid_or_external_edit,True,False
thesis_body_or_latex_edit,True,False
source_property_release,True,False
wall_integral_release,True,False
numeric_passive_loss_release,True,False
validation_holdout_external_scoring,True,False
fitting_or_model_selection,True,False
coefficient_admission,True,False
candidate_freeze,True,False
final_score_claim,True,False
s11_s12_s13_s15_s6_trigger,True,False
runtime_leakage_relaxation,True,False
hidden_multiplier,True,False
residual_absorbed_into_internal_Nu,True,False
