source_family,required_qoi,current_coverage_status,usable_for_phase4b_now,requires_terminal_success,requires_sampler_or_harvest,next_action,source_paths
latest_corrected_Q_live_continuation,terminal_state,live_running_job_3307441,false,true,false,Wait for terminal success before harvest/admission.,.agent/status/2026-07-21_AGENT-576.md;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/selected_submitted_jobs.csv;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/logs/selected_runtime_preflight_3307441.csv;work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_evidence_preflight/scoped_sampler_source_queue.csv
latest_corrected_Q_live_continuation,V_recirc,terminal_gated_requires_harvest_or_sampler,false,true,true,Potential source after terminal success; not available now.,.agent/status/2026-07-21_AGENT-576.md;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/selected_submitted_jobs.csv;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/logs/selected_runtime_preflight_3307441.csv;work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_evidence_preflight/scoped_sampler_source_queue.csv
latest_corrected_Q_live_continuation,mdot_exchange,terminal_gated_requires_harvest_or_sampler,false,true,true,Potential source after terminal success; not available now.,.agent/status/2026-07-21_AGENT-576.md;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/selected_submitted_jobs.csv;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/logs/selected_runtime_preflight_3307441.csv;work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_evidence_preflight/scoped_sampler_source_queue.csv
latest_corrected_Q_live_continuation,tau_recirc,terminal_gated_requires_harvest_or_sampler,false,true,true,Potential source after terminal success; not available now.,.agent/status/2026-07-21_AGENT-576.md;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/selected_submitted_jobs.csv;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/logs/selected_runtime_preflight_3307441.csv;work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_evidence_preflight/scoped_sampler_source_queue.csv
latest_corrected_Q_live_continuation,T_main_T_recirc,terminal_gated_requires_harvest_or_sampler,false,true,true,Potential source after terminal success; not available now.,.agent/status/2026-07-21_AGENT-576.md;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/selected_submitted_jobs.csv;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/logs/selected_runtime_preflight_3307441.csv;work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_evidence_preflight/scoped_sampler_source_queue.csv
latest_corrected_Q_live_continuation,wall_core_delta_T,terminal_gated_requires_harvest_or_sampler,false,true,true,Potential source after terminal success; not available now.,.agent/status/2026-07-21_AGENT-576.md;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/selected_submitted_jobs.csv;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/logs/selected_runtime_preflight_3307441.csv;work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_evidence_preflight/scoped_sampler_source_queue.csv
latest_corrected_Q_live_continuation,pressure_residual_basis,terminal_gated_requires_harvest_or_sampler,false,true,true,Potential source after terminal success; not available now.,.agent/status/2026-07-21_AGENT-576.md;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/selected_submitted_jobs.csv;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/logs/selected_runtime_preflight_3307441.csv;work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_evidence_preflight/scoped_sampler_source_queue.csv
latest_corrected_Q_live_continuation,same_QOI_UQ,missing_requires_same_qoi_plan,false,false,false,Pair exact exchange QOIs with mesh/time UQ in later row.,.agent/status/2026-07-21_AGENT-576.md;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/selected_submitted_jobs.csv;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/logs/selected_runtime_preflight_3307441.csv;work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_evidence_preflight/scoped_sampler_source_queue.csv
latest_corrected_Q_live_continuation,RAF_RMF_SVF,not_currently_available,false,false,false,No current diagnostic coverage.,.agent/status/2026-07-21_AGENT-576.md;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/selected_submitted_jobs.csv;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/logs/selected_runtime_preflight_3307441.csv;work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_evidence_preflight/scoped_sampler_source_queue.csv
latest_corrected_Q_live_continuation,energy_residual,not_currently_available,false,false,false,No current diagnostic coverage.,.agent/status/2026-07-21_AGENT-576.md;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/selected_submitted_jobs.csv;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/logs/selected_runtime_preflight_3307441.csv;work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_evidence_preflight/scoped_sampler_source_queue.csv
high_heat_terminal_gated,terminal_state,live_running_jobs_3299610_3299620,false,true,false,Wait for terminal success before any high-heat harvest.,work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_low_recirc_anchor_harvest/candidate_terminal_preflight.csv;work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_low_recirc_anchor_harvest/source_case_readiness.csv;work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_low_recirc_anchor_harvest/endpoint_field_availability.csv;work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_evidence_preflight/scoped_sampler_source_queue.csv
