case_id,case_key,time_window_s,input_lane,target_path,status,basis,release_condition,launch_allowed_now,native_solver_output_mutated,fit_allowed_now,score_allowed_now,residual_policy
salt_2,salt2_jin_nominal_continuation,7915,cell_volume_csv,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_input_generation/cell_volumes/salt_2_cell_volumes.csv,ready_from_input_generation,task-owned cell-volume CSV validated,already ready,false,false,false,false,do_not_hide_heat_residual_in_internal_Nu
salt_2,salt2_jin_nominal_continuation,7915,cell_vtk,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_surface_source_generation/surfaces/salt_2_cell_fields.vtk,blocked_requires_cell_region_and_cellId_vtk_policy,"native U/T/rho fields exist, but VTK region and cellId/order contract is not fixed",choose whole-mesh cell VTK or approved upcomer cellSet and verify cellId aligns with volume CSV,false,false,false,false,do_not_hide_heat_residual_in_internal_Nu
salt_2,salt2_jin_nominal_continuation,7915,exchange_interface_vtk,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_surface_source_generation/surfaces/salt_2_exchange_interface.vtk,blocked_requires_named_exchange_interface_geometry,no source names conservative main/recirculation interface point-normal/area/sign basis,"approve exchange-interface point, normal, area basis, and sign convention",false,false,false,false,do_not_hide_heat_residual_in_internal_Nu
salt_2,salt2_jin_nominal_continuation,7915,wall_vtk,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_surface_source_generation/surfaces/salt_2_exchange_wall_core.vtk,blocked_requires_wall_core_band_geometry,"wall diagnostics exist, but exchange-wall/core band is not confirmed",approve wall/core surface or band tied to recirculation cell region,false,false,false,false,do_not_hide_heat_residual_in_internal_Nu
salt_2,salt2_jin_nominal_continuation,7915,source_sink_bc_ledger,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_surface_source_generation/source_sink_static_ledger.csv,ready_static_boundary_Q_contract_wall_loss_blocked,0/T constant Q entries parsed into source/sink lanes,Q_wall_W still requires task-owned wallHeatFlux integration before energy residual,false,false,false,false,do_not_hide_heat_residual_in_internal_Nu
salt_3,salt3_jin_nominal_continuation,7618,cell_volume_csv,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_input_generation/cell_volumes/salt_3_cell_volumes.csv,ready_from_input_generation,task-owned cell-volume CSV validated,already ready,false,false,false,false,do_not_hide_heat_residual_in_internal_Nu
salt_3,salt3_jin_nominal_continuation,7618,cell_vtk,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_surface_source_generation/surfaces/salt_3_cell_fields.vtk,blocked_requires_cell_region_and_cellId_vtk_policy,"native U/T/rho fields exist, but VTK region and cellId/order contract is not fixed",choose whole-mesh cell VTK or approved upcomer cellSet and verify cellId aligns with volume CSV,false,false,false,false,do_not_hide_heat_residual_in_internal_Nu
salt_3,salt3_jin_nominal_continuation,7618,exchange_interface_vtk,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_surface_source_generation/surfaces/salt_3_exchange_interface.vtk,blocked_requires_named_exchange_interface_geometry,no source names conservative main/recirculation interface point-normal/area/sign basis,"approve exchange-interface point, normal, area basis, and sign convention",false,false,false,false,do_not_hide_heat_residual_in_internal_Nu
salt_3,salt3_jin_nominal_continuation,7618,wall_vtk,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_surface_source_generation/surfaces/salt_3_exchange_wall_core.vtk,blocked_requires_wall_core_band_geometry,"wall diagnostics exist, but exchange-wall/core band is not confirmed",approve wall/core surface or band tied to recirculation cell region,false,false,false,false,do_not_hide_heat_residual_in_internal_Nu
salt_3,salt3_jin_nominal_continuation,7618,source_sink_bc_ledger,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_surface_source_generation/source_sink_static_ledger.csv,ready_static_boundary_Q_contract_wall_loss_blocked,0/T constant Q entries parsed into source/sink lanes,Q_wall_W still requires task-owned wallHeatFlux integration before energy residual,false,false,false,false,do_not_hide_heat_residual_in_internal_Nu
