case_key,case_id,run_class,field,field_path,patch_count,type_counts_json,has_boundary_field
salt1_jin_june18_mainline,salt_1,mainline_jin_continuation,ReThetat,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt1_jin/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/ReThetat,2,"{""zeroGradient"": 2}",True
salt1_jin_june18_mainline,salt_1,mainline_jin_continuation,T,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt1_jin/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/T,69,"{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}",True
salt1_jin_june18_mainline,salt_1,mainline_jin_continuation,U,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt1_jin/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/U,2,"{""noSlip"": 1, ""slip"": 1}",True
salt1_jin_june18_mainline,salt_1,mainline_jin_continuation,alphat,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt1_jin/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/alphat,2,"{""compressible::alphatWallFunction"": 1, ""zeroGradient"": 1}",True
salt1_jin_june18_mainline,salt_1,mainline_jin_continuation,epsilon,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt1_jin/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/epsilon,2,"{""fixedValue"": 1, ""zeroGradient"": 1}",True
salt1_jin_june18_mainline,salt_1,mainline_jin_continuation,gammaInt,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt1_jin/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/gammaInt,2,"{""zeroGradient"": 2}",True
salt1_jin_june18_mainline,salt_1,mainline_jin_continuation,k,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt1_jin/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/k,2,"{""kLowReWallFunction"": 1, ""zeroGradient"": 1}",True
salt1_jin_june18_mainline,salt_1,mainline_jin_continuation,nut,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt1_jin/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/nut,2,"{""nutLowReWallFunction"": 1, ""zeroGradient"": 1}",True
salt1_jin_june18_mainline,salt_1,mainline_jin_continuation,omega,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt1_jin/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/omega,2,"{""omegaWallFunction"": 1, ""zeroGradient"": 1}",True
salt1_jin_june18_mainline,salt_1,mainline_jin_continuation,p,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt1_jin/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/p,1,"{""calculated"": 1}",True
salt1_jin_june18_mainline,salt_1,mainline_jin_continuation,p_rgh,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt1_jin/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/p_rgh,1,"{""fixedFluxPressure"": 1}",True
salt1_jin_june18_mainline,salt_1,mainline_jin_continuation,ph_rgh,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt1_jin/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/ph_rgh,1,"{""zeroGradient"": 1}",True
salt1_jin_june25_basecont,salt_1,normal_relaunch_base_continuation,ReThetat,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt1_jin_basecont/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/ReThetat,2,"{""zeroGradient"": 2}",True
salt1_jin_june25_basecont,salt_1,normal_relaunch_base_continuation,T,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt1_jin_basecont/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/T,69,"{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}",True
salt1_jin_june25_basecont,salt_1,normal_relaunch_base_continuation,U,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt1_jin_basecont/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/U,2,"{""noSlip"": 1, ""slip"": 1}",True
salt1_jin_june25_basecont,salt_1,normal_relaunch_base_continuation,alphat,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt1_jin_basecont/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/alphat,2,"{""compressible::alphatWallFunction"": 1, ""zeroGradient"": 1}",True
salt1_jin_june25_basecont,salt_1,normal_relaunch_base_continuation,epsilon,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt1_jin_basecont/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/epsilon,2,"{""fixedValue"": 1, ""zeroGradient"": 1}",True
salt1_jin_june25_basecont,salt_1,normal_relaunch_base_continuation,gammaInt,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt1_jin_basecont/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/gammaInt,2,"{""zeroGradient"": 2}",True
salt1_jin_june25_basecont,salt_1,normal_relaunch_base_continuation,k,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt1_jin_basecont/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/k,2,"{""kLowReWallFunction"": 1, ""zeroGradient"": 1}",True
salt1_jin_june25_basecont,salt_1,normal_relaunch_base_continuation,nut,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt1_jin_basecont/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/nut,2,"{""nutLowReWallFunction"": 1, ""zeroGradient"": 1}",True
