case_key,case_id,run_class,admission_status,case_root,latest_processor_time_s,root_T_patch_count,root_T_type_counts_json,documented_scenario_T_type_counts_json,type_counts_match_documentation,unique_thickness_m,has_0p03556m_layer,rcExternalTemperature_count,externalTemperature_count,zeroGradient_count,emissivity_patch_count,Q_patch_count,has_radiationProperties,has_qr_or_G_field
salt1_jin_june18_mainline,salt_1,mainline_jin_continuation,held_salt1_qualification_required,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt1_jin/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,3756.33125,69,"{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}","{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}",True,0.001651|0.0022|0.003175|0.006096|0.03556,True,36,10,23,36,7,False,False
salt1_jin_june25_basecont,salt_1,normal_relaunch_base_continuation,held_salt1_qualification_required_latest_candidate,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt1_jin_basecont/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,4026.15625,69,"{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}","{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}",True,0.001651|0.0022|0.003175|0.006096|0.03556,True,36,10,23,36,7,False,False
salt1_jin_nominal_continuation_corrected,salt_1,salt1_nominal_continuation_active,running_not_admitted,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,4987.0,69,"{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}",,,0.001651|0.0022|0.003175|0.006096|0.03556,True,36,10,23,36,7,False,False
salt2_jin_mainline,salt_2,mainline_jin_continuation,fit_admissible_current_mainline,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,7915.0,69,"{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}","{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}",True,0.001651|0.0022|0.003175|0.006096|0.03556,True,36,10,23,36,7,False,False
salt3_jin_mainline,salt_3,mainline_jin_continuation,fit_admissible_current_mainline,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,7618.0,69,"{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}","{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}",True,0.001651|0.0022|0.003175|0.006096|0.03556,True,36,10,23,36,7,False,False
salt4_jin_mainline,salt_4,mainline_jin_continuation,fit_admissible_current_mainline,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,10000.0,69,"{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}","{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}",True,0.001651|0.0022|0.003175|0.006096|0.03556,True,36,10,23,36,7,False,False
salt1_jin_lo10q_corrected,salt_1,corrected_salt_q_perturbation,closure_fit_admissible=no; partial_requires_extended_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,6377.0,69,"{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}","{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}",True,0.001651|0.0022|0.003175|0.006096|0.03556,True,36,10,23,36,7,False,False
salt1_jin_hi10q_corrected,salt_1,corrected_salt_q_perturbation,closure_fit_admissible=no; excluded_rebuild,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,4010.590361446,69,"{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}","{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}",True,0.001651|0.0022|0.003175|0.006096|0.03556,True,36,10,23,36,7,False,False
salt2_jin_lo10q_corrected,salt_2,corrected_salt_q_perturbation,closure_fit_admissible=no; partial_requires_extended_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,10291.0,69,"{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}","{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}",True,0.001651|0.0022|0.003175|0.006096|0.03556,True,36,10,23,36,7,False,False
salt2_jin_lo5q_corrected,salt_2,corrected_salt_q_perturbation,closure_fit_admissible=no; partial_requires_extended_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,10275.0,69,"{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}","{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}",True,0.001651|0.0022|0.003175|0.006096|0.03556,True,36,10,23,36,7,False,False
salt2_jin_hi5q_corrected,salt_2,corrected_salt_q_perturbation,closure_fit_admissible=no; partial_requires_extended_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,9780.0,69,"{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}","{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}",True,0.001651|0.0022|0.003175|0.006096|0.03556,True,36,10,23,36,7,False,False
salt2_jin_hi10q_corrected,salt_2,corrected_salt_q_perturbation,closure_fit_admissible=no; partial_requires_extended_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,9674.0,69,"{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}","{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}",True,0.001651|0.0022|0.003175|0.006096|0.03556,True,36,10,23,36,7,False,False
salt3_jin_lo10q_corrected,salt_3,corrected_salt_q_perturbation,closure_fit_admissible=no; partial_requires_extended_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,9428.0,69,"{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}","{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}",True,0.001651|0.0022|0.003175|0.006096|0.03556,True,36,10,23,36,7,False,False
salt3_jin_lo5q_corrected,salt_3,corrected_salt_q_perturbation,closure_fit_admissible=no; partial_requires_extended_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,9389.0,69,"{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}","{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}",True,0.001651|0.0022|0.003175|0.006096|0.03556,True,36,10,23,36,7,False,False
salt3_jin_hi5q_corrected,salt_3,corrected_salt_q_perturbation,closure_fit_admissible=no; excluded_rerun,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,7639.0,69,"{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}","{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}",True,0.001651|0.0022|0.003175|0.006096|0.03556,True,36,10,23,36,7,False,False
salt3_jin_hi10q_corrected,salt_3,corrected_salt_q_perturbation,closure_fit_admissible=no; excluded_rerun,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,7637.0,69,"{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}","{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}",True,0.001651|0.0022|0.003175|0.006096|0.03556,True,36,10,23,36,7,False,False
