case_key,case_id,run_class,admission_status,latest_processor_time_s,patch,type,Q_W,h_W_m2K,Ta_K,Tsur_K,emissivity,thicknessLayers,has_0p03556m_layer,source_path
salt1_jin_june18_mainline,salt_1,mainline_jin_continuation,held_salt1_qualification_required,3756.33125,junction_lower_left,rcExternalTemperature,,4.304062559233876,299.10999999999996,299.10999999999996,0.95,(0.006096001 0.035559999999999994),True,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt1_jin/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/T
salt1_jin_june18_mainline,salt_1,mainline_jin_continuation,held_salt1_qualification_required,3756.33125,junction_lower_left_left_extension,rcExternalTemperature,,3.6155253201528432,299.10999999999996,299.10999999999996,0.95,(0.006096001 0.035559999999999994),True,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt1_jin/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/T
salt1_jin_june18_mainline,salt_1,mainline_jin_continuation,held_salt1_qualification_required,3756.33125,junction_lower_left_left_step,zeroGradient,,,,,,,False,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt1_jin/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/T
salt1_jin_june18_mainline,salt_1,mainline_jin_continuation,held_salt1_qualification_required,3756.33125,junction_lower_left_left_stub,externalTemperature,,78.4742399795494,299.10999999999996,,,,False,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt1_jin/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/T
salt1_jin_june18_mainline,salt_1,mainline_jin_continuation,held_salt1_qualification_required,3756.33125,junction_lower_left_lower_extension,rcExternalTemperature,,5.66829538085432,299.10999999999996,299.10999999999996,0.95,(0.006096001 0.035559999999999994),True,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt1_jin/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/T
salt1_jin_june18_mainline,salt_1,mainline_jin_continuation,held_salt1_qualification_required,3756.33125,junction_lower_left_lower_stub,externalTemperature,,85.48037272577605,299.10999999999996,,,,False,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt1_jin/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/T
salt1_jin_june18_mainline,salt_1,mainline_jin_continuation,held_salt1_qualification_required,3756.33125,junction_lower_right,rcExternalTemperature,,4.318924518726673,299.10999999999996,299.10999999999996,0.95,(0.006096001 0.035559999999999994),True,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt1_jin/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/T
salt1_jin_june18_mainline,salt_1,mainline_jin_continuation,held_salt1_qualification_required,3756.33125,junction_lower_right_lower_extension,rcExternalTemperature,,4.78820243630564,299.10999999999996,299.10999999999996,0.95,(0.006096001 0.035559999999999994),True,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt1_jin/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/T
salt1_jin_june18_mainline,salt_1,mainline_jin_continuation,held_salt1_qualification_required,3756.33125,junction_lower_right_lower_stub,externalTemperature,,66.01628014680026,299.10999999999996,,,,False,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt1_jin/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/T
salt1_jin_june18_mainline,salt_1,mainline_jin_continuation,held_salt1_qualification_required,3756.33125,junction_lower_right_right_extension,rcExternalTemperature,,3.6291199309712714,299.10999999999996,299.10999999999996,0.95,(0.006096001 0.035559999999999994),True,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt1_jin/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/T
