case_key,case_id,run_class,patch,root_Q_W,expected_Q_W,root_matches_expected,latest_restart_time_s,latest_restart_T_path,restart_processor_block_count,restart_Q_value_counts_json,restart_type_counts_json,restart_all_processors_have_expected_Q
salt1_jin_june18_mainline,salt_1,mainline_jin_continuation,pipeleg_lower_04_straight,77.43333333333334,,,3756.33125,,,{},{},
salt1_jin_june18_mainline,salt_1,mainline_jin_continuation,pipeleg_lower_05_straight,77.43333333333334,,,3756.33125,,,{},{},
salt1_jin_june18_mainline,salt_1,mainline_jin_continuation,pipeleg_lower_06_straight,77.43333333333334,,,3756.33125,,,{},{},
salt1_jin_june18_mainline,salt_1,mainline_jin_continuation,pipeleg_upper_04_reducer,-16.22051188331554,,,3756.33125,,,{},{},
salt1_jin_june18_mainline,salt_1,mainline_jin_continuation,pipeleg_upper_05_cooler,-103.16215407994024,,,3756.33125,,,{},{},
salt1_jin_june18_mainline,salt_1,mainline_jin_continuation,pipeleg_upper_06_reducer,-16.22051188331554,,,3756.33125,,,{},{},
salt1_jin_june18_mainline,salt_1,mainline_jin_continuation,pipeleg_left_04_test_section,37.0,37.0,True,3756.33125,,,{},{},False
salt1_jin_june25_basecont,salt_1,normal_relaunch_base_continuation,pipeleg_lower_04_straight,77.43333333333334,,,4026.15625,,,{},{},
salt1_jin_june25_basecont,salt_1,normal_relaunch_base_continuation,pipeleg_lower_05_straight,77.43333333333334,,,4026.15625,,,{},{},
salt1_jin_june25_basecont,salt_1,normal_relaunch_base_continuation,pipeleg_lower_06_straight,77.43333333333334,,,4026.15625,,,{},{},
salt1_jin_june25_basecont,salt_1,normal_relaunch_base_continuation,pipeleg_upper_04_reducer,-16.22051188331554,,,4026.15625,,,{},{},
salt1_jin_june25_basecont,salt_1,normal_relaunch_base_continuation,pipeleg_upper_05_cooler,-103.16215407994024,,,4026.15625,,,{},{},
salt1_jin_june25_basecont,salt_1,normal_relaunch_base_continuation,pipeleg_upper_06_reducer,-16.22051188331554,,,4026.15625,,,{},{},
salt1_jin_june25_basecont,salt_1,normal_relaunch_base_continuation,pipeleg_left_04_test_section,37.0,37.0,True,4026.15625,,,{},{},False
salt1_jin_nominal_continuation_corrected,salt_1,salt1_nominal_continuation_active,pipeleg_lower_04_straight,77.43333333333334,,,4987.0,,,{},{},
salt1_jin_nominal_continuation_corrected,salt_1,salt1_nominal_continuation_active,pipeleg_lower_05_straight,77.43333333333334,,,4987.0,,,{},{},
salt1_jin_nominal_continuation_corrected,salt_1,salt1_nominal_continuation_active,pipeleg_lower_06_straight,77.43333333333334,,,4987.0,,,{},{},
salt1_jin_nominal_continuation_corrected,salt_1,salt1_nominal_continuation_active,pipeleg_upper_04_reducer,-16.22051188331554,,,4987.0,,,{},{},
salt1_jin_nominal_continuation_corrected,salt_1,salt1_nominal_continuation_active,pipeleg_upper_05_cooler,-103.16215407994024,,,4987.0,,,{},{},
salt1_jin_nominal_continuation_corrected,salt_1,salt1_nominal_continuation_active,pipeleg_upper_06_reducer,-16.22051188331554,,,4987.0,,,{},{},
