source_key,author_title_or_source,thesis_topic,source_use_category,validity_or_required_metadata,tamu_overlap,thesis_safe_use,do_not_claim,target_csem_location
NIST_TN2206,"Lin/NIST fitting-loss measurement methods and state-of-the-art review","Pressure taps, fittings, coefficient naming","method source","Tap/plane locations; pressure basis; velocity basis; geometry; Re; recovery status","Directly relevant as extraction method, not TAMU coefficient source","Use to justify section_K, cluster_K, component_K naming discipline","Do not use as universal TAMU component K admission","Ch. 2 hydraulic closures; Ch. 4 pressure reduction; Ch. 6 admission"
CsizmadiaHos2014,"Csizmadia and Hos corrected element pressure-drop decomposition","Element pressure-drop extraction","method source","Attached-pipe corrections; inlet velocity basis; element domain","Directly relevant to CFD section extraction","Use to justify subtracting upstream/downstream straight losses","Do not call retained upstream/downstream disturbances a component K","Ch. 4 pressure reduction"
PatinoJaramillo2022Coeff,"Patino-Jaramillo, Iglesias, Vera low-Re planar tee pressure-loss coefficients","Low-Re tee path coefficients","source-bounded reference/sensitivity","Planar tee, reduced static pressure basis, split ratio, Re and alpha ranges","Physics-relevant to low-Re junction dependence, not geometry matched to circular TAMU corners","Use as precedent for split/path dependence and reduced-static basis fields","Do not use as universal circular-pipe dynamic K or admitted TAMU coefficient","Ch. 2 hydraulic closures; Ch. 6 admission"
PatinoJaramillo2022Flow,"Patino-Jaramillo, Iglesias, Vera planar tee flow fields and recirculation maps","Recirculation diagnostics and topology","source-bounded diagnostic/method source","Flow-map simulations; planar geometry; split ratio required","Relevant to flags and topology, not direct threshold source","Use to motivate recirculation_zone/topology flags and invalid_single_stream policy","Do not import a universal recirculation threshold","Ch. 5 model forms; Ch. 6 admission"
AlTameemiRicco2018,"Al-Tameemi and Ricco 90-degree sharp miter elbow K(Re)","Bend-loss Re dependence","source-bounded screening/reference","500<Re<60000; miter geometry and velocity basis required","Useful to reject Re-independent bend-K assumptions; likely not TAMU geometry matched","Use as screening/sensitivity example for geometry-specific bend losses","Do not directly use for smooth bends, clusters, recirculating corners, or unmatched Re","Ch. 2 hydraulic closures"
SalehiIdemSleiti2017,"Salehi, Idem, Sleiti close-coupled elbow cluster loss","Close-coupled fitting clusters","source-bounded method/sensitivity","Configuration, separation distance, duct geometry, and tare-friction basis required","Methodologically relevant to TAMU close-coupled corners/clusters","Use to justify cluster_K when disturbances and recovery regions overlap","Do not import numerical HVAC coefficients to HITEC","Ch. 2 hydraulic closures; Ch. 4 pressure reduction"
ShahLondon1971_Shah1978,"Shah and London; Shah hydrodynamic entry correlation","Fully developed and entry-region friction","reference/method source","Fanning/Darcy convention; L+ or reset distance; geometry and development state","Directly relevant as reference and development-state discipline","Use f_D=64/Re only as reference/convention unless branch gates pass","Do not say laminar long branch automatically means active 64/Re closure","Ch. 2 hydraulic closures; Ch. 5 constitutive relations"
MuzychkaYovanovich2004_2009,"Muzychka and Yovanovich combined-entry heat transfer and developing friction","Developing friction and heat transfer","source-bounded candidate/method source","Boundary condition, characteristic length, reset distance, source envelope","Relevant to developing/redeveloping straight-section model forms","Use as MF-01 candidate after Re/Pr/Gz/Ri/reset gates pass","Do not use if buoyancy, recirculation, or source envelope invalidates assumptions","Ch. 2 thermal closures; Ch. 5 candidate model forms"
EvertsMeyer2020_EvertsMahdavi2023,"Everts and Meyer/Mahdavi developing and mixed-convection entrance studies","Mixed-convection gates and secondary-flow cautions","diagnostic/method source","Orientation, thermal BC, Re/Pr/Gr/Ri/Gz, source ranges","Relevant as branch-development and gate discipline, not HITEC constants","Use to justify not using long L/D alone as developed-flow proof","Do not import water-based constants as HITEC closure admission","Ch. 2 thermal closures; Ch. 6 admission"
VDIHeatAtlas2010,"VDI Heat Atlas resistance-network and pressure-drop framework","Heat-loss resistance networks","method/source-bounded reference","Geometry, material, emissivity, ambient/coolant state, source pages required","Relevant to heat-loss ledger and external-boundary model forms","Use to separate internal convection, wall conduction, external convection, radiation, jacket, and residual","Do not hide heat residual in internal Nu or single global UA","Ch. 2 thermal closures; Ch. 4 thermal reduction; Ch. 5 constitutive relations"
