manifest_id,target_file,target_label_or_section,insert_source,insert_type,implementation_instruction,validation_check,notes
LTX-01,"../papers/UTexas_Research/csem-Masters_dissertation/chapters/02_background_literature.tex","sec:hydraulic-closures","source_envelope_thesis_table.csv; LitRev Ch. 11","prose plus compact table","Replace TODO[source] language with source-envelope narrative for developed/reference friction, developing effects, minor-loss naming, and geometry/basis requirements.","rg for source keys NIST_TN2206 ShahLondon1971_Shah1978 PatinoJaramillo2022Coeff","Must keep fully developed friction as reference unless gates pass."
LTX-02,"../papers/UTexas_Research/csem-Masters_dissertation/chapters/02_background_literature.tex","sec:thermal-closures","source_envelope_thesis_table.csv; thermal heat-loss contract alignment","prose plus compact table","Add developing/mixed-convection gates and resistance-network heat-loss separation.","rg for VDIHeatAtlas2010 MuzychkaYovanovich EvertsMeyer","Do not hide heat residual in internal Nu."
LTX-03,"../papers/UTexas_Research/csem-Masters_dissertation/chapters/04_cfd_to_1d_reduction.tex","sec:pressure-reduction","pressure_corner_thesis_rules.csv; cfd_postprocessing_contract.csv","methods subsection","Add pressure decomposition and coefficient naming contract before any pressure result language.","rg for hydrostatic kinetic recovery velocity basis component_K K_cluster","Explicitly state pressure rise is diagnostic until decomposed."
LTX-04,"../papers/UTexas_Research/csem-Masters_dissertation/chapters/04_cfd_to_1d_reduction.tex","sec:thermal-reduction","cfd_postprocessing_contract.csv; thermal heat-loss contract alignment","methods subsection","Add heat-balance term separation for heater, cooler/jacket, passive, storage, radiation, wall/material, exchange, and residual.","rg for radiation storage residual internal Nu","Reserve wall storage for future transient extensions unless evidence reopens it."
LTX-05,"../papers/UTexas_Research/csem-Masters_dissertation/chapters/05_coupled_fluid_walls_model.tex","sec:model-form-ladder","model_form_thesis_ladder.csv","model-form ladder table","Integrate MF-01 to MF-06 with main-body and future-work status.","rg for MF-01 MF-02 MF-03 MF-04 MF-05 MF-06","MF-03 conditional; MF-05/MF-06 future/appendix."
LTX-06,"../papers/UTexas_Research/csem-Masters_dissertation/chapters/06_closure_admission_uncertainty.tex","sec:predictive-use-criteria","chapter_incorporation_matrix.csv; cfd_postprocessing_contract.csv","admission-gate prose","Add no-silent-threshold and diagnostic/provisional/excluded/future labels.","rg for no-silent threshold same-QOI source-envelope runtime","No new closure admission."
LTX-07,"../papers/UTexas_Research/csem-Masters_dissertation/chapters/07_reduced_cfd_evidence.tex","sec:hydraulic-behavior","pressure_corner_thesis_rules.csv; current two-tap section-effective package","results interpretation prose","Use LitRev rules to explain why current pressure rows are diagnostic/model-form evidence.","rg for section-effective diagnostic component K","No ordinary component K or F6 admission."
LTX-08,"../papers/UTexas_Research/csem-Masters_dissertation/chapters/08_predictive_model_assessment.tex","sec:model-form-comparison","model_form_thesis_ladder.csv; final scorecard shell","assessment framing","Map model-form ladder to replay, diagnostic, candidate, and frozen-predictive statuses.","rg for replay diagnostic frozen predictive forbidden runtime","No final predictive-score claim until frozen scorecard lands."
LTX-09,"../papers/UTexas_Research/csem-Masters_dissertation/chapters/09_implications_conclusions_future_work.tex","sec:limitations-future-work","model_form_thesis_ladder.csv; chapter_incorporation_matrix.csv","future-work bullets","Add transient fitting-loss, ROM, same-QOI UQ, pressure instrumentation, switching calibration, and SAM implementation as future work.","rg for MF-05 MF-06 same-QOI SAM validation","No SAM validation or Salt-versus-Water law."
LTX-10,"../papers/UTexas_Research/csem-Masters_dissertation/chapters/appendix_claim_ledger.tex","appendix claim ledger","chapter_incorporation_matrix.csv","optional table refresh","Add claim rows only if a chapter introduces a new claim not already in CL-01..CL-26.","rg for LitRev source-envelope pressure-corner model-form hierarchy","Do not duplicate existing claim IDs without crosswalk."
