rule_id,thesis_rule,required_fields,allowed_thesis_wording,forbidden_wording,target_chapter,source_paths
PCR-01,"Static pressure rise is not a loss coefficient by itself.","p_static_up; p_static_down; dp_hydrostatic; dp_kinetic; pressure average basis; velocity basis","A local static pressure increase may reflect hydrostatic correction, kinetic recovery, pressure recovery, or basis choice before irreversible loss is assigned.","The corner has a negative loss coefficient because static pressure increases.","Ch. 4 pressure reduction; Ch. 7 hydraulic behavior","pressure_corner_extraction_findings.csv PC-01"
PCR-02,"Straight and developing loss must be separated or intentionally retained before naming a coefficient.","dp_straight_pipe_correction; reset/development state; tap/plane distance; L/D; f reference convention","If straight/developing terms are not isolated, the result is section-effective or diagnostic.","The fitting K is valid even though straight loss and recovery are mixed into the taps.","Ch. 4 pressure reduction; Ch. 6 closure admission","pressure_corner_extraction_findings.csv PC-02"
PCR-03,"Use component, section, or cluster names according to extraction domain.","included fittings; fitting_cluster_id; downstream_recovery_length_D; component_isolation_flag","Use component_K only after isolation and recovery; otherwise use K_section, K_cluster, or diagnostic residual.","All corner/two-tap pressure residuals are component K values.","Ch. 4 pressure reduction; Ch. 6 closure admission","pressure_corner_extraction_findings.csv PC-03"
PCR-04,"Negative source-defined coefficients require source-matched basis and energy consistency.","source definition; pressure basis; velocity basis; flow split; topology; total section balance","Negative path coefficients can be reported only as source-defined head-change coefficients with basis and balance stated.","Clip all negative K values to zero or call them pressure generation.","Ch. 6 closure admission; Ch. 7 hydraulic behavior","pressure_corner_extraction_findings.csv PC-04"
PCR-05,"Reduced-static K-prime and dynamic/total-pressure K are different quantities.","Kprime_reduced_static; K_dynamic_or_total; hydro_corrected_static flag; pressure_basis","Carry both pressure-basis fields before comparing source tables or CFD rows.","A reduced-static planar tee coefficient is equivalent to circular-pipe dynamic component K.","Ch. 2 hydraulic closures; Ch. 4 pressure reduction","pressure_corner_extraction_findings.csv PC-05"
PCR-06,"Velocity basis controls K magnitude and comparability.","u_ref; rho_ref; velocity_basis; area ratio; branch/main basis; U_ref near-zero flag","K values are comparable only with explicit upstream/downstream/branch/source-defined velocity basis.","A single K table can be compared across all rows without reference velocity definition.","Ch. 4 pressure reduction; Ch. 6 closure admission","pressure_corner_extraction_findings.csv PC-06"
PCR-07,"Recirculation invalidates ordinary one-stream component K unless calibrated gates pass.","reverse_area_fraction; reverse_mass_fraction; secondary_flow_intensity; stratification; recovery errors; calibration status","Recirculating corner rows are model-form evidence until reverse-flow and recovery gates pass.","A recirculating two-tap corner row is an ordinary component K row.","Ch. 6 closure admission; Ch. 7 upcomer recirculation","pressure_corner_extraction_findings.csv PC-07"
PCR-08,"Residuals are localized before any global multiplier is considered.","pressure_residual_assignment; branch_id; fitting_cluster_id; modeled terms; residual norm","Use unresolved_minor_loss or cluster_residual when local evidence is incomplete.","A global F6/friction multiplier should absorb corner anomalies.","Ch. 6 closure admission; Ch. 8 predictive assessment","pressure_corner_extraction_findings.csv PC-08"
PCR-09,"Geometry source envelope is required before source coefficients are imported.","part number; geometry class; bend radius; area ratio; junction angle; cluster boundaries","Literature coefficients are source-bounded references until TAMU geometry and basis match.","Standard bend or tee coefficients can be imported without geometry and basis evidence.","Ch. 2 source envelope; Ch. 6 closure admission","pressure_corner_extraction_findings.csv PC-09"
PCR-10,"Same-QOI uncertainty is required for admission.","mesh_level; time_window; plane_sweep; same_qoi_uncertainty_status; GCI_or_time_UQ_metric","Current pressure-corner rows can be diagnostic without being fit-admitted.","A coefficient is admitted without same-QOI pressure/velocity uncertainty.","Ch. 6 uncertainty; Ch. 7 hydraulic results","pressure_corner_extraction_findings.csv PC-10"
