admission_status,case_id,closure_fit_admissible,coordinator_review_status,fatal_error_count,fit_exclusion_reason,fit_use_status,job_id,job_state,latest_solver_time_s,leg_class,needs_special_gate_scrutiny,partition,recommendation,run_class,source_id,source_paths,span
admitted_mainline_salt_2_3_4_jin,salt_2,True,not_required_for_mainline_freeze,,,fit_admissible,,,,,False,,,mainline_jin_continuation,viscosity_screening_salt_test_2_jin_coarse_mesh,work_products/2026-07-01_claude_momentum_budget/momentum_budget.csv;work_products/2026-07-04_friction_forms/friction_forms_comparison.csv;work_products/2026-07-01_claude_segment_friction/segment_friction.csv;work_products/2026-07-01_claude_allspan_convection;work_products/2026-07-01_claude_thermal_downcomer,
admitted_mainline_salt_2_3_4_jin,salt_3,True,not_required_for_mainline_freeze,,,fit_admissible,,,,,False,,,mainline_jin_continuation,viscosity_screening_salt_test_3_jin_coarse_mesh,work_products/2026-07-01_claude_momentum_budget/momentum_budget.csv;work_products/2026-07-04_friction_forms/friction_forms_comparison.csv;work_products/2026-07-01_claude_segment_friction/segment_friction.csv;work_products/2026-07-01_claude_allspan_convection;work_products/2026-07-01_claude_thermal_downcomer,
admitted_mainline_salt_2_3_4_jin,salt_4,True,not_required_for_mainline_freeze,,,fit_admissible,,,,,False,,,mainline_jin_continuation,viscosity_screening_salt_test_4_jin_coarse_mesh,work_products/2026-07-01_claude_momentum_budget/momentum_budget.csv;work_products/2026-07-04_friction_forms/friction_forms_comparison.csv;work_products/2026-07-01_claude_segment_friction/segment_friction.csv;work_products/2026-07-01_claude_allspan_convection;work_products/2026-07-01_claude_thermal_downcomer,
held_salt1_qualification_required,salt_1,False,required,,Salt 1 missing qualification package; nominal mdot confidence and short/weak-window caveats unresolved,excluded,,,,,True,,,mainline_jin_continuation,viscosity_screening_salt_test_1_jin_coarse_mesh,work_products/2026-07-07_f4_evidence_freeze_review/README.md,
held_corrected_salt_q,salt1_jin_lo10q_corrected,False,required,0,missing nominal mdot reference,excluded,3275448,RUNNING,5440.123376623,,True,NuclearEnergy,hold_for_coordinator_review,corrected_salt_q_perturbation,salt1_jin_lo10q_corrected,work_products/2026-07-07_corrected_salt_live_monitor/live_salt_sanity_monitor.csv,
held_corrected_salt_q,salt1_jin_hi10q_corrected,False,required,0,missing nominal mdot reference; ended early after 254s past restart (4.24% of target extension),excluded,3275448,RUNNING,4010.590361446,,True,NuclearEnergy,hold_for_coordinator_review,corrected_salt_q_perturbation,salt1_jin_hi10q_corrected,work_products/2026-07-07_corrected_salt_live_monitor/live_salt_sanity_monitor.csv,
held_corrected_salt_q,salt2_jin_lo10q_corrected,False,not_requalified,0,corrected Salt Q awaits formal operating-point gate,excluded,3275448,RUNNING,9430.902439024,,False,NuclearEnergy,hold_running_wait_for_formal_gate,corrected_salt_q_perturbation,salt2_jin_lo10q_corrected,work_products/2026-07-07_corrected_salt_live_monitor/live_salt_sanity_monitor.csv,
held_corrected_salt_q,salt2_jin_lo5q_corrected,False,not_requalified,0,corrected Salt Q awaits formal operating-point gate,excluded,3275448,RUNNING,9432.94047619,,False,NuclearEnergy,hold_running_wait_for_formal_gate,corrected_salt_q_perturbation,salt2_jin_lo5q_corrected,work_products/2026-07-07_corrected_salt_live_monitor/live_salt_sanity_monitor.csv,
held_corrected_salt_q,salt2_jin_hi5q_corrected,False,not_requalified,0,corrected Salt Q awaits formal operating-point gate,excluded,3275449,RUNNING,9110.3125,,False,NuclearEnergy,hold_running_wait_for_formal_gate,corrected_salt_q_perturbation,salt2_jin_hi5q_corrected,work_products/2026-07-07_corrected_salt_live_monitor/live_salt_sanity_monitor.csv,
held_corrected_salt_q,salt2_jin_hi10q_corrected,False,not_requalified,0,corrected Salt Q awaits formal operating-point gate,excluded,3275449,RUNNING,9039.811111111,,False,NuclearEnergy,hold_running_wait_for_formal_gate,corrected_salt_q_perturbation,salt2_jin_hi10q_corrected,work_products/2026-07-07_corrected_salt_live_monitor/live_salt_sanity_monitor.csv,
