source_id,case_label,case_order,feature_name,feature_class,adjacent_major_spans,time_row_count,probe_ready_time_count,partial_probe_time_count,blocked_probe_time_count,probe_ready_fraction,probe_any_coverage_fraction,min_window_support_fraction,mean_window_support_fraction,mean_window_abs_delta_p_pa,mean_window_abs_delta_p_rgh_pa,mean_window_hydro_correction_abs_pa,mean_endpoint_hydro_proxy_abs_pa,mean_existing_feature_excess_dp_local_pa,mean_hydro_probe_gap_vs_endpoint_fraction,status,status_reason
val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,0,corner_lower_left,bend,left_lower_leg|lower_leg,5,5,0,0,1.0,1.0,1.0,1.0,369.944893891708,0.13222431248497984,370.07711820419297,338.00594830980003,-2.8297854554613067,1.9133392249431183,probe_ready_for_downstream_review,all_retained_times_have_full_endpoint_window_support
val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,0,corner_lower_right,bend,lower_leg|right_leg,5,5,0,0,1.0,1.0,1.0,1.0,347.33378124869125,5.756240412314068,353.09002166100527,340.48705991400004,-0.49752258988628195,1.9643066619554073,probe_ready_for_downstream_review,all_retained_times_have_full_endpoint_window_support
val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,0,corner_upper_left,bend,upper_leg|left_upper_leg,5,5,0,0,1.0,1.0,1.0,1.0,576.9812297109951,5.241603665685799,571.7396260453094,328.2976013320005,-0.7293555569061895,1.574208234617946,probe_ready_for_downstream_review,all_retained_times_have_full_endpoint_window_support
val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,0,corner_upper_right,bend,right_leg|upper_leg,5,5,0,0,1.0,1.0,1.0,1.0,140.37719874885698,80.78667518958267,221.16387393843962,341.6224920165999,4.7343133677788005,2.54465774534457,probe_ready_for_downstream_review,all_retained_times_have_full_endpoint_window_support
val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,0,test_section_complex,quartz_transition,left_upper_leg|test_section_span|left_lower_leg,5,5,0,0,1.0,1.0,1.0,1.0,4833.264506589274,5.447246115630368,4838.711752704905,4773.0591255113995,1.5592972349272145,1.986431796199308,probe_ready_for_downstream_review,all_retained_times_have_full_endpoint_window_support
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,1,corner_lower_left,bend,left_lower_leg|lower_leg,4,4,0,0,1.0,1.0,1.0,1.0,373.1614382851908,0.3180221777939569,373.4794604629848,341.09355572275,-2.499735819998868,1.9132859817777197,probe_ready_for_downstream_review,all_retained_times_have_full_endpoint_window_support
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,1,corner_lower_right,bend,lower_leg|right_leg,4,4,0,0,1.0,1.0,1.0,1.0,350.5812884562547,5.839623197657494,356.4209116539122,343.3332529152504,-0.8859457168427664,1.9632803286487022,probe_ready_for_downstream_review,all_retained_times_have_full_endpoint_window_support
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,1,corner_upper_left,bend,upper_leg|left_upper_leg,4,4,0,0,1.0,1.0,1.0,1.0,582.3323084956155,18.20232186735619,564.1299866282593,323.10629209,7.4625873286836235,1.5727514930046282,probe_ready_for_downstream_review,all_retained_times_have_full_endpoint_window_support
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,1,corner_upper_right,bend,right_leg|upper_leg,4,4,0,0,1.0,1.0,1.0,1.0,141.6514354154251,72.93185416017741,214.58328957560252,341.55612786900025,1.379272936067994,2.5917182020311578,probe_ready_for_downstream_review,all_retained_times_have_full_endpoint_window_support
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,1,test_section_complex,quartz_transition,left_upper_leg|test_section_span|left_lower_leg,4,4,0,0,1.0,1.0,1.0,1.0,4877.570406167823,2.607551480827813,4880.1779576486515,4814.0148185725,-1.2243387739090226,1.986442474096164,probe_ready_for_downstream_review,all_retained_times_have_full_endpoint_window_support
