requirement_id,field_or_group,needed_for,minimum_evidence,missing_behavior,source_path
topology_signed_paths,branch topology and signed path mdot,distinguish MF-03 from MF-04,Discrete path mass balances and pressure nodes show whether an entire modeled path reverses.,If absent do not open signed-flow implementation; route local reverse flow to diagnostic/MF-04 review.,work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/model_form_candidates.csv
local_reverse_flow,RAF/RMF/SVF,distinguish one-stream from exchange-cell,Same-window reverse area fraction reverse mass fraction and secondary-flow metric on named planes or region boundaries.,If absent ordinary admission is blocked; row may remain diagnostic-only.,work_products/2026-07/2026-07-16/2026-07-16_recirc_feature_admission_and_hybrid_contract/recirculation_feature_admission_table.csv
pressure_basis,static p and p_rgh basis,pressure_residual,Endpoint or station pressure fields with hydrostatic and sign convention recorded.,If absent pressure residual cannot be scored or fit.,reports/thesis_dossier/Chapters_and_sections/current/13_two_tap_recirc_section_effective_pressure_model.md
kinetic_basis,velocity and density basis,pressure_residual,Kinetic correction and q_ref throughflow status from the same time window as pressure.,If near-zero or cancellation-dominated return no-fit diagnostic status.,work_products/2026-07/2026-07-20/2026-07-20_two_tap_recirc_section_effective_model/paper_methods_pressure_basis.md
straight_development_subtraction,Delta_p_straight and Delta_p_dev,pressure_residual,Accepted centerline lengths plus straight/developing reference terms for the same section.,If missing residual is partial only and cannot be admitted.,work_products/2026-07/2026-07-20/2026-07-20_two_tap_recirc_section_effective_model/README.md
recirculation_volume,V_recirc,exchange-cell state,Coherent CFD region/volume mask for the recirculation cell and its volume.,If absent MF-04 remains a conceptual interface with no exchange state.,reports/thesis_dossier/Chapters_and_sections/current/04_upcomer_recirculation_modeling.md
exchange_rate,mdot_exchange and tau_recirc,exchange-cell state,Flux across an interface between main throughflow and recirculation cell or another conservative exchange estimator.,If absent residence time and exchange energy terms are missing; no coefficient fitting.,work_products/2026-07/2026-07-20/2026-07-20_direct_recirc_model_forms_and_dry_scorers/README.md
thermal_state,T_main and T_recirc,energy_residual,Same-window enthalpy-weighted main-stream and recirculation-cell temperatures with property mode.,If absent energy residual cannot be closed and internal Nu fitting remains blocked.,operational_notes/maps/thermal-closures-and-internal-nu.md
wall_source_terms,Q_wall Q_source Q_sink,energy_residual,Wall heat flux/source/sink ledgers separated into setup inputs solved states and diagnostic outputs.,If absent do not absorb thermal residual into internal Nu or exchange coefficient.,operational_notes/maps/thermal-closures-and-internal-nu.md
split_safe_score,training/held-out role and runtime audit,admission,Model scoring must use training-only calibration and no held-out CFD outputs at runtime.,If absent dry interface may be documented but not admitted.,work_products/2026-07/2026-07-17/2026-07-17_upcomer_pipe_cell_hybrid_model/runtime_hybrid_input_audit.csv
same_qoi_uq,mesh/time uncertainty,admission,Same-label same-formula same-sign same-window uncertainty for residuals and regime metrics.,If absent keep diagnostic-only and list blocker.,work_products/2026-07/2026-07-20/2026-07-20_pm10_recirc_hybrid_residual_scorecard/README.md
