field_name,applies_to,units,required_for_mode,definition,sign_or_reference_convention,source_or_status,admission_status
case_key,row,dimensionless,all,Case or operating-point identifier.,Preserve existing split role and provenance labels.,required metadata,interface_required
region_id,row,dimensionless,all,Physical span or feature region such as upcomer aggregate or corner_lower_right.,Use canonical segment/feature names from current maps.,required metadata,interface_required
mode_id,row,dimensionless,all,Selected reduced-model mode from switching_model_selection_contract.csv.,One of one_stream_developing; signed_flow_junction_network; throughflow_recirc_exchange_cell; diagnostic_only.,dry selector output,not_admitted
mdot_main,main_stream,kg/s,one_stream_developing;throughflow_recirc_exchange_cell,Net throughflow mass flow carried by the main 1D path.,Positive in canonical loop direction; solved at runtime, not imported from held-out CFD.,existing 1D state plus CFD diagnostic comparison,interface_required_no_runtime_leakage
T_main_in,main_stream,K,all,Main-stream inlet bulk temperature for the modeled region.,Use enthalpy-weighted or signed-mass bulk basis only when recirculation gate allows; otherwise carry basis label.,CFD/postprocessing evidence required for scoring,interface_required
T_main_out,main_stream,K,all,Main-stream outlet bulk temperature for the modeled region.,Same temperature basis and time window as T_main_in.,CFD/postprocessing evidence required for scoring,interface_required
p_main_in,main_stream,Pa,all,Mechanical pressure node entering the modeled region.,Use hydrostatic-checked p_rgh basis when pressure residual is scored.,CFD pressure basis required,interface_required
p_main_out,main_stream,Pa,all,Mechanical pressure node exiting the modeled region.,Downstream-minus-upstream residual convention must be carried explicitly.,CFD pressure basis required,interface_required
R_mu,recirc_cell,dimensionless,throughflow_recirc_exchange_cell,mu_recirc_ref divided by mu_main_ref for the same property package and time window.,Reference temperatures are T_recirc and local T_main_exchange unless a later row admits another basis.,dry interface field,not_fit
R_rho,recirc_cell,dimensionless,throughflow_recirc_exchange_cell,rho_recirc_ref divided by rho_main_ref for the same property package and time window.,Reference temperatures are T_recirc and local T_main_exchange unless a later row admits another basis.,dry interface field,not_fit
V_recirc,recirc_cell,m3,throughflow_recirc_exchange_cell,Coherent recirculating volume assigned to the reduced cell.,Must come from an explicit CFD volume/region mask, not inferred from a coefficient residual.,missing for current dry contract,not_admitted
mdot_exchange,exchange_link,kg/s,throughflow_recirc_exchange_cell,Bidirectional exchange mass-flow magnitude between the main stream and recirculation cell.,Positive magnitude; equal and opposite exchange terms preserve total mass at steady state.,missing for current dry contract,not_admitted
T_recirc,recirc_cell,K,throughflow_recirc_exchange_cell,Bulk recirculation-cell temperature.,Must be defined from a cell/volume mask and property mode; not the same as single signed mixing-cup T when cancellation is material.,missing for current dry contract,not_admitted
tau_recirc,recirc_cell,s,throughflow_recirc_exchange_cell,Residence time rho_recirc * V_recirc / mdot_exchange.,Return diagnostic_missing_or_near_zero_denominator instead of extreme values when mdot_exchange is missing or near zero.,derived after V_recirc and mdot_exchange exist,not_fit
RAF,diagnostic,dimensionless,all,Reverse area fraction on the same-window cut plane or region boundary.,Use the local canonical throughflow normal and preserve plane IDs.,existing diagnostic in current packages,threshold_unset
RMF,diagnostic,dimensionless,all,Reverse mass fraction on the same-window cut plane or region boundary.,Use mass-flux magnitude basis and preserve plane IDs.,existing diagnostic in current packages,threshold_unset
SVF,diagnostic,dimensionless,all,Secondary velocity fraction or surrogate secondary-flow metric.,Use same-window velocity field and report missing when unavailable.,partial existing diagnostic,threshold_unset
pressure_residual,residual,Pa,throughflow_recirc_exchange_cell;diagnostic_only,Observed pressure residual after hydrostatic, kinetic, straight, development, and admitted component/junction terms are separated.,Delta_p_resid = Delta_p_rgh - Delta_p_kin - Delta_p_straight - Delta_p_dev - Delta_p_admitted_feature.,two-tap section-effective model provides current pattern,target_only_no_fit
energy_residual,residual,W,throughflow_recirc_exchange_cell;diagnostic_only,Observed heat/enthalpy residual after main-throughflow, wall/source/sink, and exchange terms are separated.,Positive into fluid/control volume; preserve wall/source ownership and runtime legality labels.,thermal contract required before scoring,target_only_no_fit
runtime_legality,row,dimensionless,all,Whether a field is setup/runtime input, solved state, diagnostic target, or forbidden runtime input.,Held-out CFD mdot, realized wallHeatFlux, and validation temperatures are forbidden runtime inputs.,existing split policy,interface_required
same_qoi_uq_status,row,dimensionless,all,Mesh/time uncertainty status for the same label, formula, sign, and window.,Missing UQ blocks admission but can leave dry diagnostic rows.,existing blocker status,not_admitted_without_uq
