source_path,role_in_study,mutation_status,trusted_or_diagnostic,notes
work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s4_recirculation_guard_upcomer_hybrid/summary.json,s4_summary,read_only,trusted_existing_package,S9 consumed this artifact as existing evidence only.
work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s8_wall_test_section_axial_mixing_candidate/summary.json,s8_summary,read_only,trusted_existing_package,S9 consumed this artifact as existing evidence only.
work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_evidence_preflight/summary.json,preflight_summary,read_only,trusted_existing_package,S9 consumed this artifact as existing evidence only.
work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_evidence_preflight/upcomer_exchange_qoi_rows.csv,preflight_qoi_rows,read_only,trusted_existing_package,S9 consumed this artifact as existing evidence only.
work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_evidence_preflight/exchange_variable_availability.csv,preflight_variable_availability,read_only,trusted_existing_package,S9 consumed this artifact as existing evidence only.
work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_evidence_preflight/same_qoi_uq_status.csv,preflight_same_qoi_status,read_only,trusted_existing_package,S9 consumed this artifact as existing evidence only.
work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_terminal_source_readiness/summary.json,terminal_summary,read_only,trusted_existing_package,S9 consumed this artifact as existing evidence only.
work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_terminal_source_readiness/terminal_source_family_matrix.csv,terminal_source_family_matrix,read_only,trusted_existing_package,S9 consumed this artifact as existing evidence only.
work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_terminal_source_readiness/required_exchange_qoi_coverage.csv,terminal_required_qoi_coverage,read_only,trusted_existing_package,S9 consumed this artifact as existing evidence only.
work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_terminal_source_readiness/harvest_vs_sampler_decision.csv,terminal_harvest_vs_sampler,read_only,trusted_existing_package,S9 consumed this artifact as existing evidence only.
work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_input_generation/summary.json,input_summary,read_only,trusted_existing_package,S9 consumed this artifact as existing evidence only.
work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_input_generation/input_generation_ledger.csv,input_generation_ledger,read_only,trusted_existing_package,S9 consumed this artifact as existing evidence only.
work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_input_generation/surface_and_ledger_blockers.csv,input_blockers,read_only,trusted_existing_package,S9 consumed this artifact as existing evidence only.
work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/summary.json,phase4_summary,read_only,trusted_existing_package,S9 consumed this artifact as existing evidence only.
work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/upcomer_exchange_cell_readiness.csv,phase4_exchange_readiness,read_only,trusted_existing_package,S9 consumed this artifact as existing evidence only.
work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/ordinary_single_stream_nu_reopening_gate.csv,phase4_ordinary_reopening,read_only,trusted_existing_package,S9 consumed this artifact as existing evidence only.
work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/missing_exchange_nu_evidence_queue.csv,phase4_missing_evidence,read_only,trusted_existing_package,S9 consumed this artifact as existing evidence only.
work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/summary.json,same_qoi_b_summary,read_only,trusted_existing_package,S9 consumed this artifact as existing evidence only.
work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/phase_c_input_table.csv,same_qoi_b_phase_c_inputs,read_only,trusted_existing_package,S9 consumed this artifact as existing evidence only.
native CFD/OpenFOAM outputs,solver_outputs,not_touched,not_accessed,No native output was opened for mutation or sampled by S9.
registry/admission/scheduler state,global_state,not_mutated,read_only_context,"S9 did not mutate registry, admission, scheduler, Fluid, external, or generated-index state."
