artifact,role,path
README.md,source,work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/README.md
README.md,source,work_products/2026-07/2026-07-14/2026-07-14_best_predictive_heat_loss_discrepancy/README.md
README.md,source,work_products/2026-07/2026-07-14/2026-07-14_boundary_hx_wall_radiation_model_form_decision/README.md
README.md,source,work_products/2026-07/2026-07-14/2026-07-14_corrected_q_pm5_admission_split_processing/README.md
README.md,source,work_products/2026-07/2026-07-14/2026-07-14_external_bc_thermal_profile_parity_study/README.md
internal_nu_dependency_blockers.csv,source,work_products/2026-07/2026-07-14/2026-07-14_final_forward_v1_scorecard_gate/internal_nu_dependency_blockers.csv
README.md,source,work_products/2026-07/2026-07-14/2026-07-14_fluid_reset_development_api/README.md
forward_v1_blocking_gate_burndown.csv,source,work_products/2026-07/2026-07-14/2026-07-14_forward_v1_gate_refresh_after_fluid_api_and_audits/forward_v1_blocking_gate_burndown.csv
forward_v1_gate_checklist_refreshed.csv,source,work_products/2026-07/2026-07-14/2026-07-14_forward_v1_gate_refresh_after_fluid_api_and_audits/forward_v1_gate_checklist_refreshed.csv
perturbation_split_policy_next.csv,source,work_products/2026-07/2026-07-14/2026-07-14_forward_v1_gate_refresh_after_fluid_api_and_audits/perturbation_split_policy_next.csv
README.md,source,work_products/2026-07/2026-07-14/2026-07-14_forward_v1_pm5_hydraulic_delta/README.md
README.md,source,work_products/2026-07/2026-07-14/2026-07-14_hydraulic_reset_k_admission_contract/README.md
README.md,source,work_products/2026-07/2026-07-14/2026-07-14_hydraulic_tap_length_admission_refresh/README.md
README.md,source,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/README.md
README.md,source,work_products/2026-07/2026-07-14/2026-07-14_pm5_corrected_q_matched_plane_unlock/README.md
README.md,source,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/README.md
README.md,source,work_products/2026-07/2026-07-14/2026-07-14_thermal_admission_internal_nu_final_gate/README.md
README.md,source,work_products/2026-07/2026-07-14/2026-07-14_upcomer_internal_nu_extraction_contract/README.md
README.md,source,work_products/2026-07/2026-07-14/2026-07-14_upcomer_recirculation_internal_nu_admissibility/README.md
