section_id,thesis_section,readiness_status,ready_evidence_packets,exact_source_paths,key_numbers_available,governing_equations_or_definitions,figure_table_assets,claim_boundaries_and_caveats,missing_evidence_or_studies,next_board_tasks,writer_action
CH1,"1 Introduction And Research Objectives",ready_now,"Ch1-Ch4 foundations packet; Ch1 current section; Ch9 SAM packet","work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_ch1_ch4_foundations/README.md; reports/thesis_dossier/Chapters_and_sections/current/15_ch1_csem_motivation_and_contribution.md; work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_ch9_limits_sam/README.md","CFD legal-use packet has 8 evidence classes and 0 current protected score rows; Ch7/Ch8 packet records 0 final score values","Use definitions of CFD reference, closure/admission workflow, split roles, runtime leakage, and fluid+walls target from glossary packet","Final figure ledger routes loop/context image and model-form workflow figures","Frame CFD as high-fidelity reference, not experimental validation; do not claim SAM validation or final predictive accuracy","Compact numerical claims ledger still needed for exact contribution numbers","TODO-THESIS-COMPACT-NUMERICAL-CLAIMS-LEDGER-2026-07-22","Draft prose now from ready packets; cite numbers only after numerical ledger is attached."
CH2_1,"2.1 Molten-Salt Natural Circulation",partly_ready,"LitRev CSEM incorporation; governing glossary; predictive studies roadmap","reports/thesis_dossier/Chapters_and_sections/current/25_litrev_csem_thesis_incorporation.md; work_products/2026-07/2026-07-22/2026-07-22_thesis_governing_equations_definitions_glossary_packet/README.md; reports/thesis_dossier/Chapters_and_sections/current/26_predictive_model_studies_roadmap.md","Current recirculation packet has 3 reverse-flow topology proxy rows and 3 S13 exchange/tau current-coarse proxy rows","Use Re, Pr, Gr, Ra, Ri, Gz, buoyancy-drive and mass-flow definitions from glossary","Recirculation visual assets are selected in final figure import ledger","Write physical background and motivate local closure; do not state onset criterion is admitted","Needs final citation cleanup and recirculation-fraction/onset UQ","TODO-THESIS-STUDY-UPCOMER-ONSET-ANCHOR-DESIGN-AND-RECIRC-FRACTION-UQ-2026-07-22","Draft background qualitatively; defer quantitative onset claims."
CH2_2,"2.2 Thermophysical Properties",partly_ready,"Source/property release atlas; CP/viscosity/pressure basis preflight; glossary","work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_source_property_release_atlas/README.md; work_products/2026-07/2026-07-22/2026-07-22_source_property_cp_viscosity_pressure_basis_preflight/README.md; work_products/2026-07/2026-07-22/2026-07-22_thesis_governing_equations_definitions_glossary_packet/symbol_glossary.csv","Source/property atlas: 11 family rows, 4 nominal train rows reviewed, 0 release-ready rows, 0 protected rows released","Define property labels, cp basis, viscosity basis, property-mode sensitivity, source envelope","No primary figure required; use source/property atlas table as appendix or Ch6 table","Labels are present but not release; do not use protected rows or validation targets to select properties","Candidate-specific property sensitivity before freeze remains blocked","TODO-THESIS-STUDY-S11-CANDIDATE-SOURCE-PROPERTY-REFRESH-2026-07-21","Write property uncertainty and release-gate discipline; do not report released final property set."
CH2_3,"2.3 Hydraulic Closures",partly_ready,"Pressure basis ladder; two-tap section-effective pressure model; LitRev CSEM bridge","work_products/2026-07/2026-07-22/2026-07-22_thesis_study_pressure_basis_ladder_evidence_packet/README.md; reports/thesis_dossier/Chapters_and_sections/current/13_two_tap_recirc_section_effective_pressure_model.md; reports/thesis_dossier/Chapters_and_sections/current/25_litrev_csem_thesis_incorporation.md","Pressure packet: 3 section-effective rows, 3 negative signed residual rows, 0 component-K admitted rows, 0 F6 fit rows","Use Darcy friction, K, component/section/cluster loss, pressure-basis, and recirculation-effective residual definitions","Pressure basis ladder table; pressure non-admission gate table","Current lower-right evidence is not ordinary component K or F6; do not clip negative residuals","Needs low-recirculation/nonrecirculating pressure anchors for stronger F3/F6 claims","TODO-THESIS-STUDY-PRESSURE-LOW-RECIRC-ANCHOR-DESIGN-AND-HARVEST-2026-07-22","Write literature closure limits and current non-admission boundary."
CH2_4,"2.4 Thermal Closures",partly_ready,"Thermal accounting packet; governing glossary; D2/D3/D4/MF12/MF15 packets","work_products/2026-07/2026-07-22/2026-07-22_thesis_study_thermal_accounting_traceability_evidence_packet/README.md; work_products/2026-07/2026-07-22/2026-07-22_mf_d2_tp_tw_qoi_projection_gate/README.md; work_products/2026-07/2026-07-22/2026-07-22_mf12_bulk_to_tp_formula_gate/README.md","Thermal accounting: 10 heat-path rows, 12 setup source/sink rows, 7 residual-owner gate rows; D2 TP RMSE improves from 13.5673 K to 4.38159 K","Use heat-balance, wall thermal circuit, Nu slot, external convection, radiation, source/sink and residual-owner definitions","Thermal ledger table; D2 TP/TW projection RMSE figure; model-form panels","Internal Nu is a slot, not a residual sink; realized wallHeatFlux is diagnostic only","Needs TW-after-TP residual ownership and final source-bounded thermal closure study","TODO-THESIS-STUDY-THERMAL-TW-AFTER-TP-RESIDUAL-OWNERSHIP-2026-07-22","Write background and why residual-owner separation precedes Nu fitting."
CH2_5,"2.5 Reduced-Order And Systems-Code Modeling",ready_now,"SAM/CSEM packet; Ch1-Ch4 foundations; model-form scoreboard","work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_ch9_limits_sam/README.md; work_products/2026-07/2026-07-22/2026-07-22_thesis_master_model_form_scoreboard/README.md; reports/thesis_dossier/Chapters_and_sections/current/11_sam_facing_interpretation.md","Model-form scoreboard has 15 rows, 43 glossary rows, 204 signed sensor-error rows, 6 recommended model forms","Use closure/admission metadata, fallback status, split role, setup-only runtime-input definitions","SAM-facing flowchart and model-form ladder from final figure import ledger","Transfer workflow discipline, not SAM validation or SAM calibration","None needed for safe background; future SAM implementation remains outside scope","TODO-PAPER-FINAL-1D-MODEL-FORM-DOCS after shareable final results","Draft now as background and framing."
CH3_1,"3.1 TAMU Natural-Circulation Loop",partly_ready,"Ch3 CFD database draft; Ch1-Ch4 foundations; figure import ledger","reports/thesis_dossier/Chapters_and_sections/current/16_ch3_csem_cfd_evidence_database.md; work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_ch1_ch4_foundations/README.md; work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_final_figure_import_ledger/README.md","Sensor/figure packages provide 51 experimental target rows and 48 plotted TP/TW target rows in panel package","Use leg, segment, component, probe, TP/TW, test-section, upcomer/downcomer definitions","Loop image; TP/TW elevation panel; segment atlas diagram","Experimental measurements are context/targets; do not imply full experimental validation of CFD-to-1D model","Needs compact Ch3 provenance/QOI packet for one-stop appendix","TODO-THESIS-CH3-CFD-PROVENANCE-QOI-COMPACT-PACKET-2026-07-22 after Salt14 closes","Draft physical-system prose now; attach compact appendix later."
CH3_2,"3.2 CFD Database",partly_ready_blocked_on_active_inventory,"CFD methodology packet; CFD legal-use matrix; Ch3 database draft; active Salt14 inventory pending","work_products/2026-07/2026-07-22/2026-07-22_cfd_extraction_methodology_thesis_study/README.md; work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_cfd_legal_use_matrix/README.md; reports/thesis_dossier/Chapters_and_sections/current/16_ch3_csem_cfd_evidence_database.md","CFD legal-use: 8 evidence classes, 16 split rows, 6 runtime-forbidden input rows; Salt2 validation retained window 8598-8602 s","Use retained-window, continuation, postprocessed QoI, native-output, source path, evidence class definitions","Ch3 case matrix; QoI dictionary; extraction-method table; source manifest","CFD is high-fidelity reference, not experimental validation; native outputs read-only","Active Salt14 postProcessing inventory should close before final compact Ch3 appendix","TODO-THESIS-CH3-CFD-PROVENANCE-QOI-COMPACT-PACKET-2026-07-22","Write database structure now; wait for appendix packet for complete tables."
CH3_3,"3.3 Evidence Roles",ready_now,"Split policy; CFD legal-use matrix; source/property atlas; Ch6 packet","reports/thesis_dossier/Chapters_and_sections/current/03_split_policy_and_evidence_classes.md; work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_cfd_legal_use_matrix/case_split_legal_use_table.csv; work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_source_property_release_atlas/README.md","Final train rows 4; training-support rows 4; holdout rows 2; external test val_salt2; PM10 future rows 4 with 0 protected score allowed now","Use train/support/holdout/external/diagnostic/source-property/admission definitions","Split-role table; CFD legal-use table","Good numerical agreement cannot override split role; protected rows cannot tune models","None for safe evidence-role prose","TODO-THESIS-COMPACT-NUMERICAL-CLAIMS-LEDGER-2026-07-22","Draft now and cite split-role ledger."
CH3_4,"3.4 Restrictions On Predictive Model Inputs",ready_now,"CFD legal-use matrix; runtime-leakage audit; governing glossary","work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_cfd_legal_use_matrix/runtime_forbidden_input_bans.csv; work_products/2026-07/2026-07-22/2026-07-22_thesis_governing_equations_definitions_glossary_packet/claim_use_map.csv; reports/thesis_dossier/Chapters_and_sections/current/03_split_policy_and_evidence_classes.md","6 explicitly forbidden runtime inputs in CFD legal-use packet; 7 thermal forbidden rows in thermal accounting packet","Define runtime input, diagnostic evidence, score target, source/property release, frozen candidate","Runtime-forbidden input table","Do not use CFD mdot, realized wallHeatFlux, imposed cooler duty, validation/holdout/external temperatures, or protected residuals as predictive inputs","None for policy prose","TODO-THESIS-COMPACT-NUMERICAL-CLAIMS-LEDGER-2026-07-22","Draft now as methodological contribution."
