overclaim_family,claim_ids,evidence_supports,forbidden_statement,next_required_work
final_score_or_validation_accuracy,NUM-001;NUM-007;NUM-076,Blocked-scorecard logic and protected-score zero counts,Do not report final predictive accuracy or final validation score,Freeze exactly one runtime-legal candidate and run protected score only after admission gates pass
candidate_freeze_or_single_release,NUM-002;NUM-024;NUM-028;NUM-065,Admission gates with zero released candidates,Do not claim a candidate is frozen or released,Resolve source/property release; UQ; mesh/GCI; runtime legality; and candidate-specific review
runtime_leakage,NUM-005;NUM-020;NUM-055;NUM-071,Runtime-forbidden-input audits,Do not use CFD mdot realized wallHeatFlux imposed cooler duty validation temperatures holdout data or external-test data as predictive inputs,Maintain setup-only or released-property runtime contract and lint claims before LaTeX import
source_property_release,NUM-019;NUM-052;NUM-054;NUM-063;NUM-064;NUM-065;NUM-066,Source/property release atlas and thermal accounting,Do not treat labels setup totals or diagnostics as released source/property fields,Complete candidate-specific source/property release with protected-row policy preserved
pressure_component_K_or_F6_admission,NUM-029;NUM-030;NUM-031;NUM-032;NUM-033;NUM-034;NUM-035;NUM-036;NUM-037,Section-effective pressure residuals and gate counts,Do not clip negative residuals or admit ordinary component K cluster K F6 or hidden multipliers,Build ordinary-flow basis and same-QOI UQ before any pressure coefficient review
ordinary_upcomer_closure,NUM-036;NUM-037;NUM-041;NUM-042;NUM-043;NUM-044;NUM-048;NUM-049;NUM-050,Reverse-flow topology and recirculation proxies,Do not claim single-stream Nu f_D K F6 or closed recirculation fraction,Complete same-CV recirculation fraction; Richardson basis; medium/fine mesh-GCI; and exchange-cell residual definition
Qwall_or_wall_core_exchange_admission,NUM-038;NUM-039;NUM-040;NUM-045;NUM-046;NUM-047,Trusted-wall Qwall and temporal UQ diagnostics,Do not release Qwall as a source/property runtime input or admit exchange-cell coefficient,Resolve source-side conservation; property basis; mesh/GCI; heat-flow match; and production harvest
thermal_repair_or_residual_absorption,NUM-018;NUM-021;NUM-025;NUM-026;NUM-027;NUM-051;NUM-059;NUM-060;NUM-061;NUM-062,Diagnostic thermal model-form and passive-wall sensitivities,Do not absorb residual into internal Nu or release global passive hA multiplier/source-placement repair,Separate residual owners with independent source/geometry/property evidence and candidate-specific UQ
sensor_exactness_or_runtime_temperature,NUM-067;NUM-068;NUM-069;NUM-070;NUM-071,Sensor projection and uncertainty table,Do not claim exact sensor coordinates for bounded sensors or use target temperatures at runtime,Keep sensors score-only and refine projection metadata separately
figure_readiness_as_science,NUM-072;NUM-073;NUM-074;NUM-075;NUM-077;NUM-078,Figure panel and import ledgers,Do not treat figure readiness as closure admission or bulk-copy large figure trees,Audit selected figure ledger row count and import only selected assets with caption boundaries
