case_id,mesh_level,branch,endpoint_pair,endpoint_role,station_label,sample_time_s,p_mean_sampled_pa,p_rgh_mean_pa,rho_mean_kg_m3,y_m,g_dot_x_m2_s2,selected_convention,p_mean_reconstructed_pa,reconstructed_static_p_status,ordinary_flow_status,final_label,admission_status,reason
salt_2,coarse,right_leg,right_leg__s03->right_leg__s01,upstream,right_leg__s03,7915,,-3.63418958418,1957.16501878,0.41221215281,-4.04380121907,openfoam_plus_rho_g_dot_x,-7918.02047844,diagnostic_reconstructed_not_admitted,fail,diagnostic,diagnostic_only_no_F6_fit_no_component_K_admission,stage_a_validated_static_p_from_p_rgh_but_pair_fails_ordinary_flow_gate
salt_2,coarse,right_leg,right_leg__s03->right_leg__s01,downstream,right_leg__s01,7915,,-3.52088720349,1957.93928627,0.0464521528194,-0.455695619158,openfoam_plus_rho_g_dot_x,-895.745242535,diagnostic_reconstructed_not_admitted,fail,diagnostic,diagnostic_only_no_F6_fit_no_component_K_admission,stage_a_validated_static_p_from_p_rgh_but_pair_fails_ordinary_flow_gate
salt_2,coarse,test_section_span,test_section_span__s03->test_section_span__s01,upstream,test_section_span__s03,7915,,-3.63010093856,1957.17014518,0.400103386352,-3.92501422011,openfoam_plus_rho_g_dot_x,-7685.55075194,diagnostic_reconstructed_not_admitted,fail,diagnostic,diagnostic_only_no_F6_fit_no_component_K_admission,stage_a_validated_static_p_from_p_rgh_but_pair_fails_ordinary_flow_gate
salt_2,coarse,test_section_span,test_section_span__s03->test_section_span__s01,downstream,test_section_span__s01,7915,,-3.7536312829,1957.10950281,0.498176113625,-4.88710767467,openfoam_plus_rho_g_dot_x,-9568.35850263,diagnostic_reconstructed_not_admitted,fail,diagnostic,diagnostic_only_no_F6_fit_no_component_K_admission,stage_a_validated_static_p_from_p_rgh_but_pair_fails_ordinary_flow_gate
salt_3,coarse,right_leg,right_leg__s03->right_leg__s01,upstream,right_leg__s03,7618,,-1.19164459495,1947.49591363,0.41221215281,-4.04380121907,openfoam_plus_rho_g_dot_x,-7876.47799426,diagnostic_reconstructed_not_admitted,fail,diagnostic,diagnostic_only_no_F6_fit_no_component_K_admission,stage_a_validated_static_p_from_p_rgh_but_pair_fails_ordinary_flow_gate
salt_3,coarse,right_leg,right_leg__s03->right_leg__s01,downstream,right_leg__s01,7618,,-2.22244498671,1948.09302218,0.0464521528194,-0.455695619158,openfoam_plus_rho_g_dot_x,-889.959900907,diagnostic_reconstructed_not_admitted,fail,diagnostic,diagnostic_only_no_F6_fit_no_component_K_admission,stage_a_validated_static_p_from_p_rgh_but_pair_fails_ordinary_flow_gate
salt_3,coarse,test_section_span,test_section_span__s03->test_section_span__s01,upstream,test_section_span__s03,7618,,-1.19822953547,1947.50462528,0.400103386352,-3.92501422011,openfoam_plus_rho_g_dot_x,-7645.18157749,diagnostic_reconstructed_not_admitted,fail,diagnostic,diagnostic_only_no_F6_fit_no_component_K_admission,stage_a_validated_static_p_from_p_rgh_but_pair_fails_ordinary_flow_gate
salt_3,coarse,test_section_span,test_section_span__s03->test_section_span__s01,downstream,test_section_span__s01,7618,,-1.10657888982,1947.43623872,0.498176113625,-4.88710767467,openfoam_plus_rho_g_dot_x,-9518.43716706,diagnostic_reconstructed_not_admitted,fail,diagnostic,diagnostic_only_no_F6_fit_no_component_K_admission,stage_a_validated_static_p_from_p_rgh_but_pair_fails_ordinary_flow_gate
salt_4,coarse,right_leg,right_leg__s03->right_leg__s01,upstream,right_leg__s03,10000,,0.360407686324,1936.18998942,0.41221215281,-4.04380121907,openfoam_plus_rho_g_dot_x,-7829.20703187,diagnostic_reconstructed_not_admitted,fail,diagnostic,diagnostic_only_no_F6_fit_no_component_K_admission,stage_a_validated_static_p_from_p_rgh_but_pair_fails_ordinary_flow_gate
salt_4,coarse,right_leg,right_leg__s03->right_leg__s01,downstream,right_leg__s01,10000,,-1.65468622113,1936.41116067,0.0464521528194,-0.455695619158,openfoam_plus_rho_g_dot_x,-884.068769028,diagnostic_reconstructed_not_admitted,fail,diagnostic,diagnostic_only_no_F6_fit_no_component_K_admission,stage_a_validated_static_p_from_p_rgh_but_pair_fails_ordinary_flow_gate
salt_4,coarse,test_section_span,test_section_span__s03->test_section_span__s01,upstream,test_section_span__s03,10000,,0.291292403493,1936.18581359,0.400103386352,-3.92501422011,openfoam_plus_rho_g_dot_x,-7599.26555871,diagnostic_reconstructed_not_admitted,fail,diagnostic,diagnostic_only_no_F6_fit_no_component_K_admission,stage_a_validated_static_p_from_p_rgh_but_pair_fails_ordinary_flow_gate
salt_4,coarse,test_section_span,test_section_span__s03->test_section_span__s01,downstream,test_section_span__s01,10000,,0.802918846162,1936.17685163,0.498176113625,-4.88710767467,openfoam_plus_rho_g_dot_x,-9461.50183226,diagnostic_reconstructed_not_admitted,fail,diagnostic,diagnostic_only_no_F6_fit_no_component_K_admission,stage_a_validated_static_p_from_p_rgh_but_pair_fails_ordinary_flow_gate
