case_id,time_window_s,blocked_field_or_artifact,availability_status,blocker,next_action,fit_allowed_now,score_allowed_now,residual_policy
salt_2,7915,mu,missing_direct_policy_needed_for_rho_times_nuEff_proxy,direct dynamic viscosity missing; R_mu needs explicit rho*nuEff policy or source field,implement_or_generate_before_production_extraction,false,false,do_not_hide_heat_residual_in_internal_Nu
salt_2,7915,cellVolume,missing_generated_field_mesh_available,cell volume field not written; V_recirc requires generated volume basis from mesh or postprocess,implement_or_generate_before_production_extraction,false,false,do_not_hide_heat_residual_in_internal_Nu
salt_2,7915,recircMask,missing_generated_mask,recirculation mask not written; connected reverse-flow mask must be generated,implement_or_generate_before_production_extraction,false,false,do_not_hide_heat_residual_in_internal_Nu
salt_2,7915,exchange_interface_vtk,missing_generated_surface,no named exchange interface surface product found; mdot_exchange blocked,implement_or_generate_before_production_extraction,false,false,do_not_hide_heat_residual_in_internal_Nu
salt_2,7915,wall_surface_vtk,partial_existing_wall_diagnostics,wall diagnostics exist but exchange wall/core surface product not confirmed,implement_or_generate_before_production_extraction,false,false,do_not_hide_heat_residual_in_internal_Nu
salt_2,7915,source_sink_ledger,partial_case_setup_text_only,same-window Q_source/Q_sink ledger not present as extraction artifact,implement_or_generate_before_production_extraction,false,false,do_not_hide_heat_residual_in_internal_Nu
salt_3,7618,mu,missing_direct_policy_needed_for_rho_times_nuEff_proxy,direct dynamic viscosity missing; R_mu needs explicit rho*nuEff policy or source field,implement_or_generate_before_production_extraction,false,false,do_not_hide_heat_residual_in_internal_Nu
salt_3,7618,cellVolume,missing_generated_field_mesh_available,cell volume field not written; V_recirc requires generated volume basis from mesh or postprocess,implement_or_generate_before_production_extraction,false,false,do_not_hide_heat_residual_in_internal_Nu
salt_3,7618,recircMask,missing_generated_mask,recirculation mask not written; connected reverse-flow mask must be generated,implement_or_generate_before_production_extraction,false,false,do_not_hide_heat_residual_in_internal_Nu
salt_3,7618,exchange_interface_vtk,missing_generated_surface,no named exchange interface surface product found; mdot_exchange blocked,implement_or_generate_before_production_extraction,false,false,do_not_hide_heat_residual_in_internal_Nu
salt_3,7618,wall_surface_vtk,partial_existing_wall_diagnostics,wall diagnostics exist but exchange wall/core surface product not confirmed,implement_or_generate_before_production_extraction,false,false,do_not_hide_heat_residual_in_internal_Nu
salt_3,7618,source_sink_ledger,partial_case_setup_text_only,same-window Q_source/Q_sink ledger not present as extraction artifact,implement_or_generate_before_production_extraction,false,false,do_not_hide_heat_residual_in_internal_Nu
salt_4,10000,mu,missing_direct_policy_needed_for_rho_times_nuEff_proxy,direct dynamic viscosity missing; R_mu needs explicit rho*nuEff policy or source field,implement_or_generate_before_production_extraction,false,false,do_not_hide_heat_residual_in_internal_Nu
salt_4,10000,cellVolume,missing_generated_field_mesh_available,cell volume field not written; V_recirc requires generated volume basis from mesh or postprocess,implement_or_generate_before_production_extraction,false,false,do_not_hide_heat_residual_in_internal_Nu
salt_4,10000,recircMask,missing_generated_mask,recirculation mask not written; connected reverse-flow mask must be generated,implement_or_generate_before_production_extraction,false,false,do_not_hide_heat_residual_in_internal_Nu
salt_4,10000,exchange_interface_vtk,missing_generated_surface,no named exchange interface surface product found; mdot_exchange blocked,implement_or_generate_before_production_extraction,false,false,do_not_hide_heat_residual_in_internal_Nu
salt_4,10000,wall_surface_vtk,partial_existing_wall_diagnostics,wall diagnostics exist but exchange wall/core surface product not confirmed,implement_or_generate_before_production_extraction,false,false,do_not_hide_heat_residual_in_internal_Nu
salt_4,10000,source_sink_ledger,partial_case_setup_text_only,same-window Q_source/Q_sink ledger not present as extraction artifact,implement_or_generate_before_production_extraction,false,false,do_not_hide_heat_residual_in_internal_Nu
