source_id,case_id,has_mdot,has_total_wall_heat,has_piv_slab,has_probe_temperatures,run_status,validation_status,convergence_reached
viscosity_screening_salt_test_1_jin_coarse_mesh,salt_test_1_jin,True,True,True,True,terminated,derived_postprocessing_available,False
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_test_2_jin,True,True,True,True,terminated,derived_postprocessing_available,False
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_test_3_jin,True,True,True,True,terminated,derived_postprocessing_available,False
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_test_4_jin,True,True,True,True,terminated,derived_postprocessing_available,False
viscosity_screening_salt_test_1_kirst_coarse_mesh,salt_test_1_kirst,True,True,True,True,completed,derived_postprocessing_available,True
viscosity_screening_salt_test_2_kirst_coarse_mesh,salt_test_2_kirst,True,True,True,True,completed,derived_postprocessing_available,True
viscosity_screening_salt_test_3_kirst_coarse_mesh,salt_test_3_kirst,True,True,True,True,terminated,derived_postprocessing_available,False
viscosity_screening_salt_test_4_kirst_coarse_mesh,salt_test_4_kirst,True,True,True,True,terminated,derived_postprocessing_available,False
val_water_test_1_coarse_mesh_laminar,water_test_1,True,True,True,True,terminated,derived_postprocessing_available,False
val_water_test_2_coarse_mesh_laminar,water_test_2,True,True,True,True,terminated,derived_postprocessing_available,False
val_water_test_3_coarse_mesh_laminar,water_test_3,True,True,True,True,terminated,derived_postprocessing_available,False
val_water_test_4_coarse_mesh_laminar,water_test_4,True,True,True,True,terminated,derived_postprocessing_available,False
