case_key,registered,registry_source_id,registry_source_root,manifest_case_dir,issue
salt1_jin_lo10q_corrected,yes,salt1_jin_lo10q_corrected,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,ok
salt1_jin_hi10q_corrected,yes,salt1_jin_hi10q_corrected,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,ok
salt2_jin_lo10q_corrected,yes,salt2_jin_lo10q_corrected,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,ok
salt2_jin_lo5q_corrected,yes,salt2_jin_lo5q_corrected,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,ok
salt2_jin_hi5q_corrected,yes,salt2_jin_hi5q_corrected,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,ok
salt2_jin_hi10q_corrected,yes,salt2_jin_hi10q_corrected,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,ok
salt3_jin_lo10q_corrected,yes,salt3_jin_lo10q_corrected,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,ok
salt3_jin_lo5q_corrected,yes,salt3_jin_lo5q_corrected,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,ok
salt3_jin_hi5q_corrected,yes,salt3_jin_hi5q_corrected,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,ok
salt3_jin_hi10q_corrected,yes,salt3_jin_hi10q_corrected,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,ok
