import_id,figure_id,source_path,target_basename,copy_now,copy_after_papers_transfer_row,reason
IMPORT-S13-PATH,FIG-S13-PREDICTIVE-PATH-STATUS,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_limited_sampled_field_evidence_synthesis/figures/svg/s13_predictive_path_status.svg,s13_predictive_path_status.svg,false,true,Small SVG ready for Ch7 or Ch8 after exact manuscript destination is assigned
IMPORT-S12-WATERFALL,FIG-S12-RESIDUAL-OWNER-WATERFALL,work_products/2026-07/2026-07-22/2026-07-22_s12_thermal_residual_candidate_disposition_and_thesis_panels/figures/svg/s12_residual_owner_waterfall.svg,s12_residual_owner_waterfall.svg,false,true,Small SVG ready for S12 no-freeze thesis panel
IMPORT-PROJECTION-OPERATOR,FIG-1D-SENSOR-PROJECTION-OPERATOR,work_products/2026-07/2026-07-22/2026-07-22_1d_sensor_projection_operator_tp_tw_wall_bulk/figures/svg/1d_sensor_projection_operator_map.svg,1d_sensor_projection_operator_map.svg,false,true,Ready as runtime-legality and sensor-QOI projection diagram
IMPORT-D2-RMSE,FIG-D2-TP-TW-PROJECTION-RMSE,work_products/2026-07/2026-07-22/2026-07-22_mf_d2_tp_tw_qoi_projection_gate/figures/svg/d2_tp_tw_projection_transfer_rmse.svg,d2_tp_tw_projection_transfer_rmse.svg,false,true,Ready as same-QOI TP/TW projection diagnostic
IMPORT-MF07-RESET,FIG-MF07-TP-RESIDUAL-VS-RESET,work_products/2026-07/2026-07-22/2026-07-22_mf07_entrance_development_and_reset_source_basis/figures/svg/mf07_tp_residual_vs_reset.svg,mf07_tp_residual_vs_reset.svg,false,true,Ready as thermal-development promise and blocker panel
IMPORT-SIGNED-SENSOR,FIG-SIGNED-ERROR-SHAPE-BY-SENSOR,work_products/2026-07/2026-07-22/2026-07-22_thesis_scoreboard_signed_error_shape_and_model_form_dispatch/figures/svg/signed_error_shape_by_sensor.svg,signed_error_shape_by_sensor.svg,false,true,Ready as signed-error shape panel with no protected score claim
IMPORT-BIAS-SHAPE,FIG-BIAS-VS-SHAPE-RESIDUAL,work_products/2026-07/2026-07-22/2026-07-22_thesis_scoreboard_signed_error_shape_and_model_form_dispatch/figures/svg/bias_vs_shape_residual.svg,bias_vs_shape_residual.svg,false,true,Ready as bias versus shape diagnostic panel
IMPORT-LADDER,FIG-MODEL-FORM-LADDER-NO-ADMISSION,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/svg/model_form_ladder_no_admission.svg,model_form_ladder_no_admission.svg,false,true,Ready as model-form ladder once exact thesis placement is assigned
IMPORT-BLOCKED-WATERFALL,FIG-BLOCKED-SCORECARD-WATERFALL,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/svg/blocked_scorecard_waterfall.svg,blocked_scorecard_waterfall.svg,false,true,Ready as no-final-score Ch8 panel
IMPORT-M3-SALT2,FIG-M3-TP-TW-ELEVATION-SALT2,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/svg/m3_tp_tw_temperature_vs_elevation_salt_2.svg,m3_tp_tw_temperature_vs_elevation_salt_2.svg,false,true,Ready only if Ch7 uses diagnostic M3 profile panels
IMPORT-M3-SALT3,FIG-M3-TP-TW-ELEVATION-SALT3,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/svg/m3_tp_tw_temperature_vs_elevation_salt_3.svg,m3_tp_tw_temperature_vs_elevation_salt_3.svg,false,true,Ready only if Ch7 uses diagnostic M3 profile panels
IMPORT-M3-SALT4,FIG-M3-TP-TW-ELEVATION-SALT4,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/svg/m3_tp_tw_temperature_vs_elevation_salt_4.svg,m3_tp_tw_temperature_vs_elevation_salt_4.svg,false,true,Ready only if Ch7 uses diagnostic M3 profile panels
