figure_id,source_path,exists,size_bytes,intended_section,caption_safe_claim,forbidden_claim,color_range_consistency_requirement,copy_disposition,missing_regeneration_need
FIG-S13-PREDICTIVE-PATH-STATUS,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_limited_sampled_field_evidence_synthesis/figures/svg/s13_predictive_path_status.svg,true,4853,Ch7 or Ch8 upcomer predictive path status,S13 diagnostic fields are finite but production source property and UQ gates remain blocked,Do not claim production harvest Qwall admission exchange-cell admission freeze or scorecard trigger,Use existing SVG styling and keep blocked gates visually distinct,path_only_copy_later_after_papers_transfer_row,none
FIG-S12-RESIDUAL-OWNER-WATERFALL,work_products/2026-07/2026-07-22/2026-07-22_s12_thermal_residual_candidate_disposition_and_thesis_panels/figures/svg/s12_residual_owner_waterfall.svg,true,1105,Ch7 thermal residual-owner results,S12 is a rigorous no-freeze thermal residual-owner result,Do not claim S12 candidate freeze closure admission protected scoring final score or residual absorption into internal Nu,Use existing neutral waterfall scale and do not recolor blocked lanes as passing,path_only_copy_later_after_papers_transfer_row,none
FIG-1D-SENSOR-PROJECTION-OPERATOR,work_products/2026-07/2026-07-22/2026-07-22_1d_sensor_projection_operator_tp_tw_wall_bulk/figures/svg/1d_sensor_projection_operator_map.svg,true,2412,Ch5 runtime input and sensor projection model,Shows the projection boundary between bulk wall core and sensor QoIs,Do not imply measured TP or TW temperatures are runtime inputs,Use the same symbol mapping for TP TW wall and bulk across later panels,path_only_copy_later_after_papers_transfer_row,none
FIG-D2-TP-TW-PROJECTION-RMSE,work_products/2026-07/2026-07-22/2026-07-22_mf_d2_tp_tw_qoi_projection_gate/figures/svg/d2_tp_tw_projection_transfer_rmse.svg,true,1504,Ch7 TP-first thermal-development evidence,TP and TW projection transfer have separate residual behavior and need same-QOI UQ,Do not claim this as a frozen correction or protected score,Use consistent TP/TW color pairing with scoreboard panels,path_only_copy_later_after_papers_transfer_row,none
FIG-MF07-TP-RESIDUAL-VS-RESET,work_products/2026-07/2026-07-22/2026-07-22_mf07_entrance_development_and_reset_source_basis/figures/svg/mf07_tp_residual_vs_reset.svg,true,2108,Ch7 thermal-development and reset-source basis,Thermal development and reset-source basis are promising diagnostic directions for TP residuals,Do not claim source/property release or final TP correction,Keep residual sign convention explicit and consistent with signed-error panels,path_only_copy_later_after_papers_transfer_row,none
FIG-SIGNED-ERROR-SHAPE-BY-SENSOR,work_products/2026-07/2026-07-22/2026-07-22_thesis_scoreboard_signed_error_shape_and_model_form_dispatch/figures/svg/signed_error_shape_by_sensor.svg,true,22244,Ch7 signed error shape and model-form dispatch,Sensor-wise signed errors support model-form diagnosis before candidate admission,Do not present diagnostic signed error as protected validation performance,Use one shared signed-error color range across all copied signed-error panels,path_only_copy_later_after_papers_transfer_row,none
FIG-BIAS-VS-SHAPE-RESIDUAL,work_products/2026-07/2026-07-22/2026-07-22_thesis_scoreboard_signed_error_shape_and_model_form_dispatch/figures/svg/bias_vs_shape_residual.svg,true,4481,Ch7 bias versus shape residual interpretation,Separates global bias from shape residual evidence for candidate dispatch,Do not freeze an empirical correction from this diagnostic panel,Use same axis labels and units as signed-error panel family,path_only_copy_later_after_papers_transfer_row,none
FIG-MODEL-FORM-LADDER-NO-ADMISSION,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/svg/model_form_ladder_no_admission.svg,true,55097,Ch5 or Ch8 model-form ladder,Organizes setup-only diagnostic blocked and future-freeze stages,Do not infer any rung is admitted frozen scored or protected-runtime legal,Keep blocked and future states visually separate from admitted states,path_only_copy_later_after_papers_transfer_row,none
FIG-BLOCKED-SCORECARD-WATERFALL,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/svg/blocked_scorecard_waterfall.svg,true,45497,Ch8 blocked predictive assessment,Shows why no final predictive score is currently released,Do not publish final predictive accuracy or frozen-candidate claims from this panel,Use consistent blocked-gate colors with model-form ladder,path_only_copy_later_after_papers_transfer_row,none
FIG-M3-TP-TW-ELEVATION-SALT2,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/svg/m3_tp_tw_temperature_vs_elevation_salt_2.svg,true,58339,Ch7 diagnostic temperature profile,Shows scoreboard-derived target and legacy M3 TP/TW profile with missing or excluded sensors visible,Do not report M3 as frozen final prediction validation score closure admission or complete curve,Use identical y-axis and temperature range across Salt2 Salt3 Salt4 panels,path_only_copy_later_after_papers_transfer_row,none
FIG-M3-TP-TW-ELEVATION-SALT3,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/svg/m3_tp_tw_temperature_vs_elevation_salt_3.svg,true,58337,Ch7 diagnostic temperature profile,Shows scoreboard-derived target and legacy M3 TP/TW profile with missing or excluded sensors visible,Do not report M3 as frozen final prediction validation score closure admission or complete curve,Use identical y-axis and temperature range across Salt2 Salt3 Salt4 panels,path_only_copy_later_after_papers_transfer_row,none
FIG-M3-TP-TW-ELEVATION-SALT4,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/svg/m3_tp_tw_temperature_vs_elevation_salt_4.svg,true,58299,Ch7 diagnostic temperature profile,Shows scoreboard-derived target and legacy M3 TP/TW profile with missing or excluded sensors visible,Do not report M3 as frozen final prediction validation score closure admission or complete curve,Use identical y-axis and temperature range across Salt2 Salt3 Salt4 panels,path_only_copy_later_after_papers_transfer_row,none
