source_id,case_label,paper_class,checkpoint_case_key,checkpoint_lane,retained_window_status,package_root,requested_time_count,span_name,streamwise_bin_index,time_sample_count,loop_s_mid_m,loop_s_fraction,streamwise_bin_length_m,mean_wall_heat_w,mean_wall_heat_abs_w,mean_wall_heat_per_length_w_m,mean_wall_heat_abs_per_length_w_m,mean_cumulative_wall_heat_w,mean_cumulative_wall_heat_abs_w
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,paper-grade,salt1_jin,continuation,checkpoint_short_window_18,tmp/2026-06-23_ethan_latest_window_case_analysis_refresh/salt1_jin,18,lower_leg,69,1,0.6827312144224325,0.18511102548640934,0.009894655281484588,-0.5510754840013172,2.046992348476683,-55.69425799325413,206.87859154700672,-0.5510754840013172,2.046992348476683
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,paper-grade,salt1_jin,continuation,checkpoint_short_window_18,tmp/2026-06-23_ethan_latest_window_case_analysis_refresh/salt1_jin,18,lower_leg,70,1,0.692625869703917,0.18779379397171964,0.009894655281484477,3.2875540000150862,5.021457146409889,332.2555365993367,507.4918734972371,2.736478516013769,7.068449494886572
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,paper-grade,salt1_jin,continuation,checkpoint_short_window_18,tmp/2026-06-23_ethan_latest_window_case_analysis_refresh/salt1_jin,18,lower_leg,71,1,0.7025205249854015,0.1904765624570299,0.009894655281484477,6.575457501811172,8.416799191507362,664.5463954783343,850.6409725316479,9.31193601782494,15.485248686393934
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,paper-grade,salt1_jin,continuation,checkpoint_short_window_18,tmp/2026-06-23_ethan_latest_window_case_analysis_refresh/salt1_jin,18,lower_leg,72,1,0.7124151802668861,0.19315933094234022,0.009894655281484588,8.774821036718983,8.774821036718983,886.8243296094307,886.8243296094307,18.086757054543924,24.260069723112917
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,paper-grade,salt1_jin,continuation,checkpoint_short_window_18,tmp/2026-06-23_ethan_latest_window_case_analysis_refresh/salt1_jin,18,lower_leg,73,1,0.7223098355483706,0.1958420994276505,0.009894655281484588,8.778020368903725,8.778020368903725,887.1476690380139,887.1476690380139,26.86477742344765,33.038090092016645
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,paper-grade,salt1_jin,continuation,checkpoint_short_window_18,tmp/2026-06-23_ethan_latest_window_case_analysis_refresh/salt1_jin,18,lower_leg,74,1,0.7322044908298552,0.19852486791296078,0.009894655281484477,8.78085130705509,8.78085130705509,887.4337768478293,887.4337768478293,35.645628730502736,41.81894139907173
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,paper-grade,salt1_jin,continuation,checkpoint_short_window_18,tmp/2026-06-23_ethan_latest_window_case_analysis_refresh/salt1_jin,18,lower_leg,75,1,0.7420991461113396,0.20120763639827105,0.009894655281484477,8.799175097298093,8.799175097298093,889.285664530798,889.285664530798,44.444803827800826,50.61811649636982
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,paper-grade,salt1_jin,continuation,checkpoint_short_window_18,tmp/2026-06-23_ethan_latest_window_case_analysis_refresh/salt1_jin,18,lower_leg,76,1,0.7519938013928242,0.20389040488358134,0.009894655281484588,8.7717600391745,8.7717600391745,886.5149709246253,886.5149709246253,53.21656386697533,59.389876535544325
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,paper-grade,salt1_jin,continuation,checkpoint_short_window_18,tmp/2026-06-23_ethan_latest_window_case_analysis_refresh/salt1_jin,18,lower_leg,77,1,0.7618884566743087,0.2065731733688916,0.009894655281484588,8.835226992447092,8.835226992447092,892.9292371589786,892.9292371589786,62.05179085942242,68.22510352799142
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,paper-grade,salt1_jin,continuation,checkpoint_short_window_18,tmp/2026-06-23_ethan_latest_window_case_analysis_refresh/salt1_jin,18,lower_leg,78,1,0.7717831119557933,0.2092559418542019,0.009894655281484477,8.777582378049336,8.777582378049336,887.1034036399955,887.1034036399955,70.82937323747176,77.00268590604075
