source_id,case_label,choice_group,choice_key,choice_value,evidence_source
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,time_window,requested_times,0|3229|3398.45|3470|3471|3472|3473|3474|3614|3615|3616|3617|3617.66|3753|3754|3755|3756|3756.33,tmp/2026-06-23_ethan_latest_window_case_analysis_refresh/salt1_jin/analysis_manifest.json
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,geometry,target_ds_m,0.01,tmp/2026-06-23_ethan_latest_window_case_analysis_refresh/salt1_jin/analysis_manifest.json
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,fields,required_fields,wallShearStress|yPlus|p|p_rgh|T|U|wallHeatFlux,tmp/2026-06-23_ethan_latest_window_case_analysis_refresh/salt1_jin/analysis_manifest.json
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,fields,pressure_fields,p|p_rgh,tmp/2026-06-23_ethan_latest_window_case_analysis_refresh/salt1_jin/analysis_manifest.json
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,fields,wall_fields,wallShearStress|yPlus,tmp/2026-06-23_ethan_latest_window_case_analysis_refresh/salt1_jin/analysis_manifest.json
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,averaging,thermal_bulk_method,OpenFOAM sampledSurface cutPlane with interpolated T and U on repaired major-span bin centers; connected regions are parsed and one region is selected per bin by aligned mass-flux support and reference-area agreement; matched bulk T is then computed from aligned positive mass-flux weighting.,tmp/2026-06-23_ethan_latest_window_case_analysis_refresh/salt1_jin/summary.json
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,support_gate,thermal_support_flagged_bin_count,855,tmp/2026-06-23_ethan_latest_window_case_analysis_refresh/salt1_jin/summary.json
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,coordinate_contract,loop_span_order,lower_leg|right_leg|upper_leg|left_upper_leg|test_section_span|left_lower_leg,tmp/2026-06-23_ethan_latest_window_case_analysis_refresh/salt1_jin/summary.json
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,coordinate_contract,branch_order,lower_leg|right_leg|left_lower_leg|test_section_span|left_upper_leg|upper_leg|upcomer,tmp/2026-06-23_ethan_latest_window_case_analysis_refresh/salt1_jin/summary.json
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,coordinate_contract,derived_branch_names,upcomer,tmp/2026-06-23_ethan_latest_window_case_analysis_refresh/salt1_jin/summary.json
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,transport_support,matched_transport_row_count,5904,tmp/2026-06-23_ethan_latest_window_case_analysis_refresh/salt1_jin/summary.json
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,sign_convention,feature_pressure_delta,end_minus_start,tmp/2026-06-23_ethan_latest_window_case_analysis_refresh/salt1_jin/analysis_manifest.json
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,sign_convention,major_direct_pressure_drop_gradient,minus d(area_avg(p_rgh))/ds so positive means pressure drop along local streamwise coordinate,tmp/2026-06-23_ethan_latest_window_case_analysis_refresh/salt1_jin/analysis_manifest.json
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,sign_convention,major_dp_gradient,positive magnitude from Darcy-f estimate,tmp/2026-06-23_ethan_latest_window_case_analysis_refresh/salt1_jin/analysis_manifest.json
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,flow_direction,status,manual_profile_assumption_not_auto_validated,tmp/2026-06-23_ethan_latest_window_case_analysis_refresh/salt1_jin/analysis_manifest.json
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,flow_direction,meaning,Positive aligned mass flux follows the local streamwise coordinate as declared in the case profile; the current pipeline does not infer or validate flow direction automatically.,tmp/2026-06-23_ethan_latest_window_case_analysis_refresh/salt1_jin/analysis_manifest.json
