residual_family,lane,readiness_status,open_blocker_ids,next_action,scorecard_columns,guardrail,source_paths
pressure,buoyancy_drive,baseline_or_boundary_evidence_available,,carry as baseline lane and score residuals after freeze,dp_buoyancy_pred_Pa; dp_buoyancy_target_or_diag_Pa; dp_buoyancy_residual_Pa,do not reduce to a global mdot-only drive term,work_products/2026-07/2026-07-21/2026-07-21_predictive_model_execution_path/residual_attribution_contract.csv
pressure,straight_developing_loss,blocked_diagnostic_only,f6-friction-re-correction;two-tap-corner-lower-right-component-isolation-fails;two-tap-corner-lower-right-same-qoi-uq-missing;two-tap-corner-lower-right-material-reverse-flow,run pressure source-envelope/basis recovery audit before fitting,dp_straight_dev_pred_Pa; fD_reference; development_status,do not fit F6 from recirculating upcomer/corner rows,work_products/2026-07/2026-07-21/2026-07-21_predictive_model_execution_path/residual_attribution_contract.csv
pressure,section_cluster_loss,blocked_diagnostic_only,f6-friction-re-correction;two-tap-corner-lower-right-component-isolation-fails;two-tap-corner-lower-right-same-qoi-uq-missing;two-tap-corner-lower-right-material-reverse-flow,run pressure source-envelope/basis recovery audit before fitting,dp_section_cluster_pred_Pa; K_section; K_cluster; coefficient_type,do not call section/cluster rows universal component K,work_products/2026-07/2026-07-21/2026-07-21_predictive_model_execution_path/residual_attribution_contract.csv
pressure,recirculation_effective_residual,blocked_diagnostic_only,f6-friction-re-correction;two-tap-corner-lower-right-component-isolation-fails;two-tap-corner-lower-right-same-qoi-uq-missing;two-tap-corner-lower-right-material-reverse-flow,run pressure source-envelope/basis recovery audit before fitting,dp_recirc_effective_Pa; reverse_area_fraction; reverse_mass_fraction; invalid_single_stream_flag,do not clip negative K or hide in global multiplier,work_products/2026-07/2026-07-21/2026-07-21_predictive_model_execution_path/residual_attribution_contract.csv
thermal,heater_transfer,baseline_or_boundary_evidence_available,,carry as baseline lane and score residuals after freeze,Q_heater_to_fluid_pred_W; eta_heater; heater_residual_W,do not use realized scored-row heater heat at runtime,work_products/2026-07/2026-07-21/2026-07-21_predictive_model_execution_path/residual_attribution_contract.csv
thermal,cooler_hx_removal,baseline_or_boundary_evidence_available,,carry as baseline lane and score residuals after freeze,Q_cooler_pred_W; UA_or_NTU; cooler_residual_W,do not use imposed CFD cooler duty at runtime,work_products/2026-07/2026-07-21/2026-07-21_predictive_model_execution_path/residual_attribution_contract.csv
thermal,passive_wall_external,blocked_or_diagnostic_until_heat_loss_network_gate,predictive-wall-test-section-submodels,build heat-loss network alignment and setup-only candidate contract,Q_passive_wall_pred_W; drive_temperature_selector; external_bc_id; passive_residual_W,do not absorb passive-wall residual into internal Nu,work_products/2026-07/2026-07-21/2026-07-21_predictive_model_execution_path/residual_attribution_contract.csv
thermal,test_section_source_loss,blocked_or_diagnostic_until_heat_loss_network_gate,predictive-wall-test-section-submodels,build heat-loss network alignment and setup-only candidate contract,Q_test_section_deposition_W; Q_quartz_external_loss_W; Q_test_section_net_W; test_section_residual_W,do not delete test section or use realized net test-section heat,work_products/2026-07/2026-07-21/2026-07-21_predictive_model_execution_path/residual_attribution_contract.csv
thermal,junction_stub_heat,blocked_or_diagnostic_until_heat_loss_network_gate,predictive-wall-test-section-submodels,build heat-loss network alignment and setup-only candidate contract,Q_junction_stub_pred_W; junction_stub_residual_W,do not smear junction/stub heat into ordinary pipe UA,work_products/2026-07/2026-07-21/2026-07-21_predictive_model_execution_path/residual_attribution_contract.csv
thermal,internal_nu_htc,reference_or_diagnostic_only,predictive-wall-test-section-submodels;upcomer-onset-data-sparsity,keep Nu from absorbing heat-loss residuals until source/sign/UQ gates pass,Nu_internal_candidate; h_internal_candidate; Nu_admission_status,"do not let Nu absorb heater, cooler, passive, radiation, or storage error",work_products/2026-07/2026-07-21/2026-07-21_predictive_model_execution_path/residual_attribution_contract.csv
thermal,unresolved_thermal_residual,diagnostic_residual_lane,predictive-wall-test-section-submodels,retain explicit residual owner in scorecard,Q_unresolved_W; residual_owner_label; blocker_id,residual is not a closure,work_products/2026-07/2026-07-21/2026-07-21_predictive_model_execution_path/residual_attribution_contract.csv
