forbidden_action,performed
native_output_mutation,False
registry_or_admission_mutation,False
scheduler_action,False
solver_postprocessing_sampler_or_harvest_launch,False
fluid_or_external_edit,False
thesis_current_or_latex_edit,False
physical_source_property_or_qwall_release,False
physical_candidate_freeze,False
physical_closure_claim,False
mdot_correction_claimed_holdout_validated,False
s11_s15_s6_trigger,False
new_curve_fit_beyond_declared_mdot_multiplier,False
blocker_register_source_change_before_closeout,False
generated_index_refresh_before_closeout,False
deletion,False
staging,False
commit,False
push,False
other_board_row_file_touched,False
