path,used_for,mutation_status
/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-23/2026-07-23_empirical_bias_salt1_4_refit_holdout_external_score/refit_coefficients.csv,F2_global_affine (Salt1-4 refit) temperature-correction coefficients,read_only
/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-23/2026-07-23_empirical_bias_salt1_4_refit_holdout_external_score/holdout_external_score_old_vs_new.csv,F2_global_affine holdout (salt2_lo5q/hi5q) and external (val_salt2) MAE/RMSE,read_only
/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-23/2026-07-23_empirical_bias_salt1_4_refit_holdout_external_score/train_fit_quality.csv,F2_global_affine in-sample (train) MAE/RMSE for the F6 ablation comparison,read_only
/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-20/2026-07-20_tswfc2_bounded_nominal_scorecard/case_outputs/Salt_1/summary.csv,"Salt1 nominal mdot_kg_s, measured_mass_flow_rate_kg_s, friction_factor_main, reynolds_main",read_only
/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-20/2026-07-20_tswfc2_bounded_nominal_scorecard/case_outputs/Salt_2/summary.csv,"Salt2 nominal mdot_kg_s, measured_mass_flow_rate_kg_s, friction_factor_main, reynolds_main",read_only
/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-20/2026-07-20_tswfc2_bounded_nominal_scorecard/case_outputs/Salt_3/summary.csv,"Salt3 nominal mdot_kg_s, measured_mass_flow_rate_kg_s, friction_factor_main, reynolds_main",read_only
/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-20/2026-07-20_tswfc2_bounded_nominal_scorecard/case_outputs/Salt_4/summary.csv,"Salt4 nominal mdot_kg_s, measured_mass_flow_rate_kg_s, friction_factor_main, reynolds_main",read_only
/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-17/2026-07-17_predict_salt2_pm5_holdout_extraction_repair/salt2_pm5_admission_table.csv,reverse_area_fraction/reverse_mass_fraction/recirculation_status evidence for rejecting the Re-based mdot back-calculation,read_only
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/friction_closures.py,"dp_F1/dp_F3_hagenbach/dp_F4_leg_class/dp_F5_ri_corrected closure function names (read-only, not executed)",read_only
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py,"friction_form: str = 'F1' default confirming the unwired closure gap (read-only, not executed)",read_only
