source_id,path,exists,used_as,mutation_status
SRC-01,operational_notes/maps/forward-predictive-model.md,true,read_only_evidence_or_policy_context,not_modified_by_this_task
SRC-02,operational_notes/maps/thermal-closures-and-internal-nu.md,true,read_only_evidence_or_policy_context,not_modified_by_this_task
SRC-03,operational_notes/07-26/22/2026-07-22_BOARD_STALE_CLEANUP_AND_HIGH_VALUE_1D_AVENUES.md,true,read_only_evidence_or_policy_context,not_modified_by_this_task
SRC-04,work_products/2026-07/2026-07-21/2026-07-21_litrev_thermal_heat_loss_contract_alignment/heat_loss_path_contract.csv,true,read_only_evidence_or_policy_context,not_modified_by_this_task
SRC-05,work_products/2026-07/2026-07-21/2026-07-21_extbc_source_sink_provenance_recovery/setup_source_sink_provenance_ledger.csv,true,read_only_evidence_or_policy_context,not_modified_by_this_task
SRC-06,work_products/2026-07/2026-07-21/2026-07-21_fluid_setup_known_source_sink_runtime_contract/setup_known_source_contract.csv,true,read_only_evidence_or_policy_context,not_modified_by_this_task
SRC-07,work_products/2026-07/2026-07-21/2026-07-21_fluid_setup_known_source_sink_runtime_contract/source_property_gate.csv,true,read_only_evidence_or_policy_context,not_modified_by_this_task
SRC-08,work_products/2026-07/2026-07-22/2026-07-22_m2_passive_wall_test_section_source_bounded_repair_gate/README.md,true,read_only_evidence_or_policy_context,not_modified_by_this_task
SRC-09,work_products/2026-07/2026-07-22/2026-07-22_s12_thermal_residual_candidate_disposition_and_thesis_panels/README.md,true,read_only_evidence_or_policy_context,not_modified_by_this_task
SRC-10,work_products/2026-07/2026-07-22/2026-07-22_thesis_n3_thermal_residual_owner_train_ablation/thermal_residual_ablation_table.csv,true,read_only_evidence_or_policy_context,not_modified_by_this_task
SRC-11,work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger/README.md,true,read_only_evidence_or_policy_context,not_modified_by_this_task
SRC-12,work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/README.md,true,read_only_evidence_or_policy_context,not_modified_by_this_task
