ledger_id,term_id,equation_symbol,sign_convention,physical_role,equation_placement,runtime_allowed_status,runtime_inputs_allowed,diagnostic_inputs_allowed,runtime_forbidden_inputs,source_basis_status,residual_owner_family,current_decision,evidence_paths,next_gate,reason
E00,sign_convention,Q > 0 into salt control volume,positive heat rate adds thermal energy to the salt-side control volume,global convention,applies to every heat term before residual formation,allowed_policy,none,wallHeatFlux sign checks; enthalpy sign checks,realized CFD wallHeatFlux; CFD mdot; imposed CFD cooler duty; validation temperatures; holdout temperatures; realized test-section heat; hidden global multiplier; final heat residual as closure,contract_from_existing_ledgers,not_applicable,contract_ready,work_products/2026-07/2026-07-21/2026-07-21_litrev_thermal_heat_loss_contract_alignment/heat_loss_path_contract.csv; work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/README.md,use this convention in every downstream heat-path and sensor projection package,"A sign convention prevents heater, cooler, passive loss, and residual rows from being relabeled inconsistently."
E01,segment_steady_enthalpy_balance,R_s = sum(Q_known_s) - mdot*cp*(T_out_s - T_in_s),positive R_s means known sources exceed measured or modeled enthalpy rise,per-segment conservative residual equation,computed after declared heat paths and enthalpy transport are evaluated,equation_allowed_but_runtime_mdot_source_must_be_model_solved,setup heat terms; geometry; properties; solved model mdot; solved model temperatures,CFD enthalpy diagnostics and wallHeatFlux diagnostics for audit only,realized CFD wallHeatFlux; CFD mdot; imposed CFD cooler duty; validation temperatures; holdout temperatures; realized test-section heat; hidden global multiplier; final heat residual as closure,model_equation_ready_observed_cfd_balance_diagnostic_only,segment_residual,contract_ready_no_fit,work_products/2026-07/2026-07-21/2026-07-21_litrev_thermal_heat_loss_contract_alignment/heat_loss_path_contract.csv; work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/README.md,sensor projection and setup-only BC UQ before final scoring,"The residual is an output and blocker pointer, not a tunable heat source."
E02,heater_source_to_fluid,Q_heater_to_fluid = eta_h * f_h(x) * Q_heater_setup,positive,declared lower-leg heater source entering salt or wall before losses,known/source term in sum(Q_known_s),conditionally_allowed_after_source_property_release,setup heater power; declared source distribution; admitted eta_h; geometry; property lane,realized heater wallHeatFlux; imposed-minus-realized gap,realized CFD wallHeatFlux; CFD mdot; validation temperatures; hidden internal Nu correction,setup_known_candidate_not_source_property_released,heater_source_residual,not_released_now,work_products/2026-07/2026-07-21/2026-07-21_extbc_source_sink_provenance_recovery/setup_source_sink_provenance_ledger.csv; work_products/2026-07/2026-07-21/2026-07-21_fluid_setup_known_source_sink_runtime_contract/source_property_gate.csv,source/property release preflight after train-only residual decomposition,"Setup Q was recovered, but the existing gate still reports zero source/property release rows."
E03,cooler_hx_removal,Q_cooler = -UA_HX * DeltaT_drive or epsilon_NTU(setup),negative when heat is removed from salt,active cooler or HX sink distinct from passive losses,known/sink term in sum(Q_known_s),conditionally_allowed_only_as_setup_model,setup HX geometry; coolant or ambient state; admitted UA/effectiveness; properties,imposed and realized cooler wallHeatFlux for scoring/audit only,imposed CFD cooler duty; realized cooler wallHeatFlux; CFD mdot; validation temperatures,setup_model_lane_exists_but_no_imposed_duty_runtime,cooler_residual,contract_ready_guarded,work_products/2026-07/2026-07-21/2026-07-21_litrev_thermal_heat_loss_contract_alignment/heat_loss_path_contract.csv,setup-only BC UQ propagation,"Cooler removal must be predicted from setup fields, not copied from CFD-imposed duty."
E04,passive_wall_external_convection,Q_ext_conv = h_ext*A_ext*(T_amb - T_surface),positive if ambient adds heat to salt-side control volume through wall,passive wall heat loss or gain,"external boundary term, separate from internal Nu",allowed_when_setup_fields_are_declared,h_ext; ambient temperature; area; coverage; drive selector; solved surface temperature,patchwise passive wallHeatFlux and residual-owner response,realized CFD wallHeatFlux; validation wall temperatures; hidden passive hA multiplier,diagnostic_strong_but_candidate_not_released,passive_wall_residual,not_released_now,work_products/2026-07/2026-07-22/2026-07-22_m2_passive_wall_test_section_source_bounded_repair_gate/README.md,source-bounded passive wall repair with same-QOI UQ,Broad passive hA sensitivity moves TW5 strongly but is too global for admission.
E05,radiation,Q_rad = epsilon*sigma*A*(T_sur^4 - T_surface^4),positive if surroundings radiatively heat the surface,radiative exchange distinct from external convection and internal Nu,external boundary term in predictive mode only,allowed_only_if_radiation_model_is_declared,emissivity; Tsur; area; view-factor assumption; solved surface temperature,radiation-on/off sensitivity; CFD wallHeatFlux total audit,adding radiation on top of realized CFD wallHeatFlux replay; fitting radiation residual into Nu,separate_1d_radiation_capability_still_open,radiation_residual,contract_ready_not_released,work_products/2026-07/2026-07-21/2026-07-21_litrev_thermal_heat_loss_contract_alignment/heat_loss_path_contract.csv,radiation capability or setup-only BC UQ row,"CFD wallHeatFlux may already include radiation, so replay and predictive semantics must not be mixed."
E06,test_section_or_quartz_path,Q_ts = Q_ts_setup - Q_quartz_ext - Q_layer - Q_residual_ts,net sign must be carried explicitly,"test-section source/loss path, not generic passive residual",segment-local source/loss stack,blocked_until_source_bounded_release,setup test-section power if admitted; quartz/layer geometry; external BC fields,realized test-section wallHeatFlux; train-only residual movement,realized test-section heat; validation temperatures; residual fitted into Nu,partial_local_response_no_release,test_section_source_or_loss_residual,blocked_not_released,work_products/2026-07/2026-07-22/2026-07-22_m2_passive_wall_test_section_source_bounded_repair_gate/README.md; work_products/2026-07/2026-07-22/2026-07-22_thesis_n3_thermal_residual_owner_train_ablation/thermal_residual_ablation_table.csv,narrow source-basis row plus same-QOI UQ,Train-only response is mixed and cannot be promoted without a source-bounded basis.
E07,wall_conduction_and_contact_layers,Q_wall = (T_inner - T_outer)/R_wall_layer,sign follows direction into the salt control volume,solid resistance stack connecting internal convection to external paths,resistance term between salt-side and external boundary states,allowed_when_setup_material_fields_exist,wall thickness; material k; contact/layer R; area; solved wall states,CFD wall temperatures and wallHeatFlux comparisons,validation wall temperatures; back-solved heldout contact resistance; realized wallHeatFlux,partial_setup_fields_missing_segment_ownership,wall_layer_residual,contract_ready_missing_fields,work_products/2026-07/2026-07-21/2026-07-21_litrev_thermal_heat_loss_contract_alignment/heat_loss_path_contract.csv,material/geometry setup-field completion,Wall/layer resistance must be explicit so internal Nu does not absorb wall losses.
E08,storage,Q_storage = dE_wall_fluid/dt,positive when stored energy is released into salt; negative when energy is accumulating,transient or imperfect steady-state accumulation,zero in present steady model unless a transient lane is admitted,not_allowed_in_current_steady_runtime,none for steady runtime,same-time solid-energy and time-drift audits,using storage to tune steady residual; hidden storage in Nu,future_transient_lane_only,storage_residual,diagnostic_owner_only,work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger/README.md; work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/README.md,same-time solid-energy audit if transient/storage is pursued,Storage can explain residuals but is outside the steady runtime model until measured independently.
E09,recirculation_exchange_or_axial_mixing,Q_mix = sum(Gamma_ij * cp * (T_j - T_i)),positive into each receiving control volume; conservative pair sum is zero,internal redistribution without creating net heat,coupling term between 1D nodes or recirculation cells,blocked_until_setup_only_candidate_and_uq,admitted exchange geometry; solved temperatures; setup-only exchange parameter if released,S13 upcomer exchange Qwall/source-side diagnostics,realized local wallHeatFlux as exchange source; validation temperatures; fitted residual exchange,diagnostic_only_no_candidate_reviewable,recirculation_or_mixing_residual,blocked_not_released,work_products/2026-07/2026-07-22/2026-07-22_mf_recirc_upcomer_alternatives_gate/summary.json; work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_same_label_mesh_family_generation/summary.json,exact same-label mesh family or low-recirculation/onset source family,Exchange-cell evidence is physically important but not yet release-ready or mesh/GCI accepted.
E10,internal_Nu,Q_int = h_int*A_int*(T_wall_inner - T_bulk),positive when wall heats the salt,salt-side convective resistance only,"resistance closure, not a residual owner",baseline_or_literature_only_until_admission,geometry; Re from solved mdot; Pr; Gz; admitted wall-bulk drive; literature/source-envelope form,postprocessed CFD h/Nu and section-effective rows,passive wall loss; heater/cooler error; radiation; storage; recirculation residual; realized CFD wallHeatFlux,0_fit_admissible_rows,not_a_residual_owner,not_fit_admitted,operational_notes/maps/thermal-closures-and-internal-nu.md,"branch-local sign/heat-balance, recirculation, and mesh/GCI admission",Internal Nu cannot be used as the place to hide heat-ledger imbalance.
E11,final_residual_owner,"owner(R_s) in {heater,cooler,passive_wall,test_section,junction,storage,recirc,unknown}",inherits R_s sign after declared heat paths,classification of unresolved imbalance,reported after all model terms and diagnostics are assembled,output_only,none,residual-owner matrices and ablation tables,fitted residual heat path; validation heat residual as runtime closure; hidden global multiplier,diagnostic_only_no_candidate_release,owner_label,contract_ready_no_candidate_release,work_products/2026-07/2026-07-22/2026-07-22_s12_thermal_residual_candidate_disposition_and_thesis_panels/README.md; work_products/2026-07/2026-07-22/2026-07-22_thesis_n3_thermal_residual_owner_train_ablation/thermal_residual_ablation_table.csv,source-bounded candidate release or report as blocked negative result,Residual ownership preserves scientific information without creating a false closure.
