case_id,split_role,sensor,sensor_kind,prediction_source_segment,leg,predicted_K,reference_K,baseline_residual_K,baseline_bias_needed_K,fit_usable,exclusion_reason,corrected_prediction_K,corrected_residual_K,corrected_abs_error_K,applied_multiplier_correction,applied_offset_bias_K,claim_boundary
salt_2,train,TP1,TP,top_horizontal_exit,cooling_branch,365.33604312187606,453.26,-87.92395687812393,87.92395687812393,True,,426.559488886031,-26.700511113969014,26.700511113969014,7.360667625024831,-2262.5576959758378,train-only empirical diagnostic; not physics admission; no Fluid solve; no validation/holdout/external-test scoring; no freeze/admission
salt_2,train,TP2,TP,,unmapped,,446.63,,,False,missing_prediction_reference_or_segment,,,,,,train-only empirical diagnostic; not physics admission; no Fluid solve; no validation/holdout/external-test scoring; no freeze/admission
salt_2,train,TP3,TP,left_lower_vertical,upcomer,374.6712250834195,446.66999999999996,-71.99877491658049,71.99877491658049,True,,448.3834712004408,1.7134712004408357,1.7134712004408357,-1.467820052785808,998.3334085797089,train-only empirical diagnostic; not physics admission; no Fluid solve; no validation/holdout/external-test scoring; no freeze/admission
salt_2,train,TP4,TP,left_lower_vertical,upcomer,371.5847930302067,449.74,-78.15520696979331,78.15520696979331,True,,452.91379805970735,3.1737980597073374,3.1737980597073374,-1.467820052785808,998.3334085797089,train-only empirical diagnostic; not physics admission; no Fluid solve; no validation/holdout/external-test scoring; no freeze/admission
salt_2,train,TP5,TP,test_section,upcomer,374.1275931814902,451.64,-77.51240681850976,77.51240681850976,True,,449.1814250074266,-2.4585749925734035,2.4585749925734035,-1.467820052785808,998.3334085797089,train-only empirical diagnostic; not physics admission; no Fluid solve; no validation/holdout/external-test scoring; no freeze/admission
salt_2,train,TP6,TP,left_upper_vertical,upcomer,371.0633902710266,456.71999999999997,-85.65660972897336,85.65660972897336,True,,453.67912348520974,-3.0408765147902272,3.0408765147902272,-1.467820052785808,998.3334085797089,train-only empirical diagnostic; not physics admission; no Fluid solve; no validation/holdout/external-test scoring; no freeze/admission
salt_2,train,TW1,TW,right_vertical,downcomer,361.2945582948929,443.86,-82.5654417051071,82.5654417051071,True,,444.29474586705317,0.4347458670531523,0.4347458670531523,0.03160041207165762,432.877688945687,train-only empirical diagnostic; not physics admission; no Fluid solve; no validation/holdout/external-test scoring; no freeze/admission
salt_2,train,TW10,TW,cooled_incline_hx_active,cooling_branch,365.6631348058633,389.74,-24.0768651941367,24.0768651941367,True,,428.96710205477075,39.22710205477074,39.22710205477074,7.360667625024831,-2262.5576959758378,train-only empirical diagnostic; not physics admission; no Fluid solve; no validation/holdout/external-test scoring; no freeze/admission
salt_2,train,TW11,TW,cooled_incline_post_hx,cooling_branch,366.49754605744454,448.40999999999997,-81.91245394255543,81.91245394255543,True,,435.1089259402411,-13.30107405975889,13.30107405975889,7.360667625024831,-2262.5576959758378,train-only empirical diagnostic; not physics admission; no Fluid solve; no validation/holdout/external-test scoring; no freeze/admission
salt_2,train,TW2,TW,right_vertical,downcomer,357.2208906366495,445.08,-87.85910936335051,87.85910936335051,True,,444.1660162904097,-0.9139837095902976,0.9139837095902976,0.03160041207165762,432.877688945687,train-only empirical diagnostic; not physics admission; no Fluid solve; no validation/holdout/external-test scoring; no freeze/admission
salt_2,train,TW3,TW,right_vertical,downcomer,353.52541832421076,443.56999999999994,-90.04458167578917,90.04458167578917,True,,444.0492378425372,0.479237842537259,0.479237842537259,0.03160041207165762,432.877688945687,train-only empirical diagnostic; not physics admission; no Fluid solve; no validation/holdout/external-test scoring; no freeze/admission
salt_2,train,TW4,TW,heated_incline,lower_leg,356.51004295959456,445.49,-88.97995704040545,88.97995704040545,True,,450.643272045945,5.153272045945016,5.153272045945016,1.7662951035987544,-179.05867121736838,train-only empirical diagnostic; not physics admission; no Fluid solve; no validation/holdout/external-test scoring; no freeze/admission
salt_2,train,TW5,TW,heated_incline,lower_leg,362.5961917506733,471.68999999999994,-109.09380824932663,109.09380824932663,True,,461.39320685540093,-10.296793144599008,10.296793144599008,1.7662951035987544,-179.05867121736838,train-only empirical diagnostic; not physics admission; no Fluid solve; no validation/holdout/external-test scoring; no freeze/admission
salt_2,train,TW6,TW,heated_incline,lower_leg,368.69387849696426,467.02,-98.32612150303572,98.32612150303572,True,,472.1635210986537,5.143521098653707,5.143521098653707,1.7662951035987544,-179.05867121736838,train-only empirical diagnostic; not physics admission; no Fluid solve; no validation/holdout/external-test scoring; no freeze/admission
salt_2,train,TW7,TW,left_lower_vertical,upcomer,372.41538893271434,453.23,-80.81461106728568,80.81461106728568,True,,451.6946327382449,-1.535367261755141,1.535367261755141,-1.467820052785808,998.3334085797089,train-only empirical diagnostic; not physics admission; no Fluid solve; no validation/holdout/external-test scoring; no freeze/admission
salt_2,train,TW8,TW,left_upper_vertical,upcomer,371.8888143234776,450.31999999999994,-78.43118567652232,78.43118567652232,True,,452.4675495089705,2.147549508970542,2.147549508970542,-1.467820052785808,998.3334085797089,train-only empirical diagnostic; not physics admission; no Fluid solve; no validation/holdout/external-test scoring; no freeze/admission
salt_2,train,TW9,TW,cooled_incline_pre_hx,cooling_branch,368.7168497960317,450.66999999999996,-81.95315020396828,81.95315020396828,True,,451.4444831189562,0.7744831189562547,0.7744831189562547,7.360667625024831,-2262.5576959758378,train-only empirical diagnostic; not physics admission; no Fluid solve; no validation/holdout/external-test scoring; no freeze/admission
