source_id,case_id,one_d_segment,component_parent_spans,patch_count,area_m2,realized_wallHeatFlux_W,imposed_Q_W,area_weighted_h_W_m2K,area_weighted_Ta_K,area_weighted_Tsur_K,area_weighted_emissivity,mapping_status,interface_registry_status
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,cooling_branch,upper_leg,9,0.062350195,-148.718686808,-136.350739906,4.045201782,299.19,299.19,0.95,patches_collapsed_to_segment_equivalent_inputs,present_in_interface_registry
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,downcomer,right_leg,3,0.063435,-23.117313813,0,3.42388628,299.19,299.19,0.95,patches_collapsed_to_segment_equivalent_inputs,present_in_interface_registry
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,junction,junction,29,0.042478796,-39.128349537,0,9.621920204,299.19,299.19,0.95,patches_collapsed_to_segment_equivalent_inputs,present_in_interface_registry
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,lower_leg,lower_leg,9,0.062350193,236.850956221,265.7,3.988658692,299.19,299.19,0.95,patches_collapsed_to_segment_equivalent_inputs,present_in_interface_registry
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,upcomer,left_lower_leg+left_upper_leg+test_section_span,7,0.062571567,-25.760341231,37,4.444107475,299.19,299.19,0.95,patches_collapsed_to_segment_equivalent_inputs,present_in_interface_registry
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,cooling_branch,upper_leg,9,0.062350197,-164.340347847,-150.769638673,4.117217539,299.79,299.79,0.95,patches_collapsed_to_segment_equivalent_inputs,present_in_interface_registry
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,downcomer,right_leg,3,0.063435,-25.347860491,0,3.490328488,299.79,299.79,0.95,patches_collapsed_to_segment_equivalent_inputs,present_in_interface_registry
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,junction,junction,29,0.042478796,-43.234690515,0,9.80371389,299.79,299.79,0.95,patches_collapsed_to_segment_equivalent_inputs,present_in_interface_registry
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,lower_leg,lower_leg,9,0.062350193,265.828111554,297.5,4.068174556,299.79,299.79,0.95,patches_collapsed_to_segment_equivalent_inputs,present_in_interface_registry
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,upcomer,left_lower_leg+left_upper_leg+test_section_span,7,0.062571567,-32.618906683,37,4.518980952,299.79,299.79,0.95,patches_collapsed_to_segment_equivalent_inputs,present_in_interface_registry
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,cooling_branch,upper_leg,9,0.062350197,-184.313905416,-169.226815038,4.216948761,299.97,299.97,0.95,patches_collapsed_to_segment_equivalent_inputs,present_in_interface_registry
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,downcomer,right_leg,3,0.063435,-28.124643037,0,3.585349949,299.97,299.97,0.95,patches_collapsed_to_segment_equivalent_inputs,present_in_interface_registry
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,junction,junction,29,0.042478796,-48.485215891,0,10.059960558,299.97,299.97,0.95,patches_collapsed_to_segment_equivalent_inputs,present_in_interface_registry
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,lower_leg,lower_leg,9,0.062350193,302.331577987,337.6,4.176202387,299.97,299.97,0.95,patches_collapsed_to_segment_equivalent_inputs,present_in_interface_registry
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,upcomer,left_lower_leg+left_upper_leg+test_section_span,7,0.062571567,-41.328587353,37,4.624060458,299.97,299.97,0.95,patches_collapsed_to_segment_equivalent_inputs,present_in_interface_registry
