source_id,case_id,role,role_group,patch_count,area_m2,imposed_Q_W,realized_wallHeatFlux_W,rcExternalTemperature_count,externalTemperature_count,zeroGradient_count
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,ambient_wall,passive_ambient_wall_exchange,21,0.162883574,0,-62.233907129,21,0,0
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,cooler,intended_cooler_removal,3,0.029778515,-136.350739906,-136.35074,0,3,0
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,heater,intended_heater_input,3,0.045786417,265.7,243.51909758,3,0,0
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,junction_other,junction_or_stub_diagnostic,29,0.042478796,0,-39.128349537,11,7,11
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,test_section,intended_test_section_exchange,1,0.012258449,37,-5.679836082,1,0,0
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,zero_gradient_ncc_connector,zero_gradient_connector,12,0,0,0,0,0,12
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,ambient_wall,passive_ambient_wall_exchange,21,0.162883576,0,-68.319699257,21,0,0
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,cooler,intended_cooler_removal,3,0.029778515,-150.769638673,-150.76963867,0,3,0
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,heater,intended_heater_input,3,0.045786417,297.5,273.15537485,3,0,0
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,junction_other,junction_or_stub_diagnostic,29,0.042478796,0,-43.234690515,11,7,11
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,test_section,intended_test_section_exchange,1,0.012258449,37,-10.54504039,1,0,0
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,zero_gradient_ncc_connector,zero_gradient_connector,12,0,0,0,0,0,12
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,ambient_wall,passive_ambient_wall_exchange,21,0.162883576,0,-75.927117039,21,0,0
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,cooler,intended_cooler_removal,3,0.029778515,-169.226815038,-169.22681377,0,3,0
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,heater,intended_heater_input,3,0.045786417,337.6,310.4870585,3,0,0
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,junction_other,junction_or_stub_diagnostic,29,0.042478796,0,-48.485215891,11,7,11
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,test_section,intended_test_section_exchange,1,0.012258449,37,-16.76868551,1,0,0
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,zero_gradient_ncc_connector,zero_gradient_connector,12,0,0,0,0,0,12
