case_id,mesh_level,branch,endpoint_pair,endpoint_role,station_label,sample_time_s,original_source_case_path,repaired_case_path,existing_xy_surface_path,existing_xy_surface_present,p_present,p_rgh_present,U_present,rho_present,T_present,coarse_vtk_sampling_decision,same_qoi_static_pressure_status,reason,admission_status
salt_2,coarse,right_leg,right_leg__s03->right_leg__s01,upstream,right_leg__s03,7915,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,tmp/2026-06-30_claude_action_items/recon_salt2_of13,tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_right_leg__s03.xy,true,false,true,true,true,true,stage_b_sampler_ready,blocked_missing_static_p,retained reconstruction has p_rgh/U/rho/T and can support future VTK area/recirc sampling; static p remains absent,diagnostic_only_no_F6_fit_no_component_K_admission
salt_2,coarse,right_leg,right_leg__s03->right_leg__s01,downstream,right_leg__s01,7915,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,tmp/2026-06-30_claude_action_items/recon_salt2_of13,tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_right_leg__s01.xy,true,false,true,true,true,true,stage_b_sampler_ready,blocked_missing_static_p,retained reconstruction has p_rgh/U/rho/T and can support future VTK area/recirc sampling; static p remains absent,diagnostic_only_no_F6_fit_no_component_K_admission
salt_2,coarse,test_section_span,test_section_span__s03->test_section_span__s01,upstream,test_section_span__s03,7915,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,tmp/2026-06-30_claude_action_items/recon_salt2_of13,tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_test_section_span__s03.xy,true,false,true,true,true,true,stage_b_sampler_ready,blocked_missing_static_p,retained reconstruction has p_rgh/U/rho/T and can support future VTK area/recirc sampling; static p remains absent,diagnostic_only_no_F6_fit_no_component_K_admission
salt_2,coarse,test_section_span,test_section_span__s03->test_section_span__s01,downstream,test_section_span__s01,7915,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,tmp/2026-06-30_claude_action_items/recon_salt2_of13,tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_test_section_span__s01.xy,true,false,true,true,true,true,stage_b_sampler_ready,blocked_missing_static_p,retained reconstruction has p_rgh/U/rho/T and can support future VTK area/recirc sampling; static p remains absent,diagnostic_only_no_F6_fit_no_component_K_admission
salt_3,coarse,right_leg,right_leg__s03->right_leg__s01,upstream,right_leg__s03,7618,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,tmp/2026-06-30_claude_action_items/recon_salt3_of13,tmp/2026-06-30_claude_action_items/recon_salt3_of13/postProcessing/secmeanSurfaces/7618/plane_right_leg__s03.xy,true,false,true,true,true,true,stage_b_sampler_ready,blocked_missing_static_p,retained reconstruction has p_rgh/U/rho/T and can support future VTK area/recirc sampling; static p remains absent,diagnostic_only_no_F6_fit_no_component_K_admission
salt_3,coarse,right_leg,right_leg__s03->right_leg__s01,downstream,right_leg__s01,7618,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,tmp/2026-06-30_claude_action_items/recon_salt3_of13,tmp/2026-06-30_claude_action_items/recon_salt3_of13/postProcessing/secmeanSurfaces/7618/plane_right_leg__s01.xy,true,false,true,true,true,true,stage_b_sampler_ready,blocked_missing_static_p,retained reconstruction has p_rgh/U/rho/T and can support future VTK area/recirc sampling; static p remains absent,diagnostic_only_no_F6_fit_no_component_K_admission
salt_3,coarse,test_section_span,test_section_span__s03->test_section_span__s01,upstream,test_section_span__s03,7618,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,tmp/2026-06-30_claude_action_items/recon_salt3_of13,tmp/2026-06-30_claude_action_items/recon_salt3_of13/postProcessing/secmeanSurfaces/7618/plane_test_section_span__s03.xy,true,false,true,true,true,true,stage_b_sampler_ready,blocked_missing_static_p,retained reconstruction has p_rgh/U/rho/T and can support future VTK area/recirc sampling; static p remains absent,diagnostic_only_no_F6_fit_no_component_K_admission
salt_3,coarse,test_section_span,test_section_span__s03->test_section_span__s01,downstream,test_section_span__s01,7618,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,tmp/2026-06-30_claude_action_items/recon_salt3_of13,tmp/2026-06-30_claude_action_items/recon_salt3_of13/postProcessing/secmeanSurfaces/7618/plane_test_section_span__s01.xy,true,false,true,true,true,true,stage_b_sampler_ready,blocked_missing_static_p,retained reconstruction has p_rgh/U/rho/T and can support future VTK area/recirc sampling; static p remains absent,diagnostic_only_no_F6_fit_no_component_K_admission
salt_4,coarse,right_leg,right_leg__s03->right_leg__s01,upstream,right_leg__s03,10000,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,tmp/2026-06-30_claude_action_items/recon_salt4_of13,tmp/2026-06-30_claude_action_items/recon_salt4_of13/postProcessing/secmeanSurfaces/10000/plane_right_leg__s03.xy,true,false,true,true,true,true,stage_b_sampler_ready,blocked_missing_static_p,retained reconstruction has p_rgh/U/rho/T and can support future VTK area/recirc sampling; static p remains absent,diagnostic_only_no_F6_fit_no_component_K_admission
salt_4,coarse,right_leg,right_leg__s03->right_leg__s01,downstream,right_leg__s01,10000,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,tmp/2026-06-30_claude_action_items/recon_salt4_of13,tmp/2026-06-30_claude_action_items/recon_salt4_of13/postProcessing/secmeanSurfaces/10000/plane_right_leg__s01.xy,true,false,true,true,true,true,stage_b_sampler_ready,blocked_missing_static_p,retained reconstruction has p_rgh/U/rho/T and can support future VTK area/recirc sampling; static p remains absent,diagnostic_only_no_F6_fit_no_component_K_admission
salt_4,coarse,test_section_span,test_section_span__s03->test_section_span__s01,upstream,test_section_span__s03,10000,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,tmp/2026-06-30_claude_action_items/recon_salt4_of13,tmp/2026-06-30_claude_action_items/recon_salt4_of13/postProcessing/secmeanSurfaces/10000/plane_test_section_span__s03.xy,true,false,true,true,true,true,stage_b_sampler_ready,blocked_missing_static_p,retained reconstruction has p_rgh/U/rho/T and can support future VTK area/recirc sampling; static p remains absent,diagnostic_only_no_F6_fit_no_component_K_admission
