source_id,path,exists,used_as,mutation_status
SRC-01,operational_notes/maps/forward-predictive-model.md,true,read_only_contract_or_context,not_modified_by_this_task
SRC-02,work_products/2026-07/2026-07-22/2026-07-22_1d_conservative_thermal_ledger_residual_owner_contract/summary.json,true,read_only_contract_or_context,not_modified_by_this_task
SRC-03,work_products/2026-07/2026-07-22/2026-07-22_1d_conservative_thermal_ledger_residual_owner_contract/runtime_forbidden_audit.csv,true,read_only_contract_or_context,not_modified_by_this_task
SRC-04,work_products/2026-07/2026-07-22/2026-07-22_1d_sensor_projection_operator_tp_tw_wall_bulk/sensor_projection_operator_table.csv,true,read_only_contract_or_context,not_modified_by_this_task
SRC-05,work_products/2026-07/2026-07-22/2026-07-22_thesis_n4_sensor_qoi_projection_uncertainty_table/sensor_qoi_projection_table.csv,true,read_only_contract_or_context,not_modified_by_this_task
SRC-06,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_0_baseline_release_gate/runtime_forbidden_field_audit.csv,true,read_only_contract_or_context,not_modified_by_this_task
SRC-07,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_1_external_bc_radiation_integration/runtime_mode_matrix.csv,true,read_only_contract_or_context,not_modified_by_this_task
SRC-08,work_products/2026-07/2026-07-21/2026-07-21_litrev_thermal_heat_loss_contract_alignment/heat_loss_path_contract.csv,true,read_only_contract_or_context,not_modified_by_this_task
SRC-09,work_products/2026-07/2026-07-18/2026-07-18_source_property_label_enforcement/README.md,true,read_only_contract_or_context,not_modified_by_this_task
SRC-10,work_products/2026-07/2026-07-22/2026-07-22_mf02_pressure_mdot_coupling_diagnostic/README.md,true,read_only_contract_or_context,not_modified_by_this_task
